approach,species,n_knots,C,class_weight,mean_log_loss,std_log_loss,mean_auc,mean_brier
single_species,Cacophis kreftii,8,0.5,,0.1053789090569335,0.014663652300765573,0.9130319521748091,0.02749655866629882
single_species,Cacophis kreftii,6,0.5,,0.10753228847157155,0.01537911750951965,0.9027992166563594,0.027836139270363512
single_species,Cacophis kreftii,4,0.5,,0.11128675215794645,0.017914056995328144,0.8980921459492889,0.028234753831048613
single_species,Cacophis kreftii,8,0.1,,0.1221224530584866,0.020940201170692677,0.9109863945578232,0.02900616605307952
single_species,Cacophis kreftii,6,0.1,,0.12334432218189914,0.02119433939236057,0.9032894248608535,0.029121986341896756
single_species,Cacophis kreftii,4,0.1,,0.12592691547178075,0.02196380170574608,0.8957489177489177,0.029327384153857862
single_species,Cacophis kreftii,8,0.5,balanced,0.2958844453692409,0.007168298701983711,0.9135778190063905,0.09690512083305552
single_species,Cacophis kreftii,6,0.5,balanced,0.3203313761795016,0.010554546256316391,0.9090678210678211,0.1065676117268582
single_species,Cacophis kreftii,4,0.5,balanced,0.35629281551787895,0.008395467641060304,0.9027687074829931,0.11855358301666272
single_species,Cacophis kreftii,8,0.1,balanced,0.37477810640226406,0.0055821736597887256,0.9142038754895898,0.11523388791007198
single_species,Cacophis kreftii,6,0.1,balanced,0.3939862804314738,0.008122208331068725,0.9050119562976706,0.12236769672545973
single_species,Cacophis kreftii,4,0.1,balanced,0.4283552272493698,0.006053455107876146,0.9016023500309214,0.13402292263692847
single_species,Calyptotis scutirostrum,8,0.5,,0.16171270446524938,0.036168935846184413,0.9508403269627885,0.04846346556001607
single_species,Calyptotis scutirostrum,6,0.5,,0.164004180330989,0.034426632583120974,0.9490377452903861,0.04921475054554682
single_species,Calyptotis scutirostrum,4,0.5,,0.171185517808276,0.032690751930058486,0.9421543467663203,0.05117523024986603
single_species,Calyptotis scutirostrum,8,0.1,,0.202221050034424,0.04222846552109663,0.9418738795783334,0.05826316892496537
single_species,Calyptotis scutirostrum,6,0.1,,0.2039108444111819,0.04152117724236422,0.9372668855668792,0.058707474574956044
single_species,Calyptotis scutirostrum,4,0.1,,0.21057738222211633,0.04163886550509889,0.9272137045965853,0.06024981409412711
single_species,Calyptotis scutirostrum,8,0.5,balanced,0.2869185086985164,0.021286831782742648,0.9532221554041176,0.09126921702749033
single_species,Calyptotis scutirostrum,6,0.5,balanced,0.2966909680414506,0.022666843908196205,0.9504170708843075,0.09468385304383689
