seed,weighted,scope,prevalence,mean_pred,log_loss,brier,auc
0,True,OVERALL,0.06640625,0.20570457,0.29643177387095326,0.09222746807753229,0.9038426039872016
0,True,Cacophis kreftii,0.03125,0.14734334,0.19014062313471342,0.058039721976234776,0.9536290322580645
0,True,Calyptotis scutirostrum,0.078125,0.2824867,0.4112655342546424,0.13769452144599115,0.9144067796610169
0,True,Coeranoscincus reticulatus,0.1484375,0.38431376,0.5642735090844504,0.18259665956399757,0.8628681796233703
0,True,Egernia mcpheei,0.0234375,0.109090656,0.22136655368755928,0.061493950489895234,0.544
0,True,Eulamprus murrayi,0.0,0.035200704,0.03669475172543586,0.0027283970754556986,
0,True,Ophioscincus truncatus,0.2109375,0.5193257,0.7010731723233257,0.25036974077569574,0.8052805280528053
0,True,Pseudechis porphyricaus,0.0390625,0.08800648,0.15958998803931218,0.033401323294879215,0.7105691056910569
0,True,Saltuarius swaini,0.0,0.07986921,0.0870500587181868,0.011495429998109067,
0,False,OVERALL,0.06640625,0.06931125,0.16307194790034102,0.04658327962679093,0.896551193699237
0,False,Cacophis kreftii,0.03125,0.034395907,0.0957996563810806,0.025183434875700243,0.9213709677419355
0,False,Calyptotis scutirostrum,0.078125,0.109066986,0.17857203516575482,0.056026776632046,0.9186440677966101
0,False,Coeranoscincus reticulatus,0.1484375,0.1651164,0.3014296034647995,0.1008026825093486,0.8638338966682761
0,False,Egernia mcpheei,0.0234375,0.021111198,0.1261924660045791,0.02381378193728912,0.5626666666666666
0,False,Eulamprus murrayi,0.0,0.008658683,0.008731772809648685,0.00014373432563352916,
0,False,Ophioscincus truncatus,0.2109375,0.18464792,0.4024937568217624,0.12899463046867177,0.8151815181518152
0,False,Pseudechis porphyricaus,0.0390625,0.016426604,0.17608768979675404,0.03730680928519828,0.6422764227642277
0,False,Saltuarius swaini,0.0,0.015066264,0.015268602758348992,0.00039438698043992265,
1,True,OVERALL,0.072265625,0.17474122,0.2724200232679515,0.08316888578595336,0.8715078236130868
1,True,Cacophis kreftii,0.0390625,0.12762642,0.18298252642083732,0.060023141181135074,0.926829268292683
1,True,Calyptotis scutirostrum,0.0546875,0.23951197,0.3385004086263084,0.11094351855360965,0.9645808736717828
1,True,Coeranoscincus reticulatus,0.1640625,0.36224282,0.45792211003520855,0.14904520589317632,0.9016466399643971
1,True,Egernia mcpheei,0.046875,0.06304768,0.17928739129143068,0.04715513729580667,0.7622950819672132
1,True,Eulamprus murrayi,0.015625,0.013852731,0.09516904550081048,0.015990644282147057,0.4642857142857143
1,True,Ophioscincus truncatus,0.2265625,0.4284159,0.6403602406444661,0.21956332434825138,0.7572274468826192
1,True,Pseudechis porphyricaus,0.0078125,0.11555224,0.1698720361785208,0.0378197622459175,0.15748031496062997
1,True,Saltuarius swaini,0.0234375,0.04768007,0.11526642744602976,0.024810352487583204,0.6933333333333334
1,False,OVERALL,0.072265625,0.05653994,0.18238446786304408,0.04899942090740594,0.8724182076813656
1,False,Cacophis kreftii,0.0390625,0.027323915,0.11470388360704055,0.0326355316300031,0.9235772357723577
1,False,Calyptotis scutirostrum,0.0546875,0.08166489,0.11341587014559665,0.0329376858441064,0.9681227863046045
1,False,Coeranoscincus reticulatus,0.1640625,0.13729793,0.275800360588597,0.0889174919378081,0.9154428126390742
1,False,Egernia mcpheei,0.046875,0.010975428,0.21543486673393505,0.045213144728058194,0.7103825136612022
1,False,Eulamprus murrayi,0.015625,0.0053058537,0.09774457299107216,0.015579428642026246,0.4484126984126984
1,False,Ophioscincus truncatus,0.2265625,0.15966442,0.4732667066565688,0.1452593965027473,0.7753396029258097
1,False,Pseudechis porphyricaus,0.0078125,0.021056768,0.05249665031909735,0.008389580142293376,0.5748031496062992
1,False,Saltuarius swaini,0.0234375,0.009030313,0.11621283186244508,0.023063107832204766,0.6826666666666666
2,True,OVERALL,0.05859375,0.18839112,0.25215527723849457,0.07831666598476272,0.9424100968188106
2,True,Cacophis kreftii,0.0234375,0.11667809,0.1515638940734895,0.043887371316566885,0.936
2,True,Calyptotis scutirostrum,0.0703125,0.2221671,0.28588673477651516,0.0929767229701661,0.9393090569561158
2,True,Coeranoscincus reticulatus,0.1640625,0.36975354,0.472048430492932,0.14868488471914437,0.9096573208722742
2,True,Egernia mcpheei,0.015625,0.11022934,0.1409792186358365,0.03739274885356485,0.9365079365079365
2,True,Eulamprus murrayi,0.0,0.03174455,0.03362807568851664,0.0032176234523947746,
2,True,Ophioscincus truncatus,0.1796875,0.4691856,0.7047890125071756,0.25285442728307994,0.7577639751552795
2,True,Pseudechis porphyricaus,0.015625,0.113088846,0.14312023449000086,0.032958733882940267,0.9365079365079365
2,True,Saltuarius swaini,0.0,0.07428183,0.08522661724349023,0.014560815400244589,
2,False,OVERALL,0.05859375,0.061915405,0.1301827244235758,0.03808043352158118,0.9419951590594743
2,False,Cacophis kreftii,0.0234375,0.029308073,0.07064343904841829,0.01748583074092485,0.9359999999999999
2,False,Calyptotis scutirostrum,0.0703125,0.07089008,0.14371772804404215,0.04239973579303792,0.942110177404295
2,False,Coeranoscincus reticulatus,0.1640625,0.16608313,0.27986177041853544,0.09077378533133283,0.89942145082332
2,False,Egernia mcpheei,0.015625,0.019898519,0.058649360083562835,0.014272576682115762,0.9444444444444445
2,False,Eulamprus murrayi,0.0,0.007703596,0.007776073399390264,0.0001420958347828915,
2,False,Ophioscincus truncatus,0.1796875,0.16511315,0.40106078951825275,0.12421211466492416,0.7664596273291926
2,False,Pseudechis porphyricaus,0.015625,0.022331081,0.06551181385609291,0.014888001245636379,0.9206349206349207
2,False,Saltuarius swaini,0.0,0.013995655,0.014240821020311798,0.00046932787989460007,
3,True,OVERALL,0.0517578125,0.17133987,0.2374975119148642,0.07341944338688403,0.9122670656588229
3,True,Cacophis kreftii,0.0078125,0.111736074,0.13578482378875756,0.036119217291639284,1.0
3,True,Calyptotis scutirostrum,0.0703125,0.17849284,0.26212327222907167,0.08190439657754103,0.880485527544351
3,True,Coeranoscincus reticulatus,0.1640625,0.36583868,0.4630270085755886,0.15667039933126975,0.9016466399643969
3,True,Egernia mcpheei,0.03125,0.07540758,0.15860166653717245,0.040785347754784027,0.7399193548387097
3,True,Eulamprus murrayi,0.0,0.024913765,0.025656750760628212,0.001400057867130846,
3,True,Ophioscincus truncatus,0.125,0.4328875,0.6135829337748306,0.2212384691917999,0.8208705357142857
3,True,Pseudechis porphyricaus,0.015625,0.10440157,0.1541289712231737,0.034343538806928836,0.6190476190476191
3,True,Saltuarius swaini,0.0,0.07704086,0.08707466842969097,0.014894120273978611,
3,False,OVERALL,0.0517578125,0.053226683,0.1273371651957022,0.03515907790932454,0.9138798748615511
3,False,Cacophis kreftii,0.0078125,0.026881566,0.03144337107180892,0.004695293335582524,1.0
3,False,Calyptotis scutirostrum,0.0703125,0.056071077,0.16758545117329268,0.050068735030276784,0.9019607843137254
3,False,Coeranoscincus reticulatus,0.1640625,0.14845496,0.27421521202867827,0.08916042852488354,0.9069870939029817
3,False,Egernia mcpheei,0.03125,0.014097812,0.1398434203416819,0.03043839220471137,0.7217741935483871
3,False,Eulamprus murrayi,0.0,0.0068100137,0.006869575151925144,0.00011611750442623386,
3,False,Ophioscincus truncatus,0.125,0.14325047,0.30990438343748294,0.09103137329955355,0.7806919642857143
3,False,Pseudechis porphyricaus,0.015625,0.0173739,0.07579508337773752,0.015437839450334286,0.7698412698412698
3,False,Saltuarius swaini,0.0,0.012873683,0.013040824983010244,0.0003244439248280697,
4,True,OVERALL,0.0673828125,0.18875486,0.2579152407879506,0.0790586692220671,0.9110251157143942
4,True,Cacophis kreftii,0.046875,0.10876093,0.13763365559234841,0.036427558679107686,0.9385245901639345
4,True,Calyptotis scutirostrum,0.078125,0.24169607,0.3432365349977488,0.10953385785740317,0.8652542372881356
4,True,Coeranoscincus reticulatus,0.1875,0.36418587,0.4545494549456265,0.14529454002205788,0.8962339743589742
4,True,Egernia mcpheei,0.015625,0.10909917,0.1433705593210106,0.03755055736694178,0.9166666666666666
4,True,Eulamprus murrayi,0.0,0.035914585,0.03775333407186511,0.003283314242781319,
4,True,Ophioscincus truncatus,0.171875,0.48154148,0.6770855793214192,0.239633138324717,0.8194682675814752
4,True,Pseudechis porphyricaus,0.0234375,0.108475626,0.15906345611046702,0.03799950459974422,0.7733333333333334
4,True,Saltuarius swaini,0.015625,0.06036506,0.11062935194311892,0.022746882683783744,0.6468253968253969
4,False,OVERALL,0.0673828125,0.060643043,0.15545527189158082,0.04379845429781429,0.9086577130283027
4,False,Cacophis kreftii,0.046875,0.025962122,0.1304167188728778,0.03550892875452484,0.9112021857923498
4,False,Calyptotis scutirostrum,0.078125,0.07597707,0.169736413562249,0.04742297997405987,0.8991525423728814
4,False,Coeranoscincus reticulatus,0.1875,0.14924508,0.3148536081893011,0.10208304704254825,0.8938301282051282
4,False,Egernia mcpheei,0.015625,0.020841908,0.058291892900414234,0.01414457991711911,0.9603174603174603
4,False,Eulamprus murrayi,0.0,0.007992214,0.008067815482202256,0.00014774793590318887,
4,False,Ophioscincus truncatus,0.171875,0.17402002,0.37490198923943147,0.11275739699144585,0.7877358490566038
4,False,Pseudechis porphyricaus,0.0234375,0.02009968,0.09917886997369936,0.022688351616609818,0.8346666666666667
4,False,Saltuarius swaini,0.015625,0.011006226,0.08819486691247141,0.015634602150303368,0.4801587301587301
5,True,OVERALL,0.0625,0.17723359,0.23807212249559448,0.07137796225643166,0.9188151041666667
5,True,Cacophis kreftii,0.0234375,0.11032897,0.16453405443639446,0.04778935026408748,0.84
5,True,Calyptotis scutirostrum,0.09375,0.19910449,0.2720289796978733,0.08058067256814941,0.8872126436781609
5,True,Coeranoscincus reticulatus,0.171875,0.33375064,0.41402895337620593,0.13074614305360127,0.9129502572898801
5,True,Egernia mcpheei,0.015625,0.08155909,0.1446101622953651,0.031094542161861555,0.5317460317460317
5,True,Eulamprus murrayi,0.0,0.031661928,0.032840600995346476,0.0021844380318925376,
5,True,Ophioscincus truncatus,0.1875,0.46000126,0.6122624584070562,0.21827112729953405,0.8325320512820513
5,True,Pseudechis porphyricaus,0.0,0.13193034,0.16211112768271924,0.040088413083661865,
5,True,Saltuarius swaini,0.0078125,0.069532044,0.10216064307379524,0.0202690115886651,0.5669291338582677
5,False,OVERALL,0.0625,0.0582068,0.13383686611337975,0.03781079770372074,0.9269694010416667
5,False,Cacophis kreftii,0.0234375,0.02467453,0.09534928681746133,0.022054077560345938,0.832
5,False,Calyptotis scutirostrum,0.09375,0.0596996,0.18889865025900549,0.05820528770341007,0.9346264367816092
5,False,Coeranoscincus reticulatus,0.171875,0.1464993,0.27308794849064233,0.0879092012826547,0.9155231560891939
5,False,Egernia mcpheei,0.015625,0.016500283,0.08416466505567408,0.01468044047737108,0.5317460317460317
5,False,Eulamprus murrayi,0.0,0.007228046,0.007277491296527581,9.761798403700338e-05,
5,False,Ophioscincus truncatus,0.1875,0.17559245,0.34518439570422565,0.11019232895162723,0.84375
5,False,Pseudechis porphyricaus,0.0,0.024895087,0.025653033171111866,0.0014208406615145918,
5,False,Saltuarius swaini,0.0078125,0.010565078,0.05107945811238989,0.007926587008805362,0.3779527559055118
6,True,OVERALL,0.0634765625,0.15849821,0.23180115771306797,0.06864572954796258,0.8950990615224192
6,True,Cacophis kreftii,0.046875,0.10279581,0.12557928459685505,0.03583656163843253,0.9713114754098361
6,True,Calyptotis scutirostrum,0.0703125,0.19805539,0.23525492017845992,0.07205429090117928,0.9682539682539683
6,True,Coeranoscincus reticulatus,0.1796875,0.34270895,0.412584564271832,0.1307987451444261,0.912215320910973
6,True,Egernia mcpheei,0.0390625,0.051997956,0.16768642602723724,0.03804985993465649,0.7008130081300813
6,True,Eulamprus murrayi,0.0,0.030581325,0.03192378568168548,0.002473976384637507,
6,True,Ophioscincus truncatus,0.1328125,0.38968465,0.5981848030321861,0.20872795059675575,0.7837837837837838
6,True,Pseudechis porphyricaus,0.0078125,0.11289619,0.1293622360944632,0.02798647163025443,1.0
6,True,Saltuarius swaini,0.03125,0.039265465,0.15383324182182478,0.03323798015335855,0.6290322580645161
6,False,OVERALL,0.0634765625,0.053763717,0.15395275173422118,0.04076064180169034,0.8852330151600225
6,False,Cacophis kreftii,0.046875,0.022036467,0.1343361513657529,0.03941958845538375,0.9385245901639345
6,False,Calyptotis scutirostrum,0.0703125,0.067247815,0.10669094754716132,0.03266121340841402,0.9813258636788048
6,False,Coeranoscincus reticulatus,0.1796875,0.15282393,0.2799518031813014,0.09152614367951908,0.9080745341614906
6,False,Egernia mcpheei,0.0390625,0.011782532,0.1743282965280974,0.036317169038453036,0.6617886178861789
6,False,Eulamprus murrayi,0.0,0.0067856116,0.006839187679672757,0.00010543545715232063,
6,False,Ophioscincus truncatus,0.1328125,0.13833275,0.3077387956823917,0.08775864908061737,0.8065712771595125
6,False,Pseudechis porphyricaus,0.0078125,0.023388017,0.03953194772969746,0.007273288862115137,0.9921259842519685
6,False,Saltuarius swaini,0.03125,0.007712585,0.18220488415969477,0.03102364643186802,0.467741935483871
7,True,OVERALL,0.068359375,0.19459167,0.28924081103118765,0.08892275743602499,0.8890386343216532
7,True,Cacophis kreftii,0.0390625,0.14560023,0.19104233455737632,0.06053186939460456,0.9430894308943089
7,True,Calyptotis scutirostrum,0.1015625,0.2500916,0.28341033646857744,0.08895077450300404,0.9632107023411371
7,True,Coeranoscincus reticulatus,0.1015625,0.38002458,0.6026047685468274,0.19631662882368492,0.9130434782608695
7,True,Egernia mcpheei,0.03125,0.110474974,0.19854025750789306,0.05527402332087938,0.7157258064516129
7,True,Eulamprus murrayi,0.015625,0.017834688,0.09152138179942468,0.016296666183970184,0.5555555555555556
7,True,Ophioscincus truncatus,0.21875,0.45181164,0.6314398108578395,0.22074187851559124,0.7982142857142857
7,True,Pseudechis porphyricaus,0.0390625,0.11221383,0.21234469827075386,0.05363019593821241,0.6829268292682926
7,True,Saltuarius swaini,0.0,0.0886818,0.10302290024080904,0.019640022808253124,
7,False,OVERALL,0.068359375,0.065343186,0.16409686501510068,0.04591837526632432,0.8909703504043127
7,False,Cacophis kreftii,0.0390625,0.03508509,0.1044823902454603,0.030478694401978722,0.9495934959349593
7,False,Calyptotis scutirostrum,0.1015625,0.089451104,0.1540765349441857,0.0500822723268334,0.9638795986622074
7,False,Coeranoscincus reticulatus,0.1015625,0.16456684,0.21990313966564365,0.06690616156288307,0.9244147157190635
7,False,Egernia mcpheei,0.03125,0.021255614,0.1411682456771501,0.03000568347650784,0.6733870967741935
7,False,Eulamprus murrayi,0.015625,0.0076206024,0.09166730284740558,0.01557600718386377,0.5158730158730159
7,False,Ophioscincus truncatus,0.21875,0.16899383,0.41816001387696,0.1364698609266889,0.8150000000000001
7,False,Pseudechis porphyricaus,0.0390625,0.0204026,0.16767292082578336,0.037300117658624815,0.6910569105691057
7,False,Saltuarius swaini,0.0,0.015369829,0.01564437203821654,0.0005282045932140907,
8,True,OVERALL,0.0751953125,0.17327793,0.24616162459706123,0.07382209477958637,0.8942525267762861
8,True,Cacophis kreftii,0.046875,0.11273648,0.19314094925687297,0.06522339048580908,0.8948087431693988
8,True,Calyptotis scutirostrum,0.0625,0.22515911,0.29833357099557933,0.09914730018753817,0.9427083333333333
8,True,Coeranoscincus reticulatus,0.2109375,0.3315612,0.3288359218027233,0.10475234528674973,0.940960762742941
8,True,Egernia mcpheei,0.0234375,0.09091742,0.18895191403738437,0.042967547547709845,0.5093333333333333
8,True,Eulamprus murrayi,0.0078125,0.019930627,0.06042208807018301,0.008694150410250808,0.3464566929133859
8,True,Ophioscincus truncatus,0.2109375,0.4464445,0.6124777231554085,0.20953475512511513,0.8115144847818114
8,True,Pseudechis porphyricaus,0.03125,0.08509651,0.15958374063466485,0.03724213680197108,0.7016129032258065
8,True,Saltuarius swaini,0.0078125,0.07437751,0.12754708882367347,0.02301513239154722,0.055118110236220486
8,False,OVERALL,0.0751953125,0.056185,0.17396404142453858,0.04718242082853028,0.8876287387375033
8,False,Cacophis kreftii,0.046875,0.026104014,0.15350078289174868,0.04098249573665805,0.8702185792349727
8,False,Calyptotis scutirostrum,0.0625,0.07950149,0.11570460821458897,0.032303199599525184,0.959375
8,False,Coeranoscincus reticulatus,0.2109375,0.12766154,0.3202839512881448,0.10210454187794449,0.9251925192519252
8,False,Egernia mcpheei,0.0234375,0.017638884,0.13416130624981798,0.022663059970934634,0.416
8,False,Eulamprus murrayi,0.0078125,0.0066393204,0.05560295093894196,0.007882341280803064,0.2992125984251969
8,False,Ophioscincus truncatus,0.2109375,0.1636768,0.41140539628399664,0.13343960413623912,0.8203153648698204
8,False,Pseudechis porphyricaus,0.03125,0.016701747,0.1374244360393397,0.0300171484511074,0.7016129032258065
8,False,Saltuarius swaini,0.0078125,0.011556188,0.06362889948972994,0.008066975575030338,0.015748031496062964
9,True,OVERALL,0.05859375,0.15987381,0.22272024281792968,0.06595793179994414,0.907295988934993
9,True,Cacophis kreftii,0.0546875,0.087442175,0.09926209854535326,0.025397046060112356,0.988193624557261
9,True,Calyptotis scutirostrum,0.0546875,0.2011948,0.25372659534759323,0.08170684125799503,0.9693034238488785
9,True,Coeranoscincus reticulatus,0.140625,0.34270835,0.4504413613287425,0.1465473505082024,0.9232323232323232
9,True,Egernia mcpheei,0.0234375,0.07852863,0.14260374791361533,0.032603784908012544,0.6933333333333334
9,True,Eulamprus murrayi,0.0078125,0.019079842,0.046383545848527705,0.008446529024416168,0.8267716535433071
9,True,Ophioscincus truncatus,0.15625,0.40510732,0.5224994923968054,0.18125129058882206,0.8777777777777778
9,True,Pseudechis porphyricaus,0.0234375,0.0812477,0.1628232544388915,0.03383467203419024,0.504
9,True,Saltuarius swaini,0.0078125,0.06368173,0.10402184672390821,0.017875940017802287,0.18110236220472442
9,False,OVERALL,0.05859375,0.0517063,0.14091635055122212,0.038576639039053603,0.8996196403872752
9,False,Cacophis kreftii,0.0546875,0.018304344,0.14910653535366622,0.04555628244358828,0.9728453364817001
9,False,Calyptotis scutirostrum,0.0546875,0.06419292,0.10637715207917736,0.030510325102675283,0.9657615112160567
9,False,Coeranoscincus reticulatus,0.140625,0.14144436,0.2335524618509884,0.07376501687111459,0.9308080808080808
9,False,Egernia mcpheei,0.0234375,0.015175315,0.106900364868939,0.021835071905525184,0.6559999999999999
9,False,Eulamprus murrayi,0.0078125,0.005829904,0.040160280366521806,0.007681756059869981,0.8818897637795275
9,False,Ophioscincus truncatus,0.15625,0.13948637,0.3077157928975227,0.09768783253214561,0.8777777777777778
9,False,Pseudechis porphyricaus,0.0234375,0.01705143,0.12690961836185582,0.023505397867534965,0.488
9,False,Saltuarius swaini,0.0078125,0.0121658,0.05660859863110559,0.008071429529974921,0.21259842519685035
