scheme,species,dev_pos,single_ll,multi_ll,delta_multi_minus_single,better
random,Eulamprus murrayi,3,0.0490481108753346,0.04531795262134529,-0.003730158253989313,multi
random,Saltuarius swaini,6,0.06866969481214709,0.07012553310612202,0.0014558382939749287,tie
random,Egernia mcpheei,11,0.09359650862838671,0.0845426536983844,-0.009053854930002311,multi
random,Pseudechis porphyricaus,11,0.10578014640153191,0.11152829532338146,0.00574814892184955,single
random,Cacophis kreftii,15,0.10901727243498717,0.09776287511064838,-0.011254397324338791,multi
random,Calyptotis scutirostrum,40,0.18150968130139364,0.17112684802449663,-0.010382833276897013,multi
random,Coeranoscincus reticulatus,83,0.3019476890695226,0.2944398658628904,-0.00750782320663218,multi
random,Ophioscincus truncatus,91,0.38346745794309556,0.3977066874730753,0.014239229529979747,single
spatial,Eulamprus murrayi,3,0.04921328515033646,0.048418950831637136,-0.0007943343186993246,tie
spatial,Saltuarius swaini,6,0.06921061959191525,0.0723064537230814,0.003095834131166139,single
spatial,Egernia mcpheei,11,0.08960601298427118,0.08473045514149778,-0.004875557842773395,multi
spatial,Pseudechis porphyricaus,11,0.11348085794881424,0.11881980572509479,0.00533894777628055,single
spatial,Cacophis kreftii,15,0.11822573031774125,0.11708934168783239,-0.0011363886299088632,tie
spatial,Calyptotis scutirostrum,40,0.20072208772874994,0.1878129540191275,-0.012909133709622433,multi
spatial,Coeranoscincus reticulatus,83,0.31272586979391104,0.3180346087416996,0.005308738947788549,single
spatial,Ophioscincus truncatus,91,0.49425397656756564,0.49743541356320986,0.0031814369956442157,single
