scheme,strategy,species,n_pos,prevalence,log_loss,brier,auc,f1,sensitivity,specificity,hidden_layer_sizes,alpha,learning_rate_init,threshold,reliable
random,single,Eulamprus murrayi,0,0.0,0.008891901088733818,0.00011998338550598867,,0.0,0.0,1.0,"(16, 8)",0.1,0.001,0.05,False
random,single,Saltuarius swaini,2,0.015503875968992248,0.09885047779889643,0.01564888620947418,0.38976377952755903,0.0,0.0,0.968503937007874,"(16, 8)",0.1,0.001,0.05,False
random,single,Egernia mcpheei,1,0.007751937984496124,0.03938902163457732,0.008245467592090112,0.8984375,0.13333333333333333,1.0,0.8984375,"(8,)",0.1,0.01,0.05,False
random,single,Pseudechis porphyricaus,3,0.023255813953488372,0.0703036732475893,0.01798536529845439,0.9259259259259259,0.25,0.6666666666666666,0.9126984126984127,"(16, 8)",0.1,0.001,0.05,False
random,single,Cacophis kreftii,5,0.03875968992248062,0.27980358853859355,0.05241862993689982,0.7629032258064516,0.10526315789473684,0.2,0.8951612903225806,"(32,)",0.1,0.01,0.05,True
random,single,Calyptotis scutirostrum,10,0.07751937984496124,0.1649878942359981,0.05203965315222052,0.9369747899159664,0.5,0.5,0.957983193277311,"(16, 8)",0.001,0.001,0.49999999999999994,True
random,single,Coeranoscincus reticulatus,21,0.16279069767441862,0.41520771400353695,0.1112161451473354,0.8686067019400353,0.5555555555555556,0.7142857142857143,0.8333333333333334,"(32,)",0.1,0.01,0.25,True
random,single,Ophioscincus truncatus,23,0.17829457364341086,0.4119699550479144,0.13386942943409091,0.760459392945037,0.39215686274509803,0.43478260869565216,0.8301886792452831,"(16,)",0.001,0.001,0.3,True
random,multi,Eulamprus murrayi,0,0.0,0.008336569292291873,0.00112227111474699,,0.0,0.0,0.9844961240310077,"(16,)",0.1,0.01,0.05,False
random,multi,Saltuarius swaini,2,0.015503875968992248,0.11973498294664149,0.017568856561188874,0.6023622047244095,0.0,0.0,0.9212598425196851,"(16,)",0.1,0.01,0.05,False
random,multi,Egernia mcpheei,1,0.007751937984496124,0.03274812661051998,0.007475361029895795,0.9765625,0.2857142857142857,1.0,0.9609375,"(16,)",0.1,0.01,0.1,False
random,multi,Pseudechis porphyricaus,3,0.023255813953488372,0.06799274143326318,0.015101567736644951,0.9021164021164021,0.2857142857142857,0.6666666666666666,0.9285714285714286,"(16,)",0.1,0.01,0.1,False
random,multi,Cacophis kreftii,5,0.03875968992248062,0.15461684983429697,0.03790704504646391,0.8580645161290322,0.26666666666666666,0.4,0.9354838709677419,"(16,)",0.1,0.01,0.15,True
random,multi,Calyptotis scutirostrum,10,0.07751937984496124,0.1817989589505001,0.0561978403267553,0.9294117647058824,0.5625,0.9,0.8907563025210085,"(16,)",0.1,0.01,0.2,True
random,multi,Coeranoscincus reticulatus,21,0.16279069767441862,0.38305185698343547,0.11428344358576725,0.8602292768959436,0.5172413793103449,0.7142857142857143,0.7962962962962963,"(16,)",0.1,0.01,0.15,True
random,multi,Ophioscincus truncatus,23,0.17829457364341086,0.48249025412142793,0.14778351139621243,0.7407711238720263,0.4126984126984127,0.5652173913043478,0.7452830188679245,"(16,)",0.1,0.01,0.2,True
random,multi_int,Eulamprus murrayi,0,0.0,0.006910112719582698,0.0002109053886215589,,0.0,0.0,0.9767441860465116,"(32,)",0.1,0.01,0.05,False
random,multi_int,Saltuarius swaini,2,0.015503875968992248,0.13559559638337457,0.015967180516582226,0.20472440944881887,0.0,0.0,0.9606299212598425,"(32,)",0.1,0.01,0.05,False
random,multi_int,Egernia mcpheei,1,0.007751937984496124,0.0416467808236474,0.00890350889493228,0.9765625,0.0,0.0,0.984375,"(32,)",0.1,0.01,0.2,False
random,multi_int,Pseudechis porphyricaus,3,0.023255813953488372,0.07895240948089553,0.020389329236264395,0.9259259259259259,0.0,0.0,1.0,"(32,)",0.1,0.01,0.25,False
random,multi_int,Cacophis kreftii,5,0.03875968992248062,0.156603884393921,0.04308467042380282,0.817741935483871,0.17391304347826086,0.4,0.8709677419354839,"(32,)",0.1,0.01,0.15,True
