scheme,strategy,species,n_pos,log_loss,brier,auc,f1,sensitivity,specificity,threshold
random,single,Eulamprus murrayi,0,0.0089,0.0001,-,-,-,-,-
random,single,Saltuarius swaini,2,0.0989,0.0156,0.3898,-,-,-,-
random,single,Egernia mcpheei,1,0.0394,0.0082,0.8984,-,-,-,-
random,single,Pseudechis porphyricaus,3,0.0703,0.0180,0.9259,-,-,-,-
random,single,Cacophis kreftii,5,0.2798,0.0524,0.7629,0.105,0.200,0.895,0.05
random,single,Calyptotis scutirostrum,10,0.1650,0.0520,0.9370,0.500,0.500,0.958,0.50
random,single,Coeranoscincus reticulatus,21,0.4152,0.1112,0.8686,0.556,0.714,0.833,0.25
random,single,Ophioscincus truncatus,23,0.4120,0.1339,0.7605,0.392,0.435,0.830,0.30
random,multi,Eulamprus murrayi,0,0.0083,0.0011,-,-,-,-,-
random,multi,Saltuarius swaini,2,0.1197,0.0176,0.6024,-,-,-,-
random,multi,Egernia mcpheei,1,0.0327,0.0075,0.9766,-,-,-,-
random,multi,Pseudechis porphyricaus,3,0.0680,0.0151,0.9021,-,-,-,-
random,multi,Cacophis kreftii,5,0.1546,0.0379,0.8581,0.267,0.400,0.935,0.15
random,multi,Calyptotis scutirostrum,10,0.1818,0.0562,0.9294,0.562,0.900,0.891,0.20
random,multi,Coeranoscincus reticulatus,21,0.3831,0.1143,0.8602,0.517,0.714,0.796,0.15
random,multi,Ophioscincus truncatus,23,0.4825,0.1478,0.7408,0.413,0.565,0.745,0.20
random,multi_int,Eulamprus murrayi,0,0.0069,0.0002,-,-,-,-,-
random,multi_int,Saltuarius swaini,2,0.1356,0.0160,0.2047,-,-,-,-
random,multi_int,Egernia mcpheei,1,0.0416,0.0089,0.9766,-,-,-,-
random,multi_int,Pseudechis porphyricaus,3,0.0790,0.0204,0.9259,-,-,-,-
random,multi_int,Cacophis kreftii,5,0.1566,0.0431,0.8177,0.174,0.400,0.871,0.15
random,multi_int,Calyptotis scutirostrum,10,0.1571,0.0521,0.9445,0.500,0.500,0.958,0.35
random,multi_int,Coeranoscincus reticulatus,21,0.3235,0.1061,0.8633,0.516,0.762,0.769,0.25
random,multi_int,Ophioscincus truncatus,23,0.4080,0.1308,0.7535,0.375,0.522,0.726,0.20
spatial,single,Eulamprus murrayi,0,0.0089,0.0001,-,-,-,-,-
spatial,single,Saltuarius swaini,2,0.1041,0.0163,0.2874,-,-,-,-
spatial,single,Egernia mcpheei,1,0.0540,0.0092,0.8984,-,-,-,-
spatial,single,Pseudechis porphyricaus,3,0.0641,0.0161,0.9339,-,-,-,-
spatial,single,Cacophis kreftii,5,0.1260,0.0348,0.8710,0.216,0.800,0.774,0.05
spatial,single,Calyptotis scutirostrum,10,0.1575,0.0508,0.9387,0.516,0.800,0.891,0.15
spatial,single,Coeranoscincus reticulatus,21,0.4115,0.1231,0.8404,0.545,0.714,0.824,0.25
spatial,single,Ophioscincus truncatus,23,0.3554,0.1132,0.8310,0.478,0.478,0.887,0.30
spatial,multi,Eulamprus murrayi,0,0.0096,0.0003,-,-,-,-,-
spatial,multi,Saltuarius swaini,2,0.1200,0.0160,0.2756,-,-,-,-
spatial,multi,Egernia mcpheei,1,0.0483,0.0084,0.7969,-,-,-,-
spatial,multi,Pseudechis porphyricaus,3,0.0911,0.0222,0.8757,-,-,-,-
spatial,multi,Cacophis kreftii,5,0.1337,0.0361,0.8355,0.263,1.000,0.774,0.05
spatial,multi,Calyptotis scutirostrum,10,0.1815,0.0568,0.9118,0.516,0.800,0.891,0.20
spatial,multi,Coeranoscincus reticulatus,21,0.3342,0.1108,0.8404,0.537,0.857,0.741,0.15
spatial,multi,Ophioscincus truncatus,23,0.3807,0.1223,0.7953,0.452,0.609,0.764,0.25
spatial,multi_int,Eulamprus murrayi,0,0.0068,0.0002,-,-,-,-,-
spatial,multi_int,Saltuarius swaini,2,0.1315,0.0159,0.1102,-,-,-,-
spatial,multi_int,Egernia mcpheei,1,0.0352,0.0071,0.9844,-,-,-,-
spatial,multi_int,Pseudechis porphyricaus,3,0.0998,0.0222,0.7725,-,-,-,-
spatial,multi_int,Cacophis kreftii,5,0.1473,0.0364,0.7984,0.188,0.600,0.806,0.05
spatial,multi_int,Calyptotis scutirostrum,10,0.1679,0.0534,0.9319,0.476,1.000,0.815,0.10
spatial,multi_int,Coeranoscincus reticulatus,21,0.3154,0.1044,0.8668,0.510,0.619,0.843,0.30
spatial,multi_int,Ophioscincus truncatus,23,0.3630,0.1177,0.8199,0.462,0.391,0.934,0.35
