long,lat,disturb,rainann,soildepth,soilfert,tempann,topo,easting,northing,plot,Species,pres.abs,id
151.5605,-31.5764,1,1010,1009,2,121,15,-206813.275853676,6482403.27464338,576,Coeranoscincus reticulatus,0,4603
151.6036,-31.3712,3,1232,1090,4,103,19,-204255.497050102,6505512.7825163,559,Saltuarius swaini,0,4472
151.9738,-29.9798,1,912,1039,1,128,-2,-178654.150282374,6662593.67423277,415,Eulamprus murrayi,0,3317
153.0783,-29.3484,3,1318,1100,1,180,23,-75363.9269592927,6738807.88886261,311,Pseudechis porphyricaus,0,2487
152.6404,-28.467,3,1238,1070,2,163,15,-123277.985601988,6834532.44353339,99,Eulamprus murrayi,0,789
152.272,-30.8571,2,1596,1139,2,126,-1,-143956.626094444,6566786.96105793,505,Ophioscincus truncatus,0,4038
152.9466,-29.0524,3,988,1059,2,190,6,-89886.5465170286,6771040.60297007,241,Pseudechis porphyricaus,0,1927
152.1968,-29.5662,3,1458,1090,1,133,1,-159787.82623627,6709895.61816552,325,Ophioscincus truncatus,0,2598
152.1921,-28.8586,3,1178,1070,1,139,3,-164829.821681687,6788558.93776823,211,Eulamprus murrayi,0,1685
152.1205,-32.527,3,1376,1139,2,170,-6,-146720.111567461,6380209.82032257,632,Saltuarius swaini,1,5056
152.8161,-28.5053,3,1486,1049,5,165,14,-105801.162580743,6831179.93507326,132,Coeranoscincus reticulatus,0,1051
153.0102,-28.4133,3,1404,1000,2,178,-6,-87258.8962377934,6842372.25003079,74,Coeranoscincus reticulatus,0,587
153.1144,-28.5053,3,1978,1009,4,166,43,-76520.6971461142,6832657.28276156,133,Cacophis kreftii,0,1057
153.2736,-28.404,1,2270,949,2,159,-2,-61435.1928033584,6844668.54431818,61,Calyptotis scutirostrum,0,482
152.2695,-28.9349,3,1190,1039,2,158,-5,-156768.616233883,6780508.50732801,226,Cacophis kreftii,0,1801
152.1378,-29.2211,2,1224,1070,2,132,-6,-167790.842175416,6747935.89543231,276,Cacophis kreftii,0,2201
153.5615,-28.7913,3,1664,1350,1,197,0,-31200.4121417062,6802970.7749555,197,Cacophis kreftii,0,1569
152.9143,-28.379,1,1468,980,2,171,-4,-96873.8172938199,6845709.6799799,39,Coeranoscincus reticulatus,0,307
151.7683,-32.1145,1,1648,1000,2,122,21,-183014.821873435,6423882.9738748,617,Pseudechis porphyricaus,0,4935
153.2883,-28.5394,1,2442,1070,2,160,14,-59274.1159834863,6829696.39928037,141,Cacophis kreftii,0,1121
152.3247,-28.9568,3,1466,1090,2,140,2,-151231.119203658,6778380.41797512,233,Egernia mcpheei,0,1860
153.3068,-28.5718,1,2006,1210,5,184,-28,-57287.8605910979,6826183.88283365,157,Coeranoscincus reticulatus,0,1251
152.5295,-29.9468,1,1042,980,2,170,50,-125067.694169073,6669443.0445974,400,Cacophis kreftii,0,3193
152.3677,-29.652,2,1514,1019,2,153,17,-142626.866475306,6701321.62199924,346,Cacophis kreftii,0,2761
153.0592,-28.3916,2,1968,1139,4,146,24,-82564.6121102187,6845022.68267258,48,Saltuarius swaini,0,384
152.4587,-28.4411,2,1210,1049,4,149,-3,-141284.847099763,6836450.02639933,86,Pseudechis porphyricaus,0,687
153.3438,-29.2686,1,1570,1330,1,191,3,-49952.3746787435,6748956.126965,292,Coeranoscincus reticulatus,0,2331
152.294,-28.9512,3,1316,1080,2,154,-10,-154268.894705046,6778832.59399199,232,Saltuarius swaini,0,1856
153.4215,-29.1311,1,1552,1320,1,193,1,-43112.7372327422,6764592.40958821,252,Eulamprus murrayi,0,2013
151.5773,-31.8545,3,1214,1080,2,119,5,-203093.919709459,6451572.39952851,591,Coeranoscincus reticulatus,0,4723
152.0948,-29.8958,2,984,959,2,129,-1,-167502.808140695,6672650.9222577,390,Pseudechis porphyricaus,0,3119
152.4662,-30.1542,1,1274,1059,2,126,22,-129873.482679348,6646037.61836241,462,Saltuarius swaini,0,3696
151.9258,-30.0065,2,882,1029,1,129,-7,-183117.979709587,6659336.48582204,421,Saltuarius swaini,0,3368
152.6873,-28.4924,2,1384,1070,2,169,-26,-118522.327217808,6831953.01334772,123,Ophioscincus truncatus,1,982
152.7316,-28.7777,2,1480,1090,5,164,17,-112502.967446529,6800471.69931174,189,Ophioscincus truncatus,0,1510
152.4176,-29.5962,1,1820,1000,2,137,0,-138134.799450657,6707803.08097489,334,Egernia mcpheei,0,2668
152.4219,-29.5566,3,2014,1070,2,136,3,-137967.594363802,6712229.53059043,323,Calyptotis scutirostrum,0,2578
152.5769,-30.5101,3,2044,1000,2,158,-3,-116930.07178939,6607086.88072362,468,Eulamprus murrayi,0,3741
152.7517,-28.9186,3,1274,1049,5,168,46,-109707.419900115,6784915.50427338,223,Saltuarius swaini,0,1784
152.6813,-28.4815,1,1654,1000,5,147,45,-119175.507773172,6833133.46908813,110,Saltuarius swaini,0,880
152.7191,-28.8445,3,1180,1080,2,178,-14,-113333.176647029,6792982.26555712,208,Eulamprus murrayi,0,1661
153.0204,-28.4097,2,1468,1129,5,174,8,-86276.7919880507,6842822.24862468,70,Cacophis kreftii,0,553
152.3453,-30.5434,1,1610,1100,2,123,3,-139003.371755967,6602087.20288179,479,Calyptotis scutirostrum,0,3826
151.4249,-32.1161,3,1798,1100,5,119,-3,-215515.975345343,6421458.86775332,618,Coeranoscincus reticulatus,0,4939
152.7648,-31.2469,3,1348,1059,2,179,8,-94255.6742638169,6526220.56123026,551,Calyptotis scutirostrum,0,4402
151.4406,-31.9377,1,1814,1120,5,91,-5,-215426.327493241,6441413.89980731,601,Ophioscincus truncatus,0,4806
152.6486,-28.4616,3,1180,1080,2,168,9,-122504.375187548,6835175.45384486,91,Cacophis kreftii,0,721
153.5615,-28.7913,3,1664,1350,1,197,0,-31200.4121417062,6802970.7749555,197,Pseudechis porphyricaus,0,1575
