species,feature,importance
Cacophis kreftii,easting,0.013449837295802819
Cacophis kreftii,northing,0.03518047525572384
Cacophis kreftii,disturb,0.002427313978264381
Cacophis kreftii,rainann,0.005689346332233305
Cacophis kreftii,soildepth,0.004656111615932013
Cacophis kreftii,soilfert,0.0030380076569862602
Cacophis kreftii,tempann,0.008120943380561758
Cacophis kreftii,topo,-0.0051457505792094765
Calyptotis scutirostrum,easting,0.00036678897625194024
Calyptotis scutirostrum,northing,0.058673991792937176
Calyptotis scutirostrum,disturb,0.0014749346479450503
Calyptotis scutirostrum,rainann,-0.009053093223089965
Calyptotis scutirostrum,soildepth,-0.001687591256076286
Calyptotis scutirostrum,soilfert,0.001614466647401859
Calyptotis scutirostrum,tempann,0.004321209894843572
Calyptotis scutirostrum,topo,0.029117881060659778
Coeranoscincus reticulatus,easting,0.0484792345721721
Coeranoscincus reticulatus,northing,0.09019339225692742
Coeranoscincus reticulatus,disturb,0.002588424463443648
Coeranoscincus reticulatus,rainann,0.02837836211712596
Coeranoscincus reticulatus,soildepth,0.0012572026175780321
Coeranoscincus reticulatus,soilfert,7.251487755216835e-05
Coeranoscincus reticulatus,tempann,0.0761653866455467
Coeranoscincus reticulatus,topo,-0.002989538318008711
Egernia mcpheei,easting,0.007163737163653107
Egernia mcpheei,northing,-0.0056534623073947075
Egernia mcpheei,disturb,0.017110930187024077
Egernia mcpheei,rainann,0.0032703519628497395
Egernia mcpheei,soildepth,-0.00103658994661225
Egernia mcpheei,soilfert,-0.0034957685872282866
Egernia mcpheei,tempann,-0.004479491663332008
Egernia mcpheei,topo,0.00019691327141685698
Eulamprus murrayi,easting,0.017541329282749207
Eulamprus murrayi,northing,0.017536856630188714
Eulamprus murrayi,disturb,0.0011095903738486735
Eulamprus murrayi,rainann,0.00904880851657702
Eulamprus murrayi,soildepth,0.00503306483285206
Eulamprus murrayi,soilfert,0.004145138140938772
Eulamprus murrayi,tempann,0.013976461054395133
Eulamprus murrayi,topo,0.007274965735499972
Ophioscincus truncatus,easting,-0.012196010870490359
Ophioscincus truncatus,northing,-0.004991441060732965
Ophioscincus truncatus,disturb,0.00014932407313476004
Ophioscincus truncatus,rainann,0.020603013324607476
Ophioscincus truncatus,soildepth,-0.01482635899254148
Ophioscincus truncatus,soilfert,-0.004602658231605436
Ophioscincus truncatus,tempann,0.01188262427409858
Ophioscincus truncatus,topo,0.013911314285671014
Pseudechis porphyricaus,easting,0.016577074713338802
Pseudechis porphyricaus,northing,0.01489725190980265
Pseudechis porphyricaus,disturb,0.0017377962860633312
Pseudechis porphyricaus,rainann,0.007316048850767603
Pseudechis porphyricaus,soildepth,0.0112557652142504
Pseudechis porphyricaus,soilfert,0.016091001831565373
Pseudechis porphyricaus,tempann,0.01761364340499505
Pseudechis porphyricaus,topo,0.0011604296742891845
Saltuarius swaini,easting,-0.005669148325182356
Saltuarius swaini,northing,0.002655811208440268
Saltuarius swaini,disturb,-0.007484272699485578
Saltuarius swaini,rainann,0.0010339923518295178
Saltuarius swaini,soildepth,0.007948428301958839
Saltuarius swaini,soilfert,0.0032111806343229307
Saltuarius swaini,tempann,-0.00936967505024463
Saltuarius swaini,topo,0.014625848964032854
