species,feature,importance
Cacophis kreftii,easting,0.006032074245373851
Cacophis kreftii,northing,0.04974498010018835
Cacophis kreftii,disturb,0.00020202668748668106
Cacophis kreftii,rainann,0.0015575997176107699
Cacophis kreftii,soildepth,0.003022351188735719
Cacophis kreftii,soilfert,0.005440307596876778
Cacophis kreftii,tempann,0.007561990972695233
Cacophis kreftii,topo,-0.003924807282980335
Calyptotis scutirostrum,easting,0.0011898104800017045
Calyptotis scutirostrum,northing,0.05692101784617948
Calyptotis scutirostrum,disturb,-0.00023032412008030384
Calyptotis scutirostrum,rainann,-0.007411948274041338
Calyptotis scutirostrum,soildepth,-0.003418179313317149
Calyptotis scutirostrum,soilfert,-0.007135492828085029
Calyptotis scutirostrum,tempann,0.0052338981824075915
Calyptotis scutirostrum,topo,-0.003821923345125115
Coeranoscincus reticulatus,easting,0.0661136964490439
Coeranoscincus reticulatus,northing,0.09576276195519438
Coeranoscincus reticulatus,disturb,0.0008584915994638259
Coeranoscincus reticulatus,rainann,0.01722113868153194
Coeranoscincus reticulatus,soildepth,-0.0003056045558979814
Coeranoscincus reticulatus,soilfert,0.0023269210575194237
Coeranoscincus reticulatus,tempann,0.0689771842824139
Coeranoscincus reticulatus,topo,-0.0035439393768626954
Egernia mcpheei,easting,0.0282306805545186
Egernia mcpheei,northing,-0.0012020834740722353
Egernia mcpheei,disturb,0.004232609284600292
Egernia mcpheei,rainann,0.003903395438007373
Egernia mcpheei,soildepth,-0.0030308229306533056
Egernia mcpheei,soilfert,0.0004451983863935749
Egernia mcpheei,tempann,0.0022851493218051405
Egernia mcpheei,topo,0.006577930930862006
Eulamprus murrayi,easting,-0.011949918415202192
Eulamprus murrayi,northing,-0.013748339423323949
Eulamprus murrayi,disturb,-0.0004942327102825071
Eulamprus murrayi,rainann,0.0005323919581667988
Eulamprus murrayi,soildepth,-0.0086061624220912
Eulamprus murrayi,soilfert,-0.004788252474229234
Eulamprus murrayi,tempann,0.002368946394403532
Eulamprus murrayi,topo,-0.0037292826467988788
Ophioscincus truncatus,easting,0.002257530078826825
Ophioscincus truncatus,northing,0.003942316143313957
Ophioscincus truncatus,disturb,-6.771294009826623e-05
Ophioscincus truncatus,rainann,0.03556998837750637
Ophioscincus truncatus,soildepth,-0.00916915235265119
Ophioscincus truncatus,soilfert,0.0007046521314185872
Ophioscincus truncatus,tempann,0.019947510563411836
Ophioscincus truncatus,topo,0.009598185590892972
Pseudechis porphyricaus,easting,0.01897243651919683
Pseudechis porphyricaus,northing,0.00875437850592567
Pseudechis porphyricaus,disturb,0.0012933285704367797
Pseudechis porphyricaus,rainann,0.018094599316744408
Pseudechis porphyricaus,soildepth,0.009844566917615434
Pseudechis porphyricaus,soilfert,0.012986668027078296
Pseudechis porphyricaus,tempann,0.011166666107370557
Pseudechis porphyricaus,topo,0.0002879390833985772
Saltuarius swaini,easting,0.0005882248076284485
Saltuarius swaini,northing,0.05141985067076913
Saltuarius swaini,disturb,-0.004248578733522327
Saltuarius swaini,rainann,0.027190822717998754
Saltuarius swaini,soildepth,0.011129323379003516
Saltuarius swaini,soilfert,0.0034457356201068024
Saltuarius swaini,tempann,1.6284983406405355e-05
Saltuarius swaini,topo,-0.007666756657877164
