species,feature,importance
Cacophis kreftii,easting,0.01324152140163461
Cacophis kreftii,northing,0.03708294439291461
Cacophis kreftii,disturb,0.0028070236339073546
Cacophis kreftii,rainann,0.005918138582699032
Cacophis kreftii,soildepth,0.00458374893115311
Cacophis kreftii,soilfert,0.0038967525994793055
Cacophis kreftii,tempann,0.0074380410388572874
Cacophis kreftii,topo,-0.004231969900416026
Calyptotis scutirostrum,easting,0.0013964428556731856
Calyptotis scutirostrum,northing,0.05962240961432184
Calyptotis scutirostrum,disturb,0.0004826129338856053
Calyptotis scutirostrum,rainann,-0.00957266557423955
Calyptotis scutirostrum,soildepth,-0.0011029665480048162
Calyptotis scutirostrum,soilfert,0.0006781312101834275
Calyptotis scutirostrum,tempann,0.0008878355385541464
Calyptotis scutirostrum,topo,0.02899314062718845
Coeranoscincus reticulatus,easting,0.05105268283110083
Coeranoscincus reticulatus,northing,0.09318574148097539
Coeranoscincus reticulatus,disturb,0.0023406227474532305
Coeranoscincus reticulatus,rainann,0.02509656058688343
Coeranoscincus reticulatus,soildepth,0.00016896586503377387
Coeranoscincus reticulatus,soilfert,-0.0004574342268283876
Coeranoscincus reticulatus,tempann,0.07621795412466673
Coeranoscincus reticulatus,topo,-0.0035413662330978203
Egernia mcpheei,easting,0.0071594042196259314
Egernia mcpheei,northing,-0.004960023384914308
Egernia mcpheei,disturb,0.0018071980320259959
Egernia mcpheei,rainann,0.0024971490279205163
Egernia mcpheei,soildepth,-0.0012201308542762516
Egernia mcpheei,soilfert,-0.004168111936888997
Egernia mcpheei,tempann,-0.006368908042908817
Egernia mcpheei,topo,-0.0011047122200185493
Eulamprus murrayi,easting,0.017889815221521
Eulamprus murrayi,northing,0.016354251964391987
Eulamprus murrayi,disturb,0.0010396242046356908
Eulamprus murrayi,rainann,0.008085103779595176
Eulamprus murrayi,soildepth,0.0053325214976021
Eulamprus murrayi,soilfert,0.004411699995418782
Eulamprus murrayi,tempann,0.013332850424526057
Eulamprus murrayi,topo,0.007526365850537386
Ophioscincus truncatus,easting,-0.012071276033996343
Ophioscincus truncatus,northing,-0.004663552896503859
Ophioscincus truncatus,disturb,-0.00029145357726159394
Ophioscincus truncatus,rainann,0.019364281913650413
Ophioscincus truncatus,soildepth,-0.01450761001693504
Ophioscincus truncatus,soilfert,-0.004663944626153424
Ophioscincus truncatus,tempann,0.013551450338372201
Ophioscincus truncatus,topo,0.0063214521454338255
Pseudechis porphyricaus,easting,0.015259577989415945
Pseudechis porphyricaus,northing,0.015130700530711744
Pseudechis porphyricaus,disturb,0.002003777116343655
Pseudechis porphyricaus,rainann,0.006644473609291451
Pseudechis porphyricaus,soildepth,0.011384473939733297
Pseudechis porphyricaus,soilfert,0.01535924352568761
Pseudechis porphyricaus,tempann,0.015788228121830436
Pseudechis porphyricaus,topo,0.0009094947349666975
Saltuarius swaini,easting,-0.004420893826686626
Saltuarius swaini,northing,0.0016091608273068874
Saltuarius swaini,disturb,-0.00748749042217049
Saltuarius swaini,rainann,0.00019294555875510322
Saltuarius swaini,soildepth,0.009831928346793573
Saltuarius swaini,soilfert,0.004003765080932366
Saltuarius swaini,tempann,-0.009443650728280508
Saltuarius swaini,topo,-0.0024393079693647906
