species,feature,importance
Cacophis kreftii,easting,0.005921718962156153
Cacophis kreftii,northing,0.049840360103796465
Cacophis kreftii,disturb,-1.0142526471630663e-05
Cacophis kreftii,rainann,0.002016199282242914
Cacophis kreftii,soildepth,0.0025518342052225397
Cacophis kreftii,soilfert,0.0054005755612889445
Cacophis kreftii,tempann,0.006485624664154799
Cacophis kreftii,topo,-0.0038690741510672413
Calyptotis scutirostrum,easting,0.0032775267487839058
Calyptotis scutirostrum,northing,0.054803927770148565
Calyptotis scutirostrum,disturb,0.0018534263175135652
Calyptotis scutirostrum,rainann,-0.006821363294590439
Calyptotis scutirostrum,soildepth,-0.002036502268626647
Calyptotis scutirostrum,soilfert,-0.006023094306954224
Calyptotis scutirostrum,tempann,0.006626567028294866
Calyptotis scutirostrum,topo,-0.0016429756411605503
Coeranoscincus reticulatus,easting,0.06425634808144173
Coeranoscincus reticulatus,northing,0.09377610296961425
Coeranoscincus reticulatus,disturb,0.0006326166452010285
Coeranoscincus reticulatus,rainann,0.01622606532801742
Coeranoscincus reticulatus,soildepth,0.00033513113439284095
Coeranoscincus reticulatus,soilfert,0.0017630662744460208
Coeranoscincus reticulatus,tempann,0.06770705817792197
Coeranoscincus reticulatus,topo,-0.0026200806171846253
Egernia mcpheei,easting,0.009443130514502691
Egernia mcpheei,northing,-0.0010038470557317922
Egernia mcpheei,disturb,0.0030238880237894
Egernia mcpheei,rainann,0.004974200155598262
Egernia mcpheei,soildepth,-0.0027731483365385848
Egernia mcpheei,soilfert,0.0009462542327883002
Egernia mcpheei,tempann,0.0009122000779826181
Egernia mcpheei,topo,0.004650874756745527
Eulamprus murrayi,easting,-0.012368417013541355
Eulamprus murrayi,northing,-0.014170341072677003
Eulamprus murrayi,disturb,-0.00039579841258260485
Eulamprus murrayi,rainann,0.0003457344601720376
Eulamprus murrayi,soildepth,-0.009069393001771916
Eulamprus murrayi,soilfert,-0.00452469742340487
Eulamprus murrayi,tempann,0.0022438529201114785
Eulamprus murrayi,topo,-0.003958917835248459
Ophioscincus truncatus,easting,0.0020354918273356114
Ophioscincus truncatus,northing,0.00299894075379088
Ophioscincus truncatus,disturb,0.0003971758158130362
Ophioscincus truncatus,rainann,0.03578772535172643
Ophioscincus truncatus,soildepth,-0.008309316074929718
Ophioscincus truncatus,soilfert,0.001202751863101806
Ophioscincus truncatus,tempann,0.018518549165437968
Ophioscincus truncatus,topo,0.007741880722700043
Pseudechis porphyricaus,easting,0.019723539935634797
Pseudechis porphyricaus,northing,0.008132222743632286
Pseudechis porphyricaus,disturb,0.001537981035263551
Pseudechis porphyricaus,rainann,0.015118710847218437
Pseudechis porphyricaus,soildepth,0.009335125727415504
Pseudechis porphyricaus,soilfert,0.013320141769136271
Pseudechis porphyricaus,tempann,0.01008676371467995
Pseudechis porphyricaus,topo,0.0007458216145587775
Saltuarius swaini,easting,-0.0013229893052255407
Saltuarius swaini,northing,0.04977690194741253
Saltuarius swaini,disturb,-0.005156946489917702
Saltuarius swaini,rainann,0.02174968444808254
Saltuarius swaini,soildepth,0.010004247835383031
Saltuarius swaini,soilfert,0.0028193222770105117
Saltuarius swaini,tempann,-0.0015049067273539315
Saltuarius swaini,topo,-0.009366730301106315
