long,lat,disturb,rainann,soildepth,soilfert,tempann,topo,easting,northing,plot,Species,pres.abs,id
153.4889,-28.1669,3,1588,1139,2,200,0,-41493.9280416253,6871991.45080523,1,Cacophis kreftii,0,1
153.4889,-28.1669,3,1588,1139,2,200,0,-41493.9280416253,6871991.45080523,1,Calyptotis scutirostrum,0,2
153.4889,-28.1669,3,1588,1139,2,200,0,-41493.9280416253,6871991.45080523,1,Coeranoscincus reticulatus,0,3
153.4889,-28.1669,3,1588,1139,2,200,0,-41493.9280416253,6871991.45080523,1,Egernia mcpheei,0,4
153.4889,-28.1669,3,1588,1139,2,200,0,-41493.9280416253,6871991.45080523,1,Eulamprus murrayi,0,5
153.4889,-28.1669,3,1588,1139,2,200,0,-41493.9280416253,6871991.45080523,1,Ophioscincus truncatus,0,6
153.4889,-28.1669,3,1588,1139,2,200,0,-41493.9280416253,6871991.45080523,1,Pseudechis porphyricaus,0,7
153.4889,-28.1669,3,1588,1139,2,200,0,-41493.9280416253,6871991.45080523,1,Saltuarius swaini,0,8
153.493,-28.1687,3,1594,1159,2,200,0,-41081.2907853927,6871809.90930948,2,Cacophis kreftii,0,9
153.493,-28.1687,3,1594,1159,2,200,0,-41081.2907853927,6871809.90930948,2,Calyptotis scutirostrum,0,10
153.493,-28.1687,3,1594,1159,2,200,0,-41081.2907853927,6871809.90930948,2,Coeranoscincus reticulatus,0,11
153.493,-28.1687,3,1594,1159,2,200,0,-41081.2907853927,6871809.90930948,2,Egernia mcpheei,0,12
153.493,-28.1687,3,1594,1159,2,200,0,-41081.2907853927,6871809.90930948,2,Eulamprus murrayi,0,13
153.493,-28.1687,3,1594,1159,2,200,0,-41081.2907853927,6871809.90930948,2,Ophioscincus truncatus,0,14
153.493,-28.1687,3,1594,1159,2,200,0,-41081.2907853927,6871809.90930948,2,Pseudechis porphyricaus,0,15
153.493,-28.1687,3,1594,1159,2,200,0,-41081.2907853927,6871809.90930948,2,Saltuarius swaini,0,16
153.493,-28.1705,3,1594,1159,2,200,-1,-41072.1914095881,6871609.99494362,3,Cacophis kreftii,0,17
153.493,-28.1705,3,1594,1159,2,200,-1,-41072.1914095881,6871609.99494362,3,Calyptotis scutirostrum,0,18
153.493,-28.1705,3,1594,1159,2,200,-1,-41072.1914095881,6871609.99494362,3,Coeranoscincus reticulatus,0,19
153.493,-28.1705,3,1594,1159,2,200,-1,-41072.1914095881,6871609.99494362,3,Egernia mcpheei,0,20
153.493,-28.1705,3,1594,1159,2,200,-1,-41072.1914095881,6871609.99494362,3,Eulamprus murrayi,0,21
153.493,-28.1705,3,1594,1159,2,200,-1,-41072.1914095881,6871609.99494362,3,Ophioscincus truncatus,0,22
153.493,-28.1705,3,1594,1159,2,200,-1,-41072.1914095881,6871609.99494362,3,Pseudechis porphyricaus,0,23
153.493,-28.1705,3,1594,1159,2,200,-1,-41072.1914095881,6871609.99494362,3,Saltuarius swaini,0,24
153.4951,-28.1705,3,1594,1159,2,200,-1,-40865.5086195344,6871619.40086448,4,Cacophis kreftii,0,25
153.4951,-28.1705,3,1594,1159,2,200,-1,-40865.5086195344,6871619.40086448,4,Calyptotis scutirostrum,0,26
153.4951,-28.1705,3,1594,1159,2,200,-1,-40865.5086195344,6871619.40086448,4,Coeranoscincus reticulatus,0,27
153.4951,-28.1705,3,1594,1159,2,200,-1,-40865.5086195344,6871619.40086448,4,Egernia mcpheei,0,28
153.4951,-28.1705,3,1594,1159,2,200,-1,-40865.5086195344,6871619.40086448,4,Eulamprus murrayi,0,29
153.4951,-28.1705,3,1594,1159,2,200,-1,-40865.5086195344,6871619.40086448,4,Ophioscincus truncatus,0,30
153.4951,-28.1705,3,1594,1159,2,200,-1,-40865.5086195344,6871619.40086448,4,Pseudechis porphyricaus,0,31
153.4951,-28.1705,3,1594,1159,2,200,-1,-40865.5086195344,6871619.40086448,4,Saltuarius swaini,0,32
153.5502,-28.1974,3,1676,1350,1,200,-1,-35308.0704721359,6868877.44698887,5,Cacophis kreftii,0,33
153.5502,-28.1974,3,1676,1350,1,200,-1,-35308.0704721359,6868877.44698887,5,Calyptotis scutirostrum,0,34
153.5502,-28.1974,3,1676,1350,1,200,-1,-35308.0704721359,6868877.44698887,5,Coeranoscincus reticulatus,0,35
153.5502,-28.1974,3,1676,1350,1,200,-1,-35308.0704721359,6868877.44698887,5,Egernia mcpheei,0,36
153.5502,-28.1974,3,1676,1350,1,200,-1,-35308.0704721359,6868877.44698887,5,Eulamprus murrayi,0,37
153.5502,-28.1974,3,1676,1350,1,200,-1,-35308.0704721359,6868877.44698887,5,Ophioscincus truncatus,0,38
153.5502,-28.1974,3,1676,1350,1,200,-1,-35308.0704721359,6868877.44698887,5,Pseudechis porphyricaus,0,39
153.5502,-28.1974,3,1676,1350,1,200,-1,-35308.0704721359,6868877.44698887,5,Saltuarius swaini,0,40
153.5543,-28.1974,3,1666,1340,1,200,0,-34904.6711515897,6868895.62594752,6,Cacophis kreftii,0,41
153.5543,-28.1974,3,1666,1340,1,200,0,-34904.6711515897,6868895.62594752,6,Calyptotis scutirostrum,0,42
153.5543,-28.1974,3,1666,1340,1,200,0,-34904.6711515897,6868895.62594752,6,Coeranoscincus reticulatus,0,43
153.5543,-28.1974,3,1666,1340,1,200,0,-34904.6711515897,6868895.62594752,6,Egernia mcpheei,0,44
153.5543,-28.1974,3,1666,1340,1,200,0,-34904.6711515897,6868895.62594752,6,Eulamprus murrayi,0,45
153.5543,-28.1974,3,1666,1340,1,200,0,-34904.6711515897,6868895.62594752,6,Ophioscincus truncatus,0,46
153.5543,-28.1974,3,1666,1340,1,200,0,-34904.6711515897,6868895.62594752,6,Pseudechis porphyricaus,0,47
153.5543,-28.1974,3,1666,1340,1,200,0,-34904.6711515897,6868895.62594752,6,Saltuarius swaini,0,48
153.5502,-28.201,3,1684,1360,1,200,-1,-35290.0454930004,6868477.63934909,7,Cacophis kreftii,0,49
153.5502,-28.201,3,1684,1360,1,200,-1,-35290.0454930004,6868477.63934909,7,Calyptotis scutirostrum,0,50
153.5502,-28.201,3,1684,1360,1,200,-1,-35290.0454930004,6868477.63934909,7,Coeranoscincus reticulatus,0,51
153.5502,-28.201,3,1684,1360,1,200,-1,-35290.0454930004,6868477.63934909,7,Egernia mcpheei,0,52
153.5502,-28.201,3,1684,1360,1,200,-1,-35290.0454930004,6868477.63934909,7,Eulamprus murrayi,0,53
153.5502,-28.201,3,1684,1360,1,200,-1,-35290.0454930004,6868477.63934909,7,Ophioscincus truncatus,0,54
153.5502,-28.201,3,1684,1360,1,200,-1,-35290.0454930004,6868477.63934909,7,Pseudechis porphyricaus,0,55
153.5502,-28.201,3,1684,1360,1,200,-1,-35290.0454930004,6868477.63934909,7,Saltuarius swaini,0,56
152.5066,-28.2536,2,1558,1110,2,160,-7,-137704.412592416,6857551.30118634,8,Cacophis kreftii,0,57
152.5066,-28.2536,2,1558,1110,2,160,-7,-137704.412592416,6857551.30118634,8,Calyptotis scutirostrum,1,58
152.5066,-28.2536,2,1558,1110,2,160,-7,-137704.412592416,6857551.30118634,8,Coeranoscincus reticulatus,0,59
152.5066,-28.2536,2,1558,1110,2,160,-7,-137704.412592416,6857551.30118634,8,Egernia mcpheei,0,60
152.5066,-28.2536,2,1558,1110,2,160,-7,-137704.412592416,6857551.30118634,8,Eulamprus murrayi,0,61
152.5066,-28.2536,2,1558,1110,2,160,-7,-137704.412592416,6857551.30118634,8,Ophioscincus truncatus,0,62
152.5066,-28.2536,2,1558,1110,2,160,-7,-137704.412592416,6857551.30118634,8,Pseudechis porphyricaus,0,63
152.5066,-28.2536,2,1558,1110,2,160,-7,-137704.412592416,6857551.30118634,8,Saltuarius swaini,0,64
152.4993,-28.2579,2,1570,1110,2,158,-4,-138397.248869934,6857034.50366113,9,Cacophis kreftii,0,65
152.4993,-28.2579,2,1570,1110,2,158,-4,-138397.248869934,6857034.50366113,9,Calyptotis scutirostrum,1,66
152.4993,-28.2579,2,1570,1110,2,158,-4,-138397.248869934,6857034.50366113,9,Coeranoscincus reticulatus,0,67
152.4993,-28.2579,2,1570,1110,2,158,-4,-138397.248869934,6857034.50366113,9,Egernia mcpheei,0,68
152.4993,-28.2579,2,1570,1110,2,158,-4,-138397.248869934,6857034.50366113,9,Eulamprus murrayi,0,69
152.4993,-28.2579,2,1570,1110,2,158,-4,-138397.248869934,6857034.50366113,9,Ophioscincus truncatus,0,70
152.4993,-28.2579,2,1570,1110,2,158,-4,-138397.248869934,6857034.50366113,9,Pseudechis porphyricaus,0,71
152.4993,-28.2579,2,1570,1110,2,158,-4,-138397.248869934,6857034.50366113,9,Saltuarius swaini,0,72
152.5147,-28.2608,3,1474,1080,2,159,-10,-136863.959527277,6856793.78799094,10,Cacophis kreftii,0,73
152.5147,-28.2608,3,1474,1080,2,159,-10,-136863.959527277,6856793.78799094,10,Calyptotis scutirostrum,1,74
152.5147,-28.2608,3,1474,1080,2,159,-10,-136863.959527277,6856793.78799094,10,Coeranoscincus reticulatus,0,75
152.5147,-28.2608,3,1474,1080,2,159,-10,-136863.959527277,6856793.78799094,10,Egernia mcpheei,0,76
152.5147,-28.2608,3,1474,1080,2,159,-10,-136863.959527277,6856793.78799094,10,Eulamprus murrayi,0,77
152.5147,-28.2608,3,1474,1080,2,159,-10,-136863.959527277,6856793.78799094,10,Ophioscincus truncatus,0,78
152.5147,-28.2608,3,1474,1080,2,159,-10,-136863.959527277,6856793.78799094,10,Pseudechis porphyricaus,0,79
152.5147,-28.2608,3,1474,1080,2,159,-10,-136863.959527277,6856793.78799094,10,Saltuarius swaini,0,80
152.5229,-28.2644,3,1402,1090,4,160,10,-136035.289036256,6856436.98532356,11,Cacophis kreftii,0,81
152.5229,-28.2644,3,1402,1090,4,160,10,-136035.289036256,6856436.98532356,11,Calyptotis scutirostrum,0,82
152.5229,-28.2644,3,1402,1090,4,160,10,-136035.289036256,6856436.98532356,11,Coeranoscincus reticulatus,0,83
152.5229,-28.2644,3,1402,1090,4,160,10,-136035.289036256,6856436.98532356,11,Egernia mcpheei,0,84
152.5229,-28.2644,3,1402,1090,4,160,10,-136035.289036256,6856436.98532356,11,Eulamprus murrayi,0,85
152.5229,-28.2644,3,1402,1090,4,160,10,-136035.289036256,6856436.98532356,11,Ophioscincus truncatus,0,86
152.5229,-28.2644,3,1402,1090,4,160,10,-136035.289036256,6856436.98532356,11,Pseudechis porphyricaus,0,87
152.5229,-28.2644,3,1402,1090,4,160,10,-136035.289036256,6856436.98532356,11,Saltuarius swaini,0,88
153.5609,-28.302,2,1738,1370,1,200,0,-33731.7544986707,6857308.33389593,12,Cacophis kreftii,0,89
153.5609,-28.302,2,1738,1370,1,200,0,-33731.7544986707,6857308.33389593,12,Calyptotis scutirostrum,0,90
153.5609,-28.302,2,1738,1370,1,200,0,-33731.7544986707,6857308.33389593,12,Coeranoscincus reticulatus,0,91
153.5609,-28.302,2,1738,1370,1,200,0,-33731.7544986707,6857308.33389593,12,Egernia mcpheei,0,92
153.5609,-28.302,2,1738,1370,1,200,0,-33731.7544986707,6857308.33389593,12,Eulamprus murrayi,0,93
153.5609,-28.302,2,1738,1370,1,200,0,-33731.7544986707,6857308.33389593,12,Ophioscincus truncatus,0,94
153.5609,-28.302,2,1738,1370,1,200,0,-33731.7544986707,6857308.33389593,12,Pseudechis porphyricaus,0,95
153.5609,-28.302,2,1738,1370,1,200,0,-33731.7544986707,6857308.33389593,12,Saltuarius swaini,0,96
153.5548,-28.3039,2,1746,1370,1,200,0,-34321.800023131,6857070.2411377,13,Cacophis kreftii,0,97
153.5548,-28.3039,2,1746,1370,1,200,0,-34321.800023131,6857070.2411377,13,Calyptotis scutirostrum,0,98
153.5548,-28.3039,2,1746,1370,1,200,0,-34321.800023131,6857070.2411377,13,Coeranoscincus reticulatus,0,99
153.5548,-28.3039,2,1746,1370,1,200,0,-34321.800023131,6857070.2411377,13,Egernia mcpheei,0,100
153.5548,-28.3039,2,1746,1370,1,200,0,-34321.800023131,6857070.2411377,13,Eulamprus murrayi,0,101
153.5548,-28.3039,2,1746,1370,1,200,0,-34321.800023131,6857070.2411377,13,Ophioscincus truncatus,0,102
153.5548,-28.3039,2,1746,1370,1,200,0,-34321.800023131,6857070.2411377,13,Pseudechis porphyricaus,0,103
153.5548,-28.3039,2,1746,1370,1,200,0,-34321.800023131,6857070.2411377,13,Saltuarius swaini,0,104
153.5549,-28.3111,3,1736,1360,1,200,0,-34275.8254670192,6856271.07240226,14,Cacophis kreftii,0,105
153.5549,-28.3111,3,1736,1360,1,200,0,-34275.8254670192,6856271.07240226,14,Calyptotis scutirostrum,0,106
153.5549,-28.3111,3,1736,1360,1,200,0,-34275.8254670192,6856271.07240226,14,Coeranoscincus reticulatus,0,107
