coord,family,formulation,random,spatial,gap
with_coords,Logistic Regression,single,0.1887,0.1919,0.0031
with_coords,GAM,single,0.1735,0.1953,0.0218
with_coords,Random Forest,single,0.1988,0.2278,0.029
with_coords,XGBoost,single,0.1603,0.2073,0.047
with_coords,MLP,single,0.1943,0.2337,0.0394
with_coords,Logistic Regression,multi,0.2057,0.2157,0.01
with_coords,GAM,multi,0.1963,0.2171,0.0208
with_coords,Random Forest,multi,0.1982,0.2444,0.0462
with_coords,XGBoost,multi,0.1655,0.2015,0.036
with_coords,MLP,multi,0.1688,0.1946,0.0258
with_coords,Logistic Regression,multi_interactions,0.1864,0.1906,0.0042
with_coords,GAM,multi_interactions,0.1695,0.1967,0.0272
with_coords,Random Forest,multi_interactions,0.1942,0.2403,0.0461
with_coords,XGBoost,multi_interactions,0.1656,0.2028,0.0372
with_coords,MLP,multi_interactions,0.1707,0.2018,0.0311
