coordinate_setting,model,species,random,spatial,optimism_gap_auc,morans_i
no_coords,GAM_multi_interactions_no_coords,Cacophis kreftii,0.8165322580645161,0.9921259842519685,-0.1755937261874524,0.08783336604775735
no_coords,GAM_multi_interactions_no_coords,Calyptotis scutirostrum,0.8984375,0.8046822742474916,0.09375522575250839,0.19597376669681993
no_coords,GAM_multi_interactions_no_coords,Coeranoscincus reticulatus,0.8069444444444445,0.8019886363636364,0.0049558080808080884,0.29076615615028223
no_coords,GAM_multi_interactions_no_coords,Egernia mcpheei,0.9413333333333334,0.8142076502732241,0.1271256830601093,-0.02257107013738123
no_coords,GAM_multi_interactions_no_coords,Eulamprus murrayi,0.4251968503937008,,,0.5284520613051217
no_coords,GAM_multi_interactions_no_coords,Ophioscincus truncatus,0.8046757164404224,0.7505016722408027,0.054174044199619686,0.23969727144791725
no_coords,GAM_multi_interactions_no_coords,Pseudechis porphyricaus,0.48533333333333334,0.6865079365079365,-0.20117460317460317,-0.011672277652765167
no_coords,GAM_multi_interactions_no_coords,Saltuarius swaini,0.7007874015748031,,,0.4838676398287838
no_coords,GAM_multi_no_coords,Cacophis kreftii,0.842741935483871,1.0,-0.157258064516129,0.08280501918195972
no_coords,GAM_multi_no_coords,Calyptotis scutirostrum,0.82421875,0.7344481605351171,0.08977058946488292,0.2030619282306546
no_coords,GAM_multi_no_coords,Coeranoscincus reticulatus,0.6800925925925926,0.7048295454545455,-0.024736952861952877,0.4119734596591217
no_coords,GAM_multi_no_coords,Egernia mcpheei,0.936,0.8278688524590164,0.10813114754098363,-0.015131845930274524
no_coords,GAM_multi_no_coords,Eulamprus murrayi,0.4330708661417323,,,0.5965743937219826
no_coords,GAM_multi_no_coords,Ophioscincus truncatus,0.7677224736048266,0.6662207357859532,0.1015017378188734,0.32475355926386706
no_coords,GAM_multi_no_coords,Pseudechis porphyricaus,0.52,0.40476190476190477,0.11523809523809525,0.002628704028581448
no_coords,GAM_multi_no_coords,Saltuarius swaini,0.8582677165354331,,,0.5996562512038651
no_coords,GAM_single_no_coords,Cacophis kreftii,0.7157258064516129,0.8031496062992126,-0.08742379984759974,0.15947937708315357
no_coords,GAM_single_no_coords,Calyptotis scutirostrum,0.8900669642857143,0.7993311036789298,0.09073586060678451,0.1803001921581906
no_coords,GAM_single_no_coords,Coeranoscincus reticulatus,0.8037037037037037,0.7900568181818182,0.013646885521885532,0.30878989034016563
no_coords,GAM_single_no_coords,Egernia mcpheei,0.92,0.7595628415300546,0.16043715846994544,-0.002286630194187472
no_coords,GAM_single_no_coords,Eulamprus murrayi,0.15748031496062992,,,0.5350530027276921
no_coords,GAM_single_no_coords,Ophioscincus truncatus,0.802790346907994,0.8053511705685619,-0.002560823660567868,0.21046585075074864
no_coords,GAM_single_no_coords,Pseudechis porphyricaus,0.42933333333333334,0.7341269841269841,-0.30479365079365073,-0.013003911003661927
no_coords,GAM_single_no_coords,Saltuarius swaini,0.31496062992125984,,,0.6421732233230666
