model,split_type,use_coords,candidate,fold,classifier__C,classifier__class_weight,features__n_knots,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
GAM_multi_interactions_no_coords,random,False,1,1,0.1,,4,824,52,0.1782178931220845,0.8551215623754485,0.40866918214232667,0.04891983926996474,0.0,0.0,1.0
GAM_multi_interactions_no_coords,random,False,1,2,0.1,,4,824,52,0.1781065733455029,0.8754483858110802,0.3613664166796607,0.05021298235248987,0.0,0.0,1.0
GAM_multi_interactions_no_coords,random,False,1,3,0.1,,4,824,50,0.17569697793353087,0.8471576227390181,0.4054547072473324,0.04744519762936269,0.0,0.0,1.0
GAM_multi_interactions_no_coords,random,False,1,4,0.1,,4,816,49,0.17254722630375308,0.8666152249687359,0.31041532453027504,0.04791521689313489,0.0,0.0,1.0
GAM_multi_interactions_no_coords,random,False,1,5,0.1,,4,816,48,0.17319934435943016,0.8601888020833334,0.28181734342648357,0.04795471572671718,0.0,0.0,1.0
GAM_multi_interactions_no_coords,random,False,2,1,0.1,,6,824,52,0.1730218081523216,0.8648116779593463,0.4406367390509006,0.04733533727978511,0.0,0.0,1.0
GAM_multi_interactions_no_coords,random,False,2,2,0.1,,6,824,52,0.1764458896064382,0.8770426464726984,0.36038819000521194,0.04961531677795064,0.0,0.0,1.0
GAM_multi_interactions_no_coords,random,False,2,3,0.1,,6,824,50,0.16996488928486203,0.8572093023255813,0.41431711507873537,0.045777431723210145,0.0,0.0,1.0
GAM_multi_interactions_no_coords,random,False,2,4,0.1,,6,816,49,0.16619131340202364,0.877577628182955,0.37763488546578045,0.04602915605058465,0.0,0.0,0.9986962190352021
GAM_multi_interactions_no_coords,random,False,2,5,0.1,,6,816,48,0.168039863467381,0.8736165364583334,0.3282231143575157,0.04657696165520632,0.0,0.0,1.0
GAM_multi_interactions_no_coords,random,False,3,1,0.1,,8,824,52,0.1723509095907181,0.8651604224790753,0.4428125813613181,0.04704633204068357,0.0,0.0,1.0
GAM_multi_interactions_no_coords,random,False,3,2,0.1,,8,824,52,0.17664014278765133,0.8772419290554005,0.3642045362062945,0.049587012810607865,0.0,0.0,1.0
GAM_multi_interactions_no_coords,random,False,3,3,0.1,,8,824,50,0.16916585020377878,0.8590697674418605,0.4309779797297937,0.04549847203490588,0.0,0.0,1.0
