model,split_type,use_coords,candidate,fold,classifier__C,classifier__class_weight,features__n_knots,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
GAM_multi_interactions_with_coords,random,True,1,1,0.1,,4,824,52,0.17149310241976926,0.8691460741331208,0.4728433603814396,0.047230708510008365,0.0,0.0,1.0
GAM_multi_interactions_with_coords,random,True,1,2,0.1,,4,824,52,0.16996283113629332,0.8952022718214429,0.37409926042750163,0.04887421802165419,0.0,0.0,1.0
GAM_multi_interactions_with_coords,random,True,1,3,0.1,,4,824,50,0.17029668101133694,0.852764857881137,0.38854858709454254,0.046032599044259194,0.0,0.0,1.0
GAM_multi_interactions_with_coords,random,True,1,4,0.1,,4,816,49,0.16441110644700432,0.8847085118271559,0.36274808812447457,0.04600785645966564,0.0,0.0,1.0
GAM_multi_interactions_with_coords,random,True,1,5,0.1,,4,816,48,0.16794658282729202,0.8707139756944445,0.29503248743406185,0.04683930596625929,0.0,0.0,1.0
GAM_multi_interactions_with_coords,random,True,2,1,0.1,,6,824,52,0.1669986668782598,0.8764697090474293,0.4596904332128512,0.04590702494533765,0.0,0.0,1.0
GAM_multi_interactions_with_coords,random,True,2,2,0.1,,6,824,52,0.16773801842447597,0.8983907931446792,0.38600241295134835,0.048031069539923546,0.0,0.0,1.0
GAM_multi_interactions_with_coords,random,True,2,3,0.1,,6,824,50,0.16415107034724205,0.8634366925064598,0.4304241438906255,0.0441181979843945,0.0,0.0,1.0
GAM_multi_interactions_with_coords,random,True,2,4,0.1,,6,816,49,0.15912227064034826,0.8917861799217731,0.3951953452007122,0.044448090775536575,0.0,0.0,0.9986962190352021
GAM_multi_interactions_with_coords,random,True,2,5,0.1,,6,816,48,0.16385809836808274,0.8799641927083334,0.331277396934714,0.045654691760512844,0.038461538461538464,0.020833333333333332,0.99609375
GAM_multi_interactions_with_coords,random,True,3,1,0.1,,8,824,52,0.16662279393444715,0.877665404543643,0.4679778608173597,0.045720377401747295,0.037037037037037035,0.019230769230769232,0.9987046632124352
GAM_multi_interactions_with_coords,random,True,3,2,0.1,,8,824,52,0.16720993543279103,0.9001843363889996,0.4045823247321895,0.04778677801271313,0.03773584905660377,0.019230769230769232,1.0
GAM_multi_interactions_with_coords,random,True,3,3,0.1,,8,824,50,0.16347803698509722,0.8642635658914728,0.4356168833974035,0.043878838932428464,0.0,0.0,0.9987080103359173
GAM_multi_interactions_with_coords,random,True,3,4,0.1,,8,816,49,0.15836173917508767,0.892956922012612,0.39785467382924594,0.04411960121868942,0.038461538461538464,0.02040816326530612,0.9973924380704041
GAM_multi_interactions_with_coords,random,True,3,5,0.1,,8,816,48,0.1633112361275225,0.8804796006944444,0.33720956887086734,0.045346993181974556,0.038461538461538464,0.020833333333333332,0.99609375
