model,split_type,use_coords,candidate,fold,classifier__C,classifier__class_weight,features__n_knots,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
GAM_multi_interactions_with_coords,spatial,True,1,1,0.1,,4,824,50,0.15858372047381816,0.9096640826873384,0.43178051393054007,0.04525312411581134,0.0,0.0,1.0
GAM_multi_interactions_with_coords,spatial,True,1,2,0.1,,4,824,52,0.1659711782791886,0.8883519330410522,0.4456326454641627,0.04633994470013087,0.0,0.0,1.0
GAM_multi_interactions_with_coords,spatial,True,1,3,0.1,,4,816,48,0.17583437664754373,0.8280164930555555,0.2956236105188461,0.04770705094084495,0.0,0.0,1.0
GAM_multi_interactions_with_coords,spatial,True,1,4,0.1,,4,816,49,0.16761610804991034,0.881196285554639,0.31853592403832465,0.04723320327564051,0.0,0.0,0.9986962190352021
GAM_multi_interactions_with_coords,spatial,True,1,5,0.1,,4,824,51,0.17912126847414872,0.8351723613119246,0.38631615450959167,0.0480410584162243,0.038461538461538464,0.0196078431372549,1.0
GAM_multi_interactions_with_coords,spatial,True,2,1,0.1,,6,824,50,0.15370384890534186,0.9181136950904393,0.45133883452592394,0.04381006562270789,0.11320754716981132,0.06,1.0
GAM_multi_interactions_with_coords,spatial,True,2,2,0.1,,6,824,52,0.16005291654266968,0.895874850538063,0.5009047405299134,0.04444622694944894,0.0,0.0,1.0
GAM_multi_interactions_with_coords,spatial,True,2,3,0.1,,6,816,48,0.17172213917156143,0.8424479166666667,0.3369002106761473,0.04647786738247322,0.04081632653061224,0.020833333333333332,1.0
GAM_multi_interactions_with_coords,spatial,True,2,4,0.1,,6,816,49,0.16222310786000843,0.8906952611553096,0.3550190189985122,0.04583182137810496,0.0,0.0,0.9986962190352021
GAM_multi_interactions_with_coords,spatial,True,2,5,0.1,,6,824,51,0.17562082194427434,0.8440250615123153,0.39031060858542344,0.04719247327400093,0.14545454545454545,0.0784313725490196,1.0
GAM_multi_interactions_with_coords,spatial,True,3,1,0.1,,8,824,50,0.15263690705308397,0.92015503875969,0.45027463159782777,0.043386812531744395,0.07692307692307693,0.04,1.0
GAM_multi_interactions_with_coords,spatial,True,3,2,0.1,,8,824,52,0.1585034947202608,0.896896173774412,0.5325965718657623,0.04372033514135661,0.07407407407407407,0.038461538461538464,1.0
GAM_multi_interactions_with_coords,spatial,True,3,3,0.1,,8,816,48,0.17144400280959074,0.841769748263889,0.34507757291716623,0.046278998441777845,0.08,0.041666666666666664,1.0
GAM_multi_interactions_with_coords,spatial,True,3,4,0.1,,8,816,49,0.16050664174514082,0.8933294308596972,0.3719876286885259,0.045297637222275304,0.0,0.0,0.9986962190352021
GAM_multi_interactions_with_coords,spatial,True,3,5,0.1,,8,824,51,0.17521176762341925,0.8472972630190497,0.3864399462853711,0.04722358970970994,0.14545454545454545,0.0784313725490196,1.0
GAM_multi_interactions_with_coords,spatial,True,4,1,0.1,balanced,4,824,50,0.3952488422998942,0.9198191214470284,0.42729835663685095,0.1217621578255939,0.43636363636363634,0.96,0.8423772609819121
GAM_multi_interactions_with_coords,spatial,True,4,2,0.1,balanced,4,824,52,0.407276284665875,0.8988889996014349,0.43206719243642594,0.12780057345847395,0.3776824034334764,0.8461538461538461,0.822538860103627
GAM_multi_interactions_with_coords,spatial,True,4,3,0.1,balanced,4,816,48,0.3939522314286517,0.8484429253472222,0.31311681543840447,0.1237627767919156,0.3425925925925926,0.7708333333333334,0.8294270833333334
GAM_multi_interactions_with_coords,spatial,True,4,4,0.1,balanced,4,816,49,0.3891804409240784,0.9063140249580928,0.32471961168952335,0.1194204934640332,0.3835616438356164,0.8571428571428571,0.833116036505867
GAM_multi_interactions_with_coords,spatial,True,4,5,0.1,balanced,4,824,51,0.4211590851000157,0.8600563123049997,0.41070570885519203,0.13362099756816254,0.3275862068965517,0.7450980392156863,0.815006468305304
GAM_multi_interactions_with_coords,spatial,True,5,1,0.1,balanced,6,824,50,0.38952874359441636,0.9263307493540052,0.4623599921512601,0.11954308152592097,0.42857142857142855,0.96,0.8372093023255814
GAM_multi_interactions_with_coords,spatial,True,5,2,0.1,balanced,6,824,52,0.3832941176601651,0.900931646074133,0.504358736596599,0.11865372509957801,0.38392857142857145,0.8269230769230769,0.832901554404145
GAM_multi_interactions_with_coords,spatial,True,5,3,0.1,balanced,6,816,48,0.3714277705870451,0.8514539930555556,0.34128380130110536,0.11540121809324498,0.3645320197044335,0.7708333333333334,0.8463541666666666
GAM_multi_interactions_with_coords,spatial,True,5,4,0.1,balanced,6,816,49,0.3621867043783685,0.9084426469414363,0.3647363565576914,0.10927824377199735,0.42,0.8571428571428571,0.8578878748370273
GAM_multi_interactions_with_coords,spatial,True,5,5,0.1,balanced,6,824,51,0.4012145292405996,0.8625929026202976,0.41619700101814144,0.1255586487102386,0.35135135135135137,0.7647058823529411,0.8292367399741267
GAM_multi_interactions_with_coords,spatial,True,6,1,0.1,balanced,8,824,50,0.3859500136328267,0.9261757105943152,0.44915685490914864,0.11861010852210546,0.4266666666666667,0.96,0.8359173126614987
GAM_multi_interactions_with_coords,spatial,True,6,2,0.1,balanced,8,824,52,0.37596565120377395,0.9014049422080509,0.5337579145635334,0.11619328778434038,0.3835616438356164,0.8076923076923077,0.8380829015544041
GAM_multi_interactions_with_coords,spatial,True,6,3,0.1,balanced,8,816,48,0.3622914590321666,0.8501790364583334,0.35465178456985014,0.11222402098053334,0.37,0.7708333333333334,0.8502604166666666
GAM_multi_interactions_with_coords,spatial,True,6,4,0.1,balanced,8,816,49,0.3534576526255285,0.9072719048505973,0.38761257410443956,0.10684491905760068,0.41836734693877553,0.8367346938775511,0.8617992177314211
GAM_multi_interactions_with_coords,spatial,True,6,5,0.1,balanced,8,824,51,0.39964727986618837,0.8620855845572382,0.40221591605579765,0.12457440143188142,0.34977578475336324,0.7647058823529411,0.8279430789133247
GAM_multi_interactions_with_coords,spatial,True,7,1,0.5,,4,824,50,0.14465841606390517,0.9231524547803618,0.46853676302654274,0.04218281612646611,0.1724137931034483,0.1,0.9961240310077519
GAM_multi_interactions_with_coords,spatial,True,7,2,0.5,,4,824,52,0.15430856227132006,0.900134515743324,0.4766626921686096,0.043276894691632074,0.10344827586206896,0.057692307692307696,0.9961139896373057
GAM_multi_interactions_with_coords,spatial,True,7,3,0.5,,4,816,48,0.16489990823312767,0.8564181857638888,0.3653869554958162,0.04483448102662501,0.08,0.041666666666666664,1.0
GAM_multi_interactions_with_coords,spatial,True,7,4,0.5,,4,816,49,0.1533658669978468,0.9081765691935183,0.37283396074474573,0.044481583589577524,0.03773584905660377,0.02040816326530612,0.9960886571056062
GAM_multi_interactions_with_coords,spatial,True,7,5,0.5,,4,824,51,0.17222103526124694,0.858229967277985,0.38166586199559954,0.046889656735842694,0.22950819672131148,0.13725490196078433,0.9961190168175937
GAM_multi_interactions_with_coords,spatial,True,8,1,0.5,,6,824,50,0.13760569956433769,0.9318863049095607,0.5338355901125529,0.03980493965597506,0.2857142857142857,0.18,0.9948320413436692
GAM_multi_interactions_with_coords,spatial,True,8,2,0.5,,6,824,52,0.14937425475891442,0.9017785970506177,0.5486925143005942,0.04097722869131516,0.30303030303030304,0.19230769230769232,0.9948186528497409
GAM_multi_interactions_with_coords,spatial,True,8,3,0.5,,6,816,48,0.16267561821058257,0.8586697048611112,0.40111728813904224,0.043618089602481404,0.1111111111111111,0.0625,0.99609375
GAM_multi_interactions_with_coords,spatial,True,8,4,0.5,,6,816,49,0.14829666311870562,0.9121943431870793,0.42720522290051705,0.04268304566033347,0.20689655172413793,0.12244897959183673,0.9960886571056062
GAM_multi_interactions_with_coords,spatial,True,8,5,0.5,,6,824,51,0.17239007309241539,0.8592953352104101,0.375861647014042,0.04706935769850328,0.2222222222222222,0.13725490196078433,0.9935316946959897
GAM_multi_interactions_with_coords,spatial,True,9,1,0.5,,8,824,50,0.1375466867757344,0.931421188630491,0.535061626257829,0.039626947159920115,0.3125,0.2,0.9948320413436692
GAM_multi_interactions_with_coords,spatial,True,9,2,0.5,,8,824,52,0.14705277752718166,0.9023017138302113,0.5758114273317151,0.039863026545712034,0.4057971014492754,0.2692307692307692,0.9961139896373057
GAM_multi_interactions_with_coords,spatial,True,9,3,0.5,,8,816,48,0.1629426618854493,0.8550889756944444,0.40097790118423804,0.043363196294028565,0.14545454545454545,0.08333333333333333,0.99609375
GAM_multi_interactions_with_coords,spatial,True,9,4,0.5,,8,816,49,0.14676708435094657,0.9125136364845807,0.48174427476692117,0.04178464825488403,0.2711864406779661,0.16326530612244897,0.9973924380704041
GAM_multi_interactions_with_coords,spatial,True,9,5,0.5,,8,824,51,0.17348765696165389,0.8597772873703167,0.36619332963537815,0.04747959710428583,0.32432432432432434,0.23529411764705882,0.9857697283311773
GAM_multi_interactions_with_coords,spatial,True,10,1,0.5,balanced,4,824,50,0.3553343113330305,0.9281912144702842,0.4626184653222532,0.10890943391890316,0.4528301886792453,0.96,0.8527131782945736
GAM_multi_interactions_with_coords,spatial,True,10,2,0.5,balanced,4,824,52,0.3645796127501763,0.8985402550817059,0.43675186446835657,0.11394594901543781,0.38738738738738737,0.8269230769230769,0.8354922279792746
GAM_multi_interactions_with_coords,spatial,True,10,3,0.5,balanced,4,816,48,0.35475993436380576,0.8623860677083334,0.35458277573746905,0.11289802019701496,0.36538461538461536,0.7916666666666666,0.8411458333333334
GAM_multi_interactions_with_coords,spatial,True,10,4,0.5,balanced,4,816,49,0.34055712619103456,0.9179948380916905,0.3602561984855793,0.10312616319447913,0.4365482233502538,0.8775510204081632,0.863102998696219
GAM_multi_interactions_with_coords,spatial,True,10,5,0.5,balanced,4,824,51,0.3835079577561172,0.8678182786698119,0.38667498991412314,0.12007893391092304,0.36283185840707965,0.803921568627451,0.8266494178525227
GAM_multi_interactions_with_coords,spatial,True,11,1,0.5,balanced,6,824,50,0.3456064886761065,0.9343410852713179,0.5328415344805085,0.10657593387323222,0.4666666666666667,0.98,0.8565891472868217
GAM_multi_interactions_with_coords,spatial,True,11,2,0.5,balanced,6,824,52,0.3431274447609283,0.8988889996014349,0.5149636132328266,0.10640789653993907,0.3904761904761905,0.7884615384615384,0.8484455958549223
GAM_multi_interactions_with_coords,spatial,True,11,3,0.5,balanced,6,816,48,0.3312097014318224,0.8587510850694445,0.3873479247195974,0.10442158138115207,0.3854166666666667,0.7708333333333334,0.8606770833333334
GAM_multi_interactions_with_coords,spatial,True,11,4,0.5,balanced,6,816,49,0.31787412127604353,0.9140302796477131,0.39569460173612997,0.09626973251032325,0.4385026737967914,0.8367346938775511,0.8735332464146024
GAM_multi_interactions_with_coords,spatial,True,11,5,0.5,balanced,6,824,51,0.3671498283579979,0.863531441036958,0.39401655772709876,0.11275062837395128,0.3827751196172249,0.7843137254901961,0.8473479948253557
GAM_multi_interactions_with_coords,spatial,True,12,1,0.5,balanced,8,824,50,0.33359249499306654,0.9321963824289404,0.5350440422615331,0.10306767320862617,0.4563106796116505,0.94,0.8591731266149871
GAM_multi_interactions_with_coords,spatial,True,12,2,0.5,balanced,8,824,52,0.3337864113243347,0.8978676763650857,0.5271948383146622,0.103374311158556,0.39408866995073893,0.7692307692307693,0.8562176165803109
GAM_multi_interactions_with_coords,spatial,True,12,3,0.5,balanced,8,816,48,0.3215156363940633,0.8560655381944445,0.3853238522734932,0.10101971437866755,0.3763440860215054,0.7291666666666666,0.8658854166666666
GAM_multi_interactions_with_coords,spatial,True,12,4,0.5,balanced,8,816,49,0.30698924416477463,0.9113961099433253,0.4351816939076088,0.09445158130504724,0.4126984126984127,0.7959183673469388,0.8683181225554107
GAM_multi_interactions_with_coords,spatial,True,12,5,0.5,balanced,8,824,51,0.36535528011286295,0.8608933871090478,0.3856500095691436,0.11150658158626127,0.37681159420289856,0.7647058823529411,0.8486416558861578
