model,split_type,use_coords,candidate,fold,classifier__C,classifier__class_weight,features__n_knots,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
GAM_multi_no_coords,spatial,False,1,1,0.1,,4,824,50,0.18034352536998272,0.8775710594315245,0.3379530229317635,0.04975463014722371,0.0,0.0,1.0
GAM_multi_no_coords,spatial,False,1,2,0.1,,4,824,52,0.1862438219406203,0.8629932243921881,0.32580010150209854,0.051106633845079456,0.0,0.0,1.0
GAM_multi_no_coords,spatial,False,1,3,0.1,,4,816,48,0.19477269281367388,0.7877061631944444,0.20054258420180673,0.051694239678953695,0.0,0.0,1.0
GAM_multi_no_coords,spatial,False,1,4,0.1,,4,816,49,0.18212953444584504,0.8564510549982705,0.3109762330866739,0.04985904967185479,0.0,0.0,1.0
GAM_multi_no_coords,spatial,False,1,5,0.1,,4,824,51,0.19328898590941468,0.8102630444156964,0.263759554308025,0.05188474697650914,0.0,0.0,1.0
GAM_multi_no_coords,spatial,False,2,1,0.1,,6,824,50,0.17771988933913635,0.8836434108527131,0.3392903933400808,0.04923540035385055,0.0,0.0,1.0
GAM_multi_no_coords,spatial,False,2,2,0.1,,6,824,52,0.18189915706550272,0.8724093264248705,0.36364732545450723,0.05010201040028645,0.0,0.0,1.0
GAM_multi_no_coords,spatial,False,2,3,0.1,,6,816,48,0.1912876309376504,0.7990451388888888,0.2059579714977295,0.051075131714006294,0.0,0.0,1.0
GAM_multi_no_coords,spatial,False,2,4,0.1,,6,816,49,0.1798604062790346,0.8574355426655669,0.2887178974589443,0.04933200738704751,0.0,0.0,1.0
GAM_multi_no_coords,spatial,False,2,5,0.1,,6,824,51,0.19001517694763623,0.8189635491971691,0.3090891973207525,0.05111700035595707,0.0,0.0,1.0
GAM_multi_no_coords,spatial,False,3,1,0.1,,8,824,50,0.17715406035862893,0.8855038759689923,0.33598559752712714,0.049084484891789466,0.0,0.0,1.0
GAM_multi_no_coords,spatial,False,3,2,0.1,,8,824,52,0.18051535093353122,0.8751992825827022,0.37788216607972397,0.04976445439594931,0.0,0.0,1.0
GAM_multi_no_coords,spatial,False,3,3,0.1,,8,816,48,0.19164054532286334,0.799072265625,0.20492256484768964,0.05117358161597563,0.0,0.0,1.0
GAM_multi_no_coords,spatial,False,3,4,0.1,,8,816,49,0.1798186816993957,0.8546417263124285,0.2913422637871959,0.04928850221640423,0.0,0.0,1.0
