model,split_type,use_coords,candidate,fold,classifier__C,classifier__class_weight,features__n_knots,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
GAM_multi_with_coords,spatial,True,1,1,0.1,,4,824,50,0.172929989596917,0.8976485788113695,0.37096624416173174,0.04821125770424033,0.0,0.0,1.0
GAM_multi_with_coords,spatial,True,1,2,0.1,,4,824,52,0.18132105733035947,0.873144180948585,0.3418118888774241,0.05005284783668791,0.0,0.0,1.0
GAM_multi_with_coords,spatial,True,1,3,0.1,,4,816,48,0.18964646417566985,0.7996690538194445,0.22099182984947,0.05050281648590076,0.0,0.0,1.0
GAM_multi_with_coords,spatial,True,1,4,0.1,,4,816,49,0.18109179402715955,0.8632892531197615,0.27864193943933485,0.050021157485686946,0.0,0.0,1.0
GAM_multi_with_coords,spatial,True,1,5,0.1,,4,824,51,0.18828663666419163,0.8226416051543516,0.3015956445770157,0.05051179944798897,0.0,0.0,1.0
GAM_multi_with_coords,spatial,True,2,1,0.1,,6,824,50,0.17134319983652566,0.8973643410852713,0.35573426768946625,0.047885480963560205,0.0,0.0,1.0
GAM_multi_with_coords,spatial,True,2,2,0.1,,6,824,52,0.17758500979623576,0.8806172777999203,0.3687510838254737,0.04923364391697216,0.0,0.0,1.0
GAM_multi_with_coords,spatial,True,2,3,0.1,,6,816,48,0.18742586847473114,0.8067762586805556,0.22894281571292083,0.0500636834036558,0.0,0.0,1.0
GAM_multi_with_coords,spatial,True,2,4,0.1,,6,816,49,0.17839658447831752,0.8646462496341432,0.272432218692585,0.049517896039277115,0.0,0.0,1.0
GAM_multi_with_coords,spatial,True,2,5,0.1,,6,824,51,0.1858701232331382,0.8266494178525227,0.34833957837939955,0.04978035350863223,0.0,0.0,1.0
GAM_multi_with_coords,spatial,True,3,1,0.1,,8,824,50,0.17088098021888443,0.8977260981912144,0.3569513294295796,0.04776184219177794,0.0,0.0,1.0
GAM_multi_with_coords,spatial,True,3,2,0.1,,8,824,52,0.17641097847388876,0.8813023116779594,0.3780486139826113,0.04885333190270238,0.0,0.0,1.0
GAM_multi_with_coords,spatial,True,3,3,0.1,,8,816,48,0.18769034631689183,0.8067491319444445,0.23183864712095847,0.050169403553486785,0.0,0.0,1.0
GAM_multi_with_coords,spatial,True,3,4,0.1,,8,816,49,0.17774519119311677,0.8655509139770641,0.2745242434698484,0.04938984919817417,0.0,0.0,1.0
GAM_multi_with_coords,spatial,True,3,5,0.1,,8,824,51,0.18561655064835209,0.82756259036603,0.3528977073095935,0.0497031804847649,0.0,0.0,1.0
GAM_multi_with_coords,spatial,True,4,1,0.1,balanced,4,824,50,0.4673150359099286,0.8991989664082688,0.33819226449126094,0.15121110312411143,0.33212996389891697,0.92,0.7661498708010336
GAM_multi_with_coords,spatial,True,4,2,0.1,balanced,4,824,52,0.4838655667416988,0.8734306496612195,0.3383877972327559,0.1577945177560183,0.31095406360424027,0.8461538461538461,0.7577720207253886
GAM_multi_with_coords,spatial,True,4,3,0.1,balanced,4,816,48,0.46392911132850456,0.8091362847222222,0.21795311163083642,0.14811697429718126,0.3045267489711934,0.7708333333333334,0.7942708333333334
GAM_multi_with_coords,spatial,True,4,4,0.1,balanced,4,816,49,0.4610330476093089,0.8688236702764548,0.2668045405964857,0.14839289393277091,0.30303030303030304,0.8163265306122449,0.771838331160365
GAM_multi_with_coords,spatial,True,4,5,0.1,balanced,4,824,51,0.49271594450790984,0.8256601476295563,0.3074119886114754,0.1628227627525983,0.2736842105263158,0.7647058823529411,0.7477360931435963
GAM_multi_with_coords,spatial,True,5,1,0.1,balanced,6,824,50,0.4737667354303064,0.9012661498708009,0.342151915779417,0.15385781570504226,0.3237410071942446,0.9,0.7635658914728682
GAM_multi_with_coords,spatial,True,5,2,0.1,balanced,6,824,52,0.47083381044721884,0.8774910322837784,0.3623206104450705,0.15281966537472305,0.3225806451612903,0.8653846153846154,0.7642487046632125
GAM_multi_with_coords,spatial,True,5,3,0.1,balanced,6,816,48,0.45376077174474394,0.8128255208333334,0.22399346284258745,0.14438238226271008,0.2833333333333333,0.7083333333333334,0.7942708333333334
GAM_multi_with_coords,spatial,True,5,4,0.1,balanced,6,816,49,0.4434352595130872,0.86504536625602,0.27464808768211146,0.14170336786656826,0.3153526970954357,0.7755102040816326,0.7992177314211213
GAM_multi_with_coords,spatial,True,5,5,0.1,balanced,6,824,51,0.48102302065715496,0.827537224462877,0.36875964281016665,0.15857063569355728,0.2773722627737226,0.7450980392156863,0.7606727037516171
GAM_multi_with_coords,spatial,True,6,1,0.1,balanced,8,824,50,0.4752747850218998,0.9006976744186047,0.34176101902952916,0.1543705046636516,0.3202846975088968,0.9,0.7596899224806202
GAM_multi_with_coords,spatial,True,6,2,0.1,balanced,8,824,52,0.46876117217043134,0.8778397768035073,0.3681280537091322,0.15214117708688238,0.33088235294117646,0.8653846153846154,0.7733160621761658
GAM_multi_with_coords,spatial,True,6,3,0.1,balanced,8,816,48,0.44749038467431984,0.813015407986111,0.22924926622525366,0.142042507756314,0.28936170212765955,0.7083333333333334,0.80078125
GAM_multi_with_coords,spatial,True,6,4,0.1,balanced,8,816,49,0.43784479758955736,0.8644866029853924,0.2777416177635314,0.13980741505507147,0.3263598326359833,0.7959183673469388,0.803129074315515
GAM_multi_with_coords,spatial,True,6,5,0.1,balanced,8,824,51,0.4829608849786528,0.8268269791745935,0.34697995729658604,0.15910738310506492,0.2773722627737226,0.7450980392156863,0.7606727037516171
GAM_multi_with_coords,spatial,True,7,1,0.5,,4,824,50,0.16196401019823492,0.900671834625323,0.36145391847747427,0.04631322749438488,0.038461538461538464,0.02,0.9987080103359173
GAM_multi_with_coords,spatial,True,7,2,0.5,,4,824,52,0.17265317520251613,0.8755978477481068,0.35355801931299047,0.048002697190367816,0.0,0.0,0.9974093264248705
