model,split_type,use_coords,species,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
GAM_single_no_coords,spatial,False,Cacophis kreftii,128,1,0.06697079615092492,0.8031496062992126,0.038461538461538464,0.010449458037752386,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Calyptotis scutirostrum,128,13,0.27325752295837236,0.7993311036789297,0.38887066185502833,0.07848896517578788,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Coeranoscincus reticulatus,128,40,0.5936685429653896,0.7900568181818182,0.6104713804252435,0.20502192313832884,0.04878048780487805,0.025,1.0
GAM_single_no_coords,spatial,False,Egernia mcpheei,128,6,0.20045198063480216,0.7595628415300546,0.12004862953138815,0.045246533247592965,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Eulamprus murrayi,128,0,0.005897358542193488,,,3.460756018377327e-05,0.0,,1.0
GAM_single_no_coords,spatial,False,Ophioscincus truncatus,128,13,0.30056052969984154,0.8053511705685619,0.27924843161763313,0.08648889078783062,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Pseudechis porphyricaus,128,2,0.07473139153784458,0.7341269841269842,0.14015151515151514,0.014962150779548392,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Saltuarius swaini,128,0,0.01598220870592753,,,0.0002527016144748495,0.0,,1.0
GAM_multi_no_coords,spatial,False,Cacophis kreftii,128,1,0.060736775274095316,1.0,1.0,0.008946187575902256,0.0,0.0,1.0
GAM_multi_no_coords,spatial,False,Calyptotis scutirostrum,128,13,0.29783112409157664,0.7344481605351171,0.3449501727754238,0.08533542905310987,0.0,0.0,1.0
GAM_multi_no_coords,spatial,False,Coeranoscincus reticulatus,128,40,0.6683780777963644,0.7048295454545455,0.4845091236781571,0.22764599495471613,0.0,0.0,1.0
GAM_multi_no_coords,spatial,False,Egernia mcpheei,128,6,0.1758386250943146,0.8278688524590165,0.31245421245421245,0.04392728790692999,0.0,0.0,1.0
GAM_multi_no_coords,spatial,False,Eulamprus murrayi,128,0,0.012814126522775,,,0.0002687331835636317,0.0,,1.0
GAM_multi_no_coords,spatial,False,Ophioscincus truncatus,128,13,0.3597582112928041,0.6662207357859531,0.1589626568174422,0.1097919058092911,0.0,0.0,0.991304347826087
GAM_multi_no_coords,spatial,False,Pseudechis porphyricaus,128,2,0.09258742492448613,0.40476190476190477,0.019151138716356108,0.01644602374286655,0.0,0.0,1.0
GAM_multi_no_coords,spatial,False,Saltuarius swaini,128,0,0.021811808566397813,,,0.0007617161137257465,0.0,,1.0
GAM_multi_interactions_no_coords,spatial,False,Cacophis kreftii,128,1,0.05956906218978272,0.9921259842519685,0.5,0.008835699666127335,0.0,0.0,1.0
GAM_multi_interactions_no_coords,spatial,False,Calyptotis scutirostrum,128,13,0.27441753224379684,0.8046822742474916,0.40914680301777073,0.07933856869897901,0.0,0.0,1.0
GAM_multi_interactions_no_coords,spatial,False,Coeranoscincus reticulatus,128,40,0.5736898670314179,0.8019886363636364,0.6145176155154022,0.19776612521987996,0.04878048780487805,0.025,1.0
GAM_multi_interactions_no_coords,spatial,False,Egernia mcpheei,128,6,0.1749342232034318,0.8142076502732241,0.2070523039393839,0.0435367206281247,0.0,0.0,1.0
GAM_multi_interactions_no_coords,spatial,False,Eulamprus murrayi,128,0,0.010471038690077084,,,0.00016492535882032817,0.0,,1.0
GAM_multi_interactions_no_coords,spatial,False,Ophioscincus truncatus,128,13,0.3074111948529217,0.7505016722408027,0.23735279872819898,0.09133579928531732,0.0,0.0,0.991304347826087
GAM_multi_interactions_no_coords,spatial,False,Pseudechis porphyricaus,128,2,0.07914322519907313,0.6865079365079365,0.112987012987013,0.015338947610820781,0.0,0.0,1.0
GAM_multi_interactions_no_coords,spatial,False,Saltuarius swaini,128,0,0.02056681557241306,,,0.0005142146160843057,0.0,,1.0
GAM_single_no_coords,random,False,Cacophis kreftii,128,4,0.13331954497947562,0.7157258064516129,0.08532557867664249,0.030167666624500506,0.0,0.0,1.0
GAM_single_no_coords,random,False,Calyptotis scutirostrum,128,16,0.27535963037144606,0.8900669642857142,0.5249447873625506,0.08574629958609178,0.21052631578947367,0.125,0.9910714285714286
GAM_single_no_coords,random,False,Coeranoscincus reticulatus,128,20,0.35546949451400645,0.8037037037037038,0.3953837522771347,0.10964298378221787,0.16666666666666666,0.1,0.9814814814814815
GAM_single_no_coords,random,False,Egernia mcpheei,128,3,0.09161130777925176,0.92,0.1638888888888889,0.021866634958805323,0.0,0.0,1.0
GAM_single_no_coords,random,False,Eulamprus murrayi,128,1,0.047457792482599355,0.15748031496062997,0.009259259259259259,0.007768681078660496,0.0,0.0,1.0
GAM_single_no_coords,random,False,Ophioscincus truncatus,128,26,0.4073688946108602,0.802790346907994,0.6182039074276562,0.12940866509615156,0.20689655172413793,0.11538461538461539,1.0
GAM_single_no_coords,random,False,Pseudechis porphyricaus,128,3,0.11960754998579412,0.4293333333333333,0.0272902671393041,0.023452180921733616,0.0,0.0,1.0
GAM_single_no_coords,random,False,Saltuarius swaini,128,1,0.047341579136645745,0.31496062992125984,0.011363636363636364,0.007790343423100928,0.0,0.0,1.0
GAM_multi_no_coords,random,False,Cacophis kreftii,128,4,0.116839143166911,0.8427419354838709,0.35294117647058826,0.028185553858544442,0.0,0.0,1.0
