model,split_type,use_coords,species,candidate,fold,model__classifier__C,model__classifier__class_weight,model__splines__n_knots,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
GAM_single_no_coords,spatial,False,Cacophis kreftii,1,1,0.1,,4,103,4,0.15420668140791896,0.8409090909090909,0.3752413127413127,0.03655624189566435,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Cacophis kreftii,1,2,0.1,,4,103,4,0.15743252897367344,0.7146464646464646,0.10753060753060753,0.03678679235219967,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Cacophis kreftii,1,3,0.1,,4,102,3,0.12119315192230395,0.8888888888888888,0.14761904761904762,0.027579707099334015,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Cacophis kreftii,1,4,0.1,,4,103,4,0.15169581551990602,0.8813131313131313,0.16703296703296702,0.03632404556860669,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Cacophis kreftii,1,5,0.1,,4,102,4,0.15295205178789376,0.8520408163265306,0.3804195804195804,0.03661333805005212,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Cacophis kreftii,2,1,0.1,,6,103,4,0.1532754999503697,0.8207070707070706,0.39925431711146,0.03647666086155314,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Cacophis kreftii,2,2,0.1,,6,103,4,0.1550817370589245,0.75,0.2047082228116711,0.03657188778643045,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Cacophis kreftii,2,3,0.1,,6,102,3,0.12159947130495713,0.8787878787878788,0.13992673992673993,0.02766889698494346,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Cacophis kreftii,2,4,0.1,,6,103,4,0.1526594509001945,0.8838383838383838,0.17225829725829725,0.03642706423778567,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Cacophis kreftii,2,5,0.1,,6,102,4,0.15122773578235293,0.8571428571428571,0.37251602564102565,0.036481255496419264,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Cacophis kreftii,3,1,0.1,,8,103,4,0.15270474479899587,0.8484848484848484,0.28888888888888886,0.03645075652668088,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Cacophis kreftii,3,2,0.1,,8,103,4,0.15502003814602586,0.75,0.16396520146520147,0.03657183667031741,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Cacophis kreftii,3,3,0.1,,8,102,3,0.12272303067387867,0.8787878787878788,0.13992673992673993,0.027795965086982084,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Cacophis kreftii,3,4,0.1,,8,103,4,0.1538124233789917,0.8661616161616161,0.16701388888888888,0.03653140720251815,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Cacophis kreftii,3,5,0.1,,8,102,4,0.1508086156072271,0.8647959183673469,0.24674131016042783,0.0364589717530606,0.0,0.0,1.0
GAM_single_no_coords,spatial,False,Cacophis kreftii,4,1,0.1,balanced,4,103,4,0.3679166021109484,0.8863636363636364,0.2426282051282051,0.10078793541555878,0.36363636363636365,0.5,0.9494949494949495
GAM_single_no_coords,spatial,False,Cacophis kreftii,4,2,0.1,balanced,4,103,4,0.5040047700638713,0.7373737373737375,0.20295429208472687,0.16295250559988214,0.16,0.5,0.8080808080808081
GAM_single_no_coords,spatial,False,Cacophis kreftii,4,3,0.1,balanced,4,102,3,0.4981615389128282,0.8720538720538721,0.1325854700854701,0.15750762876971666,0.2857142857142857,1.0,0.8484848484848485
GAM_single_no_coords,spatial,False,Cacophis kreftii,4,4,0.1,balanced,4,103,4,0.5403162535566848,0.8838383838383839,0.17208624708624712,0.1780300911640565,0.27586206896551724,1.0,0.7878787878787878
GAM_single_no_coords,spatial,False,Cacophis kreftii,4,5,0.1,balanced,4,102,4,0.5316852017063671,0.8698979591836735,0.266025641025641,0.17517921656772534,0.20689655172413793,0.75,0.7755102040816326
GAM_single_no_coords,spatial,False,Cacophis kreftii,5,1,0.1,balanced,6,103,4,0.34093342516331315,0.8434343434343434,0.21444746376811594,0.09246700636597498,0.4,0.5,0.9595959595959596
GAM_single_no_coords,spatial,False,Cacophis kreftii,5,2,0.1,balanced,6,103,4,0.4915635180566618,0.7676767676767677,0.3282581453634085,0.16006354413949755,0.14285714285714285,0.5,0.7777777777777778
GAM_single_no_coords,spatial,False,Cacophis kreftii,5,3,0.1,balanced,6,102,3,0.4710890038385618,0.8754208754208753,0.13576007326007325,0.14800721323638139,0.2727272727272727,1.0,0.8383838383838383
GAM_single_no_coords,spatial,False,Cacophis kreftii,5,4,0.1,balanced,6,103,4,0.5048338492409266,0.861111111111111,0.15427442528735633,0.1637657640472281,0.20689655172413793,0.75,0.7777777777777778
GAM_single_no_coords,spatial,False,Cacophis kreftii,5,5,0.1,balanced,6,102,4,0.49814994655967926,0.8979591836734694,0.2686698717948718,0.16091134265072554,0.20689655172413793,0.75,0.7755102040816326
GAM_single_no_coords,spatial,False,Cacophis kreftii,6,1,0.1,balanced,8,103,4,0.3299689455107289,0.851010101010101,0.24583333333333335,0.0890290315576401,0.36363636363636365,0.5,0.9494949494949495
