model,split_type,use_coords,species,candidate,fold,model__classifier__C,model__classifier__class_weight,model__splines__n_knots,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
GAM_single_with_coords,spatial,True,Cacophis kreftii,1,1,0.1,,4,103,4,0.14236076098370876,0.9570707070707071,0.5104166666666666,0.03557717469803578,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,1,2,0.1,,4,103,4,0.1474745177782742,0.8636363636363638,0.15335648148148148,0.03598380458998893,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,1,3,0.1,,4,102,3,0.11423550457869724,0.8956228956228955,0.154985754985755,0.026852994345504335,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,1,4,0.1,,4,103,4,0.14318511304719198,0.8636363636363635,0.14780701754385966,0.035573834718070706,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,1,5,0.1,,4,102,4,0.14213908558250105,0.913265306122449,0.2882478632478632,0.03559206764814547,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,2,1,0.1,,6,103,4,0.13947759754361147,0.9646464646464646,0.548051948051948,0.03532030052387969,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,2,2,0.1,,6,103,4,0.14373487975485413,0.8888888888888888,0.1959033613445378,0.03559487125063849,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,2,3,0.1,,6,102,3,0.11305236108607562,0.8855218855218855,0.14572649572649574,0.02683217564499255,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,2,4,0.1,,6,103,4,0.1439238358469555,0.8535353535353535,0.140006038647343,0.03572623184789728,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,2,5,0.1,,6,102,4,0.1387983930965336,0.9132653061224489,0.4091269841269841,0.03526627610564072,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,3,1,0.1,,8,103,4,0.1378711901842865,0.9696969696969696,0.6147186147186147,0.03517620499712396,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,3,2,0.1,,8,103,4,0.14293464727090183,0.8863636363636364,0.21108058608058605,0.035514372312065265,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,3,3,0.1,,8,102,3,0.11299582278122565,0.8888888888888888,0.14825174825174825,0.026873692480626307,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,3,4,0.1,,8,103,4,0.14502146305495484,0.8409090909090908,0.12958937198067633,0.035877180383589585,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,3,5,0.1,,8,102,4,0.1373770859596441,0.9158163265306123,0.2951923076923077,0.035109406557660414,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,4,1,0.1,balanced,4,103,4,0.2845280176154001,0.952020202020202,0.3742424242424242,0.0730002569297482,0.42857142857142855,0.75,0.9292929292929293
GAM_single_with_coords,spatial,True,Cacophis kreftii,4,2,0.1,balanced,4,103,4,0.4226172104858447,0.8813131313131313,0.20693979933110368,0.1307303678994763,0.2608695652173913,0.75,0.8383838383838383
GAM_single_with_coords,spatial,True,Cacophis kreftii,4,3,0.1,balanced,4,102,3,0.43578796685866,0.8855218855218855,0.14572649572649574,0.13601376144432,0.2727272727272727,1.0,0.8383838383838383
GAM_single_with_coords,spatial,True,Cacophis kreftii,4,4,0.1,balanced,4,103,4,0.4449248236511773,0.8560606060606061,0.14161272164368138,0.14267392032944878,0.27586206896551724,1.0,0.7878787878787878
GAM_single_with_coords,spatial,True,Cacophis kreftii,4,5,0.1,balanced,4,102,4,0.42396965997466657,0.9285714285714286,0.3625,0.1316767576295462,0.3333333333333333,1.0,0.8367346938775511
GAM_single_with_coords,spatial,True,Cacophis kreftii,5,1,0.1,balanced,6,103,4,0.25926837684939014,0.9444444444444444,0.31190476190476185,0.06653698469680587,0.42857142857142855,0.75,0.9292929292929293
GAM_single_with_coords,spatial,True,Cacophis kreftii,5,2,0.1,balanced,6,103,4,0.4034893091975997,0.8914141414141414,0.37774725274725274,0.12526044328459296,0.2608695652173913,0.75,0.8383838383838383
GAM_single_with_coords,spatial,True,Cacophis kreftii,5,3,0.1,balanced,6,102,3,0.4052159439369224,0.8855218855218855,0.14572649572649574,0.1261359893782733,0.25,1.0,0.8181818181818182
GAM_single_with_coords,spatial,True,Cacophis kreftii,5,4,0.1,balanced,6,103,4,0.4160099171357712,0.8333333333333333,0.1253996003996004,0.1332255839834148,0.27586206896551724,1.0,0.7878787878787878
GAM_single_with_coords,spatial,True,Cacophis kreftii,5,5,0.1,balanced,6,102,4,0.39786657703413314,0.9209183673469388,0.29102564102564105,0.12361472106861388,0.32,1.0,0.826530612244898
GAM_single_with_coords,spatial,True,Cacophis kreftii,6,1,0.1,balanced,8,103,4,0.24730316465169505,0.9469696969696969,0.3173992673992674,0.06260188564472109,0.42857142857142855,0.75,0.9292929292929293
GAM_single_with_coords,spatial,True,Cacophis kreftii,6,2,0.1,balanced,8,103,4,0.3925773244388279,0.8888888888888888,0.25245098039215685,0.12188250782052462,0.2608695652173913,0.75,0.8383838383838383
GAM_single_with_coords,spatial,True,Cacophis kreftii,6,3,0.1,balanced,8,102,3,0.3883267458585433,0.8922558922558923,0.15178571428571427,0.12037922248570161,0.2608695652173913,1.0,0.8282828282828283
GAM_single_with_coords,spatial,True,Cacophis kreftii,6,4,0.1,balanced,8,103,4,0.4040375929504248,0.8257575757575757,0.12179383116883116,0.12863165026120715,0.27586206896551724,1.0,0.7878787878787878
GAM_single_with_coords,spatial,True,Cacophis kreftii,6,5,0.1,balanced,8,102,4,0.38788649939882797,0.9285714285714287,0.32158119658119655,0.12048236471291109,0.3076923076923077,1.0,0.8163265306122449
GAM_single_with_coords,spatial,True,Cacophis kreftii,7,1,0.5,,4,103,4,0.1241526546996254,0.952020202020202,0.3742424242424242,0.034136626605992856,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,7,2,0.5,,4,103,4,0.13611314802120686,0.8712121212121211,0.1569128787878788,0.03561810124521998,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,7,3,0.5,,4,102,3,0.09931129002584392,0.8787878787878788,0.1378968253968254,0.025807269218967595,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,7,4,0.5,,4,103,4,0.1290234188847317,0.8585858585858586,0.14380570409982174,0.03479983848708501,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,7,5,0.5,,4,102,4,0.12322579136774664,0.9183673469387755,0.346875,0.03349632228046119,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,8,1,0.5,,6,103,4,0.12349171111208873,0.9444444444444444,0.31190476190476185,0.034196830135621956,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,8,2,0.5,,6,103,4,0.1305592156775062,0.8737373737373737,0.1705357142857143,0.0350056993284436,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,8,3,0.5,,6,102,3,0.0994388048018349,0.8720538720538721,0.1325854700854701,0.026346501371852838,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,8,4,0.5,,6,103,4,0.13664511296471768,0.8308080808080808,0.12402597402597404,0.03631205978397987,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,8,5,0.5,,6,102,4,0.1182883308797386,0.9081632653061225,0.26078431372549016,0.03305929597696229,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,9,1,0.5,,8,103,4,0.1206969128094447,0.9444444444444444,0.31190476190476185,0.033856834928729,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,9,2,0.5,,8,103,4,0.13035440712137203,0.8762626262626262,0.17338976812661022,0.03507989868263604,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,9,3,0.5,,8,102,3,0.10012461590623442,0.8922558922558923,0.15456349206349207,0.026668908443636164,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,9,4,0.5,,8,103,4,0.13892798203404813,0.8257575757575757,0.12179383116883116,0.03679061784885877,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,9,5,0.5,,8,102,4,0.11536598850878353,0.9209183673469388,0.28888888888888886,0.03254711244761359,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Cacophis kreftii,10,1,0.5,balanced,4,103,4,0.20331451003200526,0.9343434343434344,0.27275641025641023,0.05842879684657071,0.375,0.75,0.9090909090909091
GAM_single_with_coords,spatial,True,Cacophis kreftii,10,2,0.5,balanced,4,103,4,0.3649062895757824,0.8787878787878787,0.24326156299840512,0.11962808857923461,0.2608695652173913,0.75,0.8383838383838383
GAM_single_with_coords,spatial,True,Cacophis kreftii,10,3,0.5,balanced,4,102,3,0.37768803172864246,0.8787878787878788,0.13724747474747473,0.12396990476823222,0.25,1.0,0.8181818181818182
GAM_single_with_coords,spatial,True,Cacophis kreftii,10,4,0.5,balanced,4,103,4,0.3869143462214677,0.8383838383838383,0.1288961038961039,0.1326197280361384,0.27586206896551724,1.0,0.7878787878787878
GAM_single_with_coords,spatial,True,Cacophis kreftii,10,5,0.5,balanced,4,102,4,0.36984147737256085,0.9107142857142858,0.31666666666666665,0.1226067502986042,0.3076923076923077,1.0,0.8163265306122449
GAM_single_with_coords,spatial,True,Cacophis kreftii,11,1,0.5,balanced,6,103,4,0.18463254397478263,0.9393939393939393,0.29374999999999996,0.05558412750929161,0.4,0.75,0.9191919191919192
GAM_single_with_coords,spatial,True,Cacophis kreftii,11,2,0.5,balanced,6,103,4,0.34333431282316756,0.8838383838383839,0.24780701754385964,0.11458843118863983,0.25,0.75,0.8282828282828283
GAM_single_with_coords,spatial,True,Cacophis kreftii,11,3,0.5,balanced,6,102,3,0.3481599123071581,0.8888888888888888,0.14761904761904762,0.11520019840101493,0.2727272727272727,1.0,0.8383838383838383
GAM_single_with_coords,spatial,True,Cacophis kreftii,11,4,0.5,balanced,6,103,4,0.3592887467609831,0.8106060606060606,0.11225832990538873,0.12479945351788181,0.16,0.5,0.8080808080808081
GAM_single_with_coords,spatial,True,Cacophis kreftii,11,5,0.5,balanced,6,102,4,0.35044336840683793,0.9209183673469388,0.26715686274509803,0.11596194188323988,0.3076923076923077,1.0,0.8163265306122449
GAM_single_with_coords,spatial,True,Cacophis kreftii,12,1,0.5,balanced,8,103,4,0.16808743419252822,0.9343434343434344,0.2922619047619048,0.0501663971435314,0.4,0.75,0.9191919191919192
GAM_single_with_coords,spatial,True,Cacophis kreftii,12,2,0.5,balanced,8,103,4,0.3348997275871681,0.8863636363636364,0.19373885918003567,0.11061545269015007,0.25,0.75,0.8282828282828283
GAM_single_with_coords,spatial,True,Cacophis kreftii,12,3,0.5,balanced,8,102,3,0.32923933625240576,0.898989898989899,0.16567460317460317,0.10888652344931696,0.2857142857142857,1.0,0.8484848484848485
GAM_single_with_coords,spatial,True,Cacophis kreftii,12,4,0.5,balanced,8,103,4,0.3465025135515062,0.8207070707070707,0.11757860195360195,0.11938984097275848,0.16666666666666666,0.5,0.8181818181818182
GAM_single_with_coords,spatial,True,Cacophis kreftii,12,5,0.5,balanced,8,102,4,0.3389797490266732,0.9413265306122449,0.3422619047619047,0.11119145816251393,0.3076923076923077,1.0,0.8163265306122449
GAM_single_with_coords,spatial,True,Calyptotis scutirostrum,1,1,0.1,,4,103,7,0.1969723105240996,0.9211309523809523,0.37786891471101997,0.05531538648541376,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Calyptotis scutirostrum,1,2,0.1,,4,103,8,0.2031319518731904,0.9486842105263158,0.6042200854700854,0.05900604668517189,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Calyptotis scutirostrum,1,3,0.1,,4,103,8,0.19022402140251687,0.9986842105263157,0.9861111111111112,0.05617265341488133,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Calyptotis scutirostrum,1,4,0.1,,4,102,7,0.19957226071650275,0.9052631578947368,0.3151320623943357,0.055640864610736196,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Calyptotis scutirostrum,1,5,0.1,,4,102,7,0.1951156667210944,0.906766917293233,0.5709750566893423,0.05368307800041665,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Calyptotis scutirostrum,2,1,0.1,,6,103,7,0.1905686217168629,0.9255952380952381,0.39174222320507146,0.054345946910245586,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Calyptotis scutirostrum,2,2,0.1,,6,103,8,0.19515845910470464,0.9526315789473685,0.5800804093567252,0.057178485039209075,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Calyptotis scutirostrum,2,3,0.1,,6,103,8,0.18331132417456672,0.9907894736842106,0.8865936147186148,0.05432735747035871,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Calyptotis scutirostrum,2,4,0.1,,6,102,7,0.19384894274361172,0.9142857142857143,0.3248647710832585,0.05463090824825697,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Calyptotis scutirostrum,2,5,0.1,,6,102,7,0.18751127350180657,0.9142857142857143,0.6613510520487265,0.05188228473400912,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Calyptotis scutirostrum,3,1,0.1,,8,103,7,0.18754807425624578,0.9270833333333333,0.409992784992785,0.053798215636035374,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Calyptotis scutirostrum,3,2,0.1,,8,103,8,0.1914853925936637,0.9526315789473685,0.5659722222222222,0.056300610378661596,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Calyptotis scutirostrum,3,3,0.1,,8,103,8,0.18119186849165292,0.9881578947368421,0.8477678571428572,0.05354127868917647,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Calyptotis scutirostrum,3,4,0.1,,8,102,7,0.1904833613455686,0.9233082706766916,0.3704545454545454,0.05389611563147313,0.0,0.0,1.0
