model,split_type,use_coords,species,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
GAM_single_with_coords,spatial,True,Cacophis kreftii,128,1,0.07938868146296921,0.8110236220472441,0.04,0.01213814070296075,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Calyptotis scutirostrum,128,13,0.25874551676501556,0.8280936454849499,0.479033314581871,0.07469603690283552,0.14285714285714285,0.07692307692307693,1.0
GAM_single_with_coords,spatial,True,Coeranoscincus reticulatus,128,40,0.6017451216129546,0.7494318181818183,0.50224223413317,0.21169019983907988,0.04878048780487805,0.025,1.0
GAM_single_with_coords,spatial,True,Egernia mcpheei,128,6,0.1945989446059882,0.7978142076502732,0.13085961810599492,0.045080186932853164,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Eulamprus murrayi,128,0,0.0059441010216099615,,,3.5173338813916644e-05,0.0,,1.0
GAM_single_with_coords,spatial,True,Ophioscincus truncatus,128,13,0.3336392479492846,0.7511705685618729,0.20806539705450802,0.0968459987219928,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Pseudechis porphyricaus,128,2,0.07315219063171126,0.7222222222222222,0.18095238095238095,0.014848049429224979,0.0,0.0,1.0
GAM_single_with_coords,spatial,True,Saltuarius swaini,128,0,0.015338785334578015,,,0.00023336357419027315,0.0,,1.0
GAM_multi_with_coords,spatial,True,Cacophis kreftii,128,1,0.06921838965023693,0.9606299212598425,0.16666666666666666,0.010015996284663781,0.0,0.0,1.0
GAM_multi_with_coords,spatial,True,Calyptotis scutirostrum,128,13,0.31016820722461813,0.676923076923077,0.18043145913721856,0.08904846078645484,0.0,0.0,1.0
GAM_multi_with_coords,spatial,True,Coeranoscincus reticulatus,128,40,0.6319919950072649,0.6951704545454546,0.4558340773703346,0.22022193600174483,0.0,0.0,1.0
GAM_multi_with_coords,spatial,True,Egernia mcpheei,128,6,0.17111867512156975,0.8469945355191257,0.22414533995416347,0.043719949932889496,0.0,0.0,1.0
GAM_multi_with_coords,spatial,True,Eulamprus murrayi,128,0,0.014730302455405759,,,0.00034155492479908637,0.0,,1.0
GAM_multi_with_coords,spatial,True,Ophioscincus truncatus,128,13,0.42258640328296715,0.5431438127090301,0.11552126153820753,0.13261211853514532,0.0,0.0,0.9478260869565217
GAM_multi_with_coords,spatial,True,Pseudechis porphyricaus,128,2,0.09072672528054315,0.4920634920634921,0.022557269752220666,0.016577513588524634,0.0,0.0,1.0
GAM_multi_with_coords,spatial,True,Saltuarius swaini,128,0,0.025937369396883993,,,0.0010305762937183787,0.0,,1.0
GAM_multi_interactions_with_coords,spatial,True,Cacophis kreftii,128,1,0.07085440348478667,0.9606299212598425,0.16666666666666666,0.010164375989771792,0.0,0.0,1.0
