coordinate_setting,model,species,random,spatial,optimism_gap_auc,morans_i
with_coords,Logistic_multi_interactions_with_coords,Cacophis kreftii,0.844758064516129,0.8740157480314961,-0.02925768351536706,0.218424879757908
with_coords,Logistic_multi_interactions_with_coords,Calyptotis scutirostrum,0.9291294642857143,0.7565217391304347,0.17260772515527956,0.17283638703049758
with_coords,Logistic_multi_interactions_with_coords,Coeranoscincus reticulatus,0.7912037037037037,0.8017045454545455,-0.01050084175084176,0.3328331092396059
with_coords,Logistic_multi_interactions_with_coords,Egernia mcpheei,0.8346666666666667,0.6215846994535519,0.2130819672131148,0.035216081645157465
with_coords,Logistic_multi_interactions_with_coords,Eulamprus murrayi,0.007874015748031496,,,0.6684836879494541
with_coords,Logistic_multi_interactions_with_coords,Ophioscincus truncatus,0.7643288084464555,0.8702341137123746,-0.10590530526591913,0.11549077360331005
with_coords,Logistic_multi_interactions_with_coords,Pseudechis porphyricaus,0.33066666666666666,0.7023809523809523,-0.37171428571428566,0.004685408231398194
with_coords,Logistic_multi_interactions_with_coords,Saltuarius swaini,0.8346456692913385,,,0.6415299602672243
with_coords,Logistic_multi_with_coords,Cacophis kreftii,0.8608870967741935,1.0,-0.1391129032258065,0.03478569966811458
with_coords,Logistic_multi_with_coords,Calyptotis scutirostrum,0.8950892857142857,0.7304347826086957,0.16465450310559004,0.182390449150292
with_coords,Logistic_multi_with_coords,Coeranoscincus reticulatus,0.6504629629629629,0.6389204545454545,0.011542508417508368,0.4361186414318619
with_coords,Logistic_multi_with_coords,Egernia mcpheei,0.928,0.73224043715847,0.19575956284153007,-0.005868087221352503
with_coords,Logistic_multi_with_coords,Eulamprus murrayi,0.07874015748031496,,,0.6603368465136068
with_coords,Logistic_multi_with_coords,Ophioscincus truncatus,0.7285067873303167,0.7785953177257525,-0.050088530395435815,0.27943861974784034
with_coords,Logistic_multi_with_coords,Pseudechis porphyricaus,0.15466666666666667,0.3253968253968254,-0.17073015873015873,0.0002188878575131775
with_coords,Logistic_multi_with_coords,Saltuarius swaini,0.08661417322834646,,,0.6642282708405107
with_coords,Logistic_single_with_coords,Cacophis kreftii,0.8669354838709677,1.0,-0.13306451612903225,0.12385883615569984
with_coords,Logistic_single_with_coords,Calyptotis scutirostrum,0.9235491071428571,0.7545150501672241,0.169034056975633,0.17284711419711654
with_coords,Logistic_single_with_coords,Coeranoscincus reticulatus,0.7944444444444444,0.7869318181818182,0.007512626262626165,0.3775073269725477
with_coords,Logistic_single_with_coords,Egernia mcpheei,0.9093333333333333,0.6188524590163934,0.2904808743169399,0.003419491808345715
with_coords,Logistic_single_with_coords,Eulamprus murrayi,0.023622047244094488,,,0.7069488677485257
with_coords,Logistic_single_with_coords,Ophioscincus truncatus,0.7692307692307693,0.882943143812709,-0.11371237458193972,0.12152637845461706
with_coords,Logistic_single_with_coords,Pseudechis porphyricaus,0.3893333333333333,0.7301587301587301,-0.3408253968253968,-0.0004355829931609265
with_coords,Logistic_single_with_coords,Saltuarius swaini,0.8582677165354331,,,0.713184029954293
no_coords,Logistic_multi_interactions_no_coords,Cacophis kreftii,0.655241935483871,0.7165354330708661,-0.061293497586995094,0.33761787588770376
no_coords,Logistic_multi_interactions_no_coords,Calyptotis scutirostrum,0.8850446428571429,0.7397993311036789,0.145245311753464,0.16895780248663864
no_coords,Logistic_multi_interactions_no_coords,Coeranoscincus reticulatus,0.6703703703703704,0.6988636363636364,-0.02849326599326596,0.43098953281465713
no_coords,Logistic_multi_interactions_no_coords,Egernia mcpheei,0.7866666666666666,0.6133879781420765,0.17327868852459016,0.0764223465857309
no_coords,Logistic_multi_interactions_no_coords,Eulamprus murrayi,0.03937007874015748,,,0.29809622761657273
no_coords,Logistic_multi_interactions_no_coords,Ophioscincus truncatus,0.7469834087481146,0.8916387959866221,-0.14465538723850746,0.0742957670318799
no_coords,Logistic_multi_interactions_no_coords,Pseudechis porphyricaus,0.44266666666666665,0.7063492063492064,-0.26368253968253974,-0.0019018881896806972
no_coords,Logistic_multi_interactions_no_coords,Saltuarius swaini,0.5826771653543307,,,0.4983830130128601
no_coords,Logistic_multi_no_coords,Cacophis kreftii,0.6370967741935484,0.7559055118110236,-0.11880873761747524,0.07965001576706737
no_coords,Logistic_multi_no_coords,Calyptotis scutirostrum,0.8688616071428571,0.7732441471571906,0.09561745998566651,0.14093099477822263
no_coords,Logistic_multi_no_coords,Coeranoscincus reticulatus,0.475,0.45681818181818185,0.018181818181818132,0.4987746050527895
no_coords,Logistic_multi_no_coords,Egernia mcpheei,0.9333333333333333,0.6475409836065574,0.2857923497267759,-0.0032890867056754444
no_coords,Logistic_multi_no_coords,Eulamprus murrayi,0.36220472440944884,,,0.6676714904499629
no_coords,Logistic_multi_no_coords,Ophioscincus truncatus,0.7296380090497737,0.8702341137123746,-0.14059610466260086,0.16839979002340877
no_coords,Logistic_multi_no_coords,Pseudechis porphyricaus,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.01740516021648311
no_coords,Logistic_multi_no_coords,Saltuarius swaini,0.5511811023622047,,,0.6673110841969165
