coordinate_setting,model,species,split_type,n_test_plots,k_neighbours,permutations,morans_i,permutation_p
no_coords,Logistic_multi_interactions_no_coords,Cacophis kreftii,random,128,8,999,0.10983485543001203,0.014
no_coords,Logistic_multi_interactions_no_coords,Cacophis kreftii,spatial,128,8,999,0.33761787588770376,0.001
no_coords,Logistic_multi_interactions_no_coords,Calyptotis scutirostrum,random,128,8,999,0.05810515089893851,0.142
no_coords,Logistic_multi_interactions_no_coords,Calyptotis scutirostrum,spatial,128,8,999,0.16895780248663864,0.001
no_coords,Logistic_multi_interactions_no_coords,Coeranoscincus reticulatus,random,128,8,999,0.2316279323220643,0.001
no_coords,Logistic_multi_interactions_no_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.43098953281465713,0.001
no_coords,Logistic_multi_interactions_no_coords,Egernia mcpheei,random,128,8,999,-0.015167184649317492,0.739
no_coords,Logistic_multi_interactions_no_coords,Egernia mcpheei,spatial,128,8,999,0.0764223465857309,0.039
no_coords,Logistic_multi_interactions_no_coords,Eulamprus murrayi,random,128,8,999,-0.003498447456523719,0.82
no_coords,Logistic_multi_interactions_no_coords,Eulamprus murrayi,spatial,128,8,999,0.29809622761657273,0.001
no_coords,Logistic_multi_interactions_no_coords,Ophioscincus truncatus,random,128,8,999,0.15213993294363498,0.003
no_coords,Logistic_multi_interactions_no_coords,Ophioscincus truncatus,spatial,128,8,999,0.0742957670318799,0.042
no_coords,Logistic_multi_interactions_no_coords,Pseudechis porphyricaus,random,128,8,999,-0.02423807542972381,0.484
no_coords,Logistic_multi_interactions_no_coords,Pseudechis porphyricaus,spatial,128,8,999,-0.0019018881896806972,0.941
no_coords,Logistic_multi_interactions_no_coords,Saltuarius swaini,random,128,8,999,-0.007269034621147603,0.528
no_coords,Logistic_multi_interactions_no_coords,Saltuarius swaini,spatial,128,8,999,0.4983830130128601,0.001
no_coords,Logistic_multi_no_coords,Cacophis kreftii,random,128,8,999,0.09260726035673646,0.027
no_coords,Logistic_multi_no_coords,Cacophis kreftii,spatial,128,8,999,0.07965001576706737,0.001
no_coords,Logistic_multi_no_coords,Calyptotis scutirostrum,random,128,8,999,0.18702867856522418,0.001
no_coords,Logistic_multi_no_coords,Calyptotis scutirostrum,spatial,128,8,999,0.14093099477822263,0.007
no_coords,Logistic_multi_no_coords,Coeranoscincus reticulatus,random,128,8,999,0.30784686940694767,0.001
no_coords,Logistic_multi_no_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.4987746050527895,0.001
no_coords,Logistic_multi_no_coords,Egernia mcpheei,random,128,8,999,0.04214869369607241,0.142
no_coords,Logistic_multi_no_coords,Egernia mcpheei,spatial,128,8,999,-0.0032890867056754444,0.914
no_coords,Logistic_multi_no_coords,Eulamprus murrayi,random,128,8,999,-0.0002690557290628742,0.998
no_coords,Logistic_multi_no_coords,Eulamprus murrayi,spatial,128,8,999,0.6676714904499629,0.001
no_coords,Logistic_multi_no_coords,Ophioscincus truncatus,random,128,8,999,0.16758685194618678,0.001
no_coords,Logistic_multi_no_coords,Ophioscincus truncatus,spatial,128,8,999,0.16839979002340877,0.002
no_coords,Logistic_multi_no_coords,Pseudechis porphyricaus,random,128,8,999,-0.015817996542285325,0.864
no_coords,Logistic_multi_no_coords,Pseudechis porphyricaus,spatial,128,8,999,0.01740516021648311,0.5
no_coords,Logistic_multi_no_coords,Saltuarius swaini,random,128,8,999,-0.0032016326077919316,0.774
no_coords,Logistic_multi_no_coords,Saltuarius swaini,spatial,128,8,999,0.6673110841969165,0.001
no_coords,Logistic_single_no_coords,Cacophis kreftii,random,128,8,999,0.11894599241125275,0.009
no_coords,Logistic_single_no_coords,Cacophis kreftii,spatial,128,8,999,0.2678514250353836,0.001
no_coords,Logistic_single_no_coords,Calyptotis scutirostrum,random,128,8,999,0.06162974234716203,0.115
no_coords,Logistic_single_no_coords,Calyptotis scutirostrum,spatial,128,8,999,0.16752742676247862,0.001
no_coords,Logistic_single_no_coords,Coeranoscincus reticulatus,random,128,8,999,0.23783984693025742,0.001
no_coords,Logistic_single_no_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.43658985086020397,0.001
no_coords,Logistic_single_no_coords,Egernia mcpheei,random,128,8,999,0.03398187942207906,0.198
no_coords,Logistic_single_no_coords,Egernia mcpheei,spatial,128,8,999,0.07996031223578058,0.033
no_coords,Logistic_single_no_coords,Eulamprus murrayi,random,128,8,999,-0.003394090622957838,0.942
no_coords,Logistic_single_no_coords,Eulamprus murrayi,spatial,128,8,999,0.6745108528004552,0.001
no_coords,Logistic_single_no_coords,Ophioscincus truncatus,random,128,8,999,0.1606426118421368,0.001
no_coords,Logistic_single_no_coords,Ophioscincus truncatus,spatial,128,8,999,0.09985184745343599,0.007
no_coords,Logistic_single_no_coords,Pseudechis porphyricaus,random,128,8,999,-0.020185722380022083,0.628
no_coords,Logistic_single_no_coords,Pseudechis porphyricaus,spatial,128,8,999,0.001725974619131492,0.94
no_coords,Logistic_single_no_coords,Saltuarius swaini,random,128,8,999,-0.009415166290627842,0.326
no_coords,Logistic_single_no_coords,Saltuarius swaini,spatial,128,8,999,0.6283216451280674,0.001
