model,split_type,use_coords,candidate,fold,classifier__C,classifier__class_weight,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
Logistic_multi_interactions_no_coords,random,False,1,1,0.01,,824,52,0.21069297963657854,0.8088880031885214,0.26405723508162743,0.05552318279332233,0.0,0.0,1.0
Logistic_multi_interactions_no_coords,random,False,1,2,0.01,,824,52,0.21262300780804236,0.8125249103228377,0.20785951572134417,0.0560492287031405,0.0,0.0,1.0
Logistic_multi_interactions_no_coords,random,False,1,3,0.01,,824,50,0.2063537360831057,0.8,0.23863561243481868,0.05379483031316005,0.0,0.0,1.0
Logistic_multi_interactions_no_coords,random,False,1,4,0.01,,816,49,0.20562517935040792,0.8180294281989197,0.21821980736931135,0.053631997114201614,0.0,0.0,1.0
Logistic_multi_interactions_no_coords,random,False,1,5,0.01,,816,48,0.2039710994430307,0.7934841579861112,0.1812474109416532,0.05278191370124365,0.0,0.0,1.0
Logistic_multi_interactions_no_coords,random,False,2,1,0.01,balanced,824,52,0.5089000753598901,0.8408230370665604,0.2910122138798824,0.16241314406377275,0.3474576271186441,0.7884615384615384,0.8147668393782384
Logistic_multi_interactions_no_coords,random,False,2,2,0.01,balanced,824,52,0.5312631651246374,0.851584296532483,0.2321848200387032,0.17065935215788855,0.3346938775510204,0.7884615384615384,0.8031088082901554
Logistic_multi_interactions_no_coords,random,False,2,3,0.01,balanced,824,50,0.527294050308533,0.8136692506459949,0.2511872399255363,0.17003568706846225,0.3228346456692913,0.82,0.789405684754522
Logistic_multi_interactions_no_coords,random,False,2,4,0.01,balanced,816,49,0.5185483377666619,0.8472713726951016,0.2389155476397626,0.1659239969542042,0.30833333333333335,0.7551020408163265,0.7992177314211213
Logistic_multi_interactions_no_coords,random,False,2,5,0.01,balanced,816,48,0.5355086234955042,0.8268229166666667,0.19970703366342749,0.1728480677605471,0.3148936170212766,0.7708333333333334,0.8046875
Logistic_multi_interactions_no_coords,random,False,3,1,0.1,,824,52,0.1846692323588662,0.8421681944998006,0.341246296029908,0.05070715477029326,0.0,0.0,1.0
Logistic_multi_interactions_no_coords,random,False,3,2,0.1,,824,52,0.18913167512988366,0.8569151056197688,0.2549652671415081,0.05338895170531841,0.037037037037037035,0.019230769230769232,0.9987046632124352
Logistic_multi_interactions_no_coords,random,False,3,3,0.1,,824,50,0.18610818047877256,0.8136950904392766,0.2643447471023816,0.050432141843312066,0.0,0.0,1.0
Logistic_multi_interactions_no_coords,random,False,3,4,0.1,,816,49,0.18249182899849292,0.8508102067424101,0.24850667129614087,0.050491233518551254,0.0,0.0,0.9973924380704041
Logistic_multi_interactions_no_coords,random,False,3,5,0.1,,816,48,0.18732055497727765,0.8315158420138888,0.2025647610139102,0.052092047047276026,0.0,0.0,0.9934895833333334
Logistic_multi_interactions_no_coords,random,False,4,1,0.1,balanced,824,52,0.4524453809323534,0.8525308888003189,0.30769302212464483,0.14476334689205947,0.3346613545816733,0.8076923076923077,0.7966321243523317
Logistic_multi_interactions_no_coords,random,False,4,2,0.1,balanced,824,52,0.4815544888860469,0.8654095257074531,0.24855404390794025,0.1504404623666004,0.35294117647058826,0.8653846153846154,0.7953367875647669
Logistic_multi_interactions_no_coords,random,False,4,3,0.1,balanced,824,50,0.47630128192554144,0.8245994832041343,0.25129573685749806,0.15251575829588931,0.30943396226415093,0.82,0.7751937984496124
Logistic_multi_interactions_no_coords,random,False,4,4,0.1,balanced,816,49,0.46819128087371453,0.8580209137109863,0.24570741157901488,0.14828708729990045,0.32,0.8163265306122449,0.7900912646675359
Logistic_multi_interactions_no_coords,random,False,4,5,0.1,balanced,816,48,0.4983476451397628,0.8404405381944444,0.20105521984544353,0.15666007202101856,0.3140495867768595,0.7916666666666666,0.796875
Logistic_multi_interactions_no_coords,random,False,5,1,1.0,,824,52,0.17854410465323794,0.8530041849342367,0.33582312684574633,0.049599861021306216,0.07272727272727272,0.038461538461538464,0.9987046632124352
Logistic_multi_interactions_no_coords,random,False,5,2,1.0,,824,52,0.182328450136398,0.8663312076524512,0.25546907615712633,0.05326683933432629,0.03508771929824561,0.019230769230769232,0.9948186528497409
