model,split_type,use_coords,candidate,fold,classifier__C,classifier__class_weight,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
Logistic_multi_interactions_no_coords,spatial,False,1,1,0.01,,824,50,0.20369011078295643,0.8081136950904393,0.2827993228302247,0.053148827315300594,0.0,0.0,1.0
Logistic_multi_interactions_no_coords,spatial,False,1,2,0.01,,824,52,0.21076788364977855,0.7990235153447589,0.23191642329573658,0.05546879620135133,0.0,0.0,1.0
Logistic_multi_interactions_no_coords,spatial,False,1,3,0.01,,816,48,0.2092298528992196,0.7482638888888888,0.154240391378033,0.05368412016622491,0.0,0.0,1.0
Logistic_multi_interactions_no_coords,spatial,False,1,4,0.01,,816,49,0.20460249103933545,0.7898784024692015,0.274465813906999,0.053067482058836726,0.0,0.0,1.0
Logistic_multi_interactions_no_coords,spatial,False,1,5,0.01,,824,51,0.210469393304087,0.752428785226898,0.21410356849785428,0.05469191449571176,0.0,0.0,1.0
Logistic_multi_interactions_no_coords,spatial,False,2,1,0.01,balanced,824,50,0.5217668587524058,0.851860465116279,0.2846918615931536,0.16802186324962673,0.325,0.78,0.8049095607235142
Logistic_multi_interactions_no_coords,spatial,False,2,2,0.01,balanced,824,52,0.5384371164523726,0.8363142686329215,0.2531119934800675,0.17505165638867554,0.32558139534883723,0.8076923076923077,0.7875647668393783
Logistic_multi_interactions_no_coords,spatial,False,2,3,0.01,balanced,816,48,0.5293859677732556,0.8057996961805556,0.1792519221652915,0.1706005577787085,0.2857142857142857,0.7291666666666666,0.7890625
Logistic_multi_interactions_no_coords,spatial,False,2,4,0.01,balanced,816,49,0.5279558084878054,0.8429609131788309,0.2710717700009582,0.17064743060059445,0.3288888888888889,0.7551020408163265,0.81877444589309
Logistic_multi_interactions_no_coords,spatial,False,2,5,0.01,balanced,824,51,0.5206505408573665,0.8137128072445019,0.23445984711425022,0.167411093187231,0.30962343096234307,0.7254901960784313,0.8046571798188874
Logistic_multi_interactions_no_coords,spatial,False,3,1,0.1,,824,50,0.1813872131310982,0.8485271317829458,0.29956361029687073,0.04946704731546037,0.03773584905660377,0.02,0.9974160206718347
Logistic_multi_interactions_no_coords,spatial,False,3,2,0.1,,824,52,0.18697534714871578,0.847324631327222,0.27956140963339343,0.051844867548822955,0.03636363636363636,0.019230769230769232,0.9974093264248705
Logistic_multi_interactions_no_coords,spatial,False,3,3,0.1,,816,48,0.1913162263520994,0.8162434895833333,0.18768063725274095,0.05241168184392632,0.0,0.0,0.99609375
Logistic_multi_interactions_no_coords,spatial,False,3,4,0.1,,816,49,0.18051732009055746,0.8431205598275815,0.2954508311059625,0.04907618890813742,0.0,0.0,0.9986962190352021
Logistic_multi_interactions_no_coords,spatial,False,3,5,0.1,,824,51,0.19455005818043095,0.8097049945463308,0.23874347792292674,0.05276154359279165,0.07017543859649122,0.0392156862745098,0.9948253557567918
Logistic_multi_interactions_no_coords,spatial,False,4,1,0.1,balanced,824,50,0.4666031553326103,0.8616279069767442,0.2859194065298649,0.15003636419378882,0.308300395256917,0.78,0.7881136950904393
Logistic_multi_interactions_no_coords,spatial,False,4,2,0.1,balanced,824,52,0.4872210097984055,0.8499402152251894,0.26437528531509125,0.1568940867723197,0.3235294117647059,0.8461538461538461,0.772020725388601
Logistic_multi_interactions_no_coords,spatial,False,4,3,0.1,balanced,816,48,0.4815620021308247,0.8241373697916667,0.18591488428140407,0.15406896731209602,0.28225806451612906,0.7291666666666666,0.78515625
Logistic_multi_interactions_no_coords,spatial,False,4,4,0.1,balanced,816,49,0.475796390528493,0.8530718675997127,0.2626030067171211,0.15246461446499532,0.30278884462151395,0.7755102040816326,0.7861799217731421
Logistic_multi_interactions_no_coords,spatial,False,4,5,0.1,balanced,824,51,0.47965286581582345,0.8226923369606575,0.23308859644860927,0.15467157258856487,0.3076923076923077,0.7843137254901961,0.7813712807244502
Logistic_multi_interactions_no_coords,spatial,False,5,1,1.0,,824,50,0.1756447714152364,0.8560981912144703,0.3064088318876015,0.04915718075453171,0.07017543859649122,0.04,0.9935400516795866
Logistic_multi_interactions_no_coords,spatial,False,5,2,1.0,,824,52,0.18382244964072414,0.8517088481466719,0.2696307937599028,0.052000131384435794,0.034482758620689655,0.019230769230769232,0.9935233160621761
Logistic_multi_interactions_no_coords,spatial,False,5,3,1.0,,816,48,0.18725831702393333,0.8251953125,0.18700216313737344,0.05250733755736568,0.0,0.0,0.9947916666666666
Logistic_multi_interactions_no_coords,spatial,False,5,4,1.0,,816,49,0.17424996393169867,0.8518479099592902,0.2967537847618996,0.04824218679136679,0.038461538461538464,0.02040816326530612,0.9973924380704041
Logistic_multi_interactions_no_coords,spatial,False,5,5,1.0,,824,51,0.19453195328015682,0.8180250107805088,0.24057871193755292,0.053194206882465414,0.12903225806451613,0.0784313725490196,0.9909443725743855
Logistic_multi_interactions_no_coords,spatial,False,6,1,1.0,balanced,824,50,0.460394584455434,0.8620413436692507,0.2798127639317529,0.15257260750948176,0.3048327137546468,0.82,0.7700258397932817
Logistic_multi_interactions_no_coords,spatial,False,6,2,1.0,balanced,824,52,0.4849618174110828,0.850214228776405,0.24773838728462544,0.15922201105380335,0.30985915492957744,0.8461538461538461,0.7564766839378239
Logistic_multi_interactions_no_coords,spatial,False,6,3,1.0,balanced,816,48,0.4767024563281173,0.8224555121527778,0.1862543052646294,0.1561735490121591,0.2824427480916031,0.7708333333333334,0.76953125
Logistic_multi_interactions_no_coords,spatial,False,6,4,1.0,balanced,816,49,0.4656475848697696,0.853417768672006,0.2622520299264422,0.1526985625161733,0.29213483146067415,0.7959183673469388,0.7666232073011734
