model,split_type,use_coords,candidate,fold,classifier__C,classifier__class_weight,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
Logistic_multi_interactions_with_coords,random,True,1,1,0.01,,824,52,0.2021601242635576,0.8104822638501394,0.31076668182697453,0.05382683085883062,0.0,0.0,1.0
Logistic_multi_interactions_with_coords,random,True,1,2,0.01,,824,52,0.20406392463440612,0.8264746911119968,0.26347482038269876,0.054617998452443084,0.0,0.0,1.0
Logistic_multi_interactions_with_coords,random,True,1,3,0.01,,824,50,0.19924550820550493,0.816640826873385,0.30620260963014784,0.052292561440659135,0.0,0.0,1.0
Logistic_multi_interactions_with_coords,random,True,1,4,0.01,,816,49,0.19437005645602995,0.8703403134395871,0.3172918628084461,0.05175028441774222,0.0,0.0,1.0
Logistic_multi_interactions_with_coords,random,True,1,5,0.01,,816,48,0.19495182130955666,0.8286404079861113,0.237498766742297,0.05125997118143404,0.0,0.0,1.0
Logistic_multi_interactions_with_coords,random,True,2,1,0.01,balanced,824,52,0.4668514785977148,0.8718363889996014,0.35872752354290416,0.1458516695995364,0.36607142857142855,0.7884615384615384,0.8303108808290155
Logistic_multi_interactions_with_coords,random,True,2,2,0.01,balanced,824,52,0.4670674747543035,0.8912913511359107,0.290728743849969,0.14512560577008046,0.3761467889908257,0.7884615384615384,0.8380829015544041
Logistic_multi_interactions_with_coords,random,True,2,3,0.01,balanced,824,50,0.49421303813126294,0.8434108527131783,0.2841822560529507,0.15685663796329788,0.3620689655172414,0.84,0.8191214470284238
Logistic_multi_interactions_with_coords,random,True,2,4,0.01,balanced,816,49,0.4722859534892858,0.8855067450709097,0.29918050355435577,0.14624433876030085,0.4,0.8367346938775511,0.8500651890482399
Logistic_multi_interactions_with_coords,random,True,2,5,0.01,balanced,816,48,0.508783631706099,0.8539767795138888,0.2353975182817156,0.16266698056718207,0.35398230088495575,0.8333333333333334,0.8203125
Logistic_multi_interactions_with_coords,random,True,3,1,0.1,,824,52,0.17088838263613595,0.8742776006377042,0.39802059854572047,0.0472861256022264,0.10714285714285714,0.057692307692307696,0.9987046632124352
Logistic_multi_interactions_with_coords,random,True,3,2,0.1,,824,52,0.1749906815041757,0.8941560382622559,0.31540378072986314,0.05039153820061167,0.03773584905660377,0.019230769230769232,1.0
Logistic_multi_interactions_with_coords,random,True,3,3,0.1,,824,50,0.1780968620779475,0.8448062015503875,0.3263166351330755,0.04837620403749541,0.07272727272727272,0.04,0.9961240310077519
Logistic_multi_interactions_with_coords,random,True,3,4,0.1,,816,49,0.16662322181064065,0.8881143070005055,0.33293040322867823,0.04725157612856966,0.038461538461538464,0.02040816326530612,0.9973924380704041
Logistic_multi_interactions_with_coords,random,True,3,5,0.1,,816,48,0.17587262585565494,0.8616536458333333,0.2619499050840047,0.049308356029106146,0.03773584905660377,0.020833333333333332,0.9947916666666666
Logistic_multi_interactions_with_coords,random,True,4,1,0.1,balanced,824,52,0.40362228700673736,0.8901703866082105,0.3983994865973226,0.12742297297791558,0.36363636363636365,0.8461538461538461,0.810880829015544
Logistic_multi_interactions_with_coords,random,True,4,2,0.1,balanced,824,52,0.40436989908852433,0.9009814667198086,0.3087476019738756,0.12630600464033206,0.38095238095238093,0.8461538461538461,0.8251295336787565
Logistic_multi_interactions_with_coords,random,True,4,3,0.1,balanced,824,50,0.43957832221529847,0.854392764857881,0.2911756805187423,0.1372168263405106,0.34146341463414637,0.84,0.8010335917312662
Logistic_multi_interactions_with_coords,random,True,4,4,0.1,balanced,816,49,0.40461323206374744,0.8842827874304872,0.2972693878791506,0.12348901926228988,0.39814814814814814,0.8775510204081632,0.8383311603650587
Logistic_multi_interactions_with_coords,random,True,4,5,0.1,balanced,816,48,0.4680675370482969,0.8648817274305555,0.2429069171068471,0.14604859910835516,0.3404255319148936,0.8333333333333334,0.80859375
Logistic_multi_interactions_with_coords,random,True,5,1,1.0,,824,52,0.16105914330693138,0.8925368672777999,0.42234584898182026,0.04565094158731825,0.25396825396825395,0.15384615384615385,0.9961139896373057
Logistic_multi_interactions_with_coords,random,True,5,2,1.0,,824,52,0.16522297609611802,0.898291151853328,0.3270032680340597,0.04955826683793621,0.06779661016949153,0.038461538461538464,0.9935233160621761
Logistic_multi_interactions_with_coords,random,True,5,3,1.0,,824,50,0.17957317075287588,0.8516537467700258,0.3186722965088136,0.04880069279584824,0.15625,0.1,0.9883720930232558
Logistic_multi_interactions_with_coords,random,True,5,4,1.0,,816,49,0.16108838602827721,0.8864114094138308,0.3411644425055391,0.04610118339073641,0.07017543859649122,0.04081632653061224,0.9921773142112125
Logistic_multi_interactions_with_coords,random,True,5,5,1.0,,816,48,0.173562228248556,0.8671061197916666,0.27811619919296204,0.04940300011852905,0.21212121212121213,0.14583333333333334,0.9856770833333334
Logistic_multi_interactions_with_coords,random,True,6,1,1.0,balanced,824,52,0.39835575620476227,0.8934336388999602,0.3778462229748667,0.13040956625286151,0.36363636363636365,0.8846153846153846,0.7992227979274611
Logistic_multi_interactions_with_coords,random,True,6,2,1.0,balanced,824,52,0.3976668866497094,0.8999103228377839,0.298002596048569,0.12867472780123496,0.37130801687763715,0.8461538461538461,0.8173575129533679
Logistic_multi_interactions_with_coords,random,True,6,3,1.0,balanced,824,50,0.43778215601115955,0.8522222222222222,0.28362440970959313,0.13870514850590684,0.350597609561753,0.88,0.7971576227390181
Logistic_multi_interactions_with_coords,random,True,6,4,1.0,balanced,816,49,0.3843063333217657,0.885347098422159,0.30169162464501836,0.12040584442621252,0.4017857142857143,0.9183673469387755,0.8305084745762712
Logistic_multi_interactions_with_coords,random,True,6,5,1.0,balanced,816,48,0.46990943434352145,0.8649631076388888,0.24463090053229292,0.1493824773004435,0.3333333333333333,0.8541666666666666,0.7955729166666666
Logistic_multi_interactions_with_coords,random,True,7,1,10.0,,824,52,0.1594380176790909,0.8968463531287366,0.42929295802593304,0.04518157535532371,0.25,0.15384615384615385,0.9948186528497409
Logistic_multi_interactions_with_coords,random,True,7,2,10.0,,824,52,0.16326822684612077,0.898639896373057,0.32429726730246855,0.04956752582572103,0.1016949152542373,0.057692307692307696,0.9948186528497409
Logistic_multi_interactions_with_coords,random,True,7,3,10.0,,824,50,0.1899122709995837,0.8495865633074936,0.2930613638267751,0.050107633780156036,0.15384615384615385,0.1,0.9870801033591732
Logistic_multi_interactions_with_coords,random,True,7,4,10.0,,816,49,0.16828193729437937,0.8865710560625816,0.3517933693714735,0.045884141710906226,0.13333333333333333,0.08163265306122448,0.9908735332464146
Logistic_multi_interactions_with_coords,random,True,7,5,10.0,,816,48,0.17367546908862821,0.8714735243055555,0.2973541674155772,0.04903901430114739,0.23529411764705882,0.16666666666666666,0.984375
Logistic_multi_interactions_with_coords,random,True,8,1,10.0,balanced,824,52,0.4018945872082059,0.8935831008369869,0.3667873671433031,0.13213672899428558,0.36507936507936506,0.8846153846153846,0.8005181347150259
Logistic_multi_interactions_with_coords,random,True,8,2,10.0,balanced,824,52,0.39972072617061705,0.8977680350737346,0.2804875331733665,0.13012358792457138,0.37344398340248963,0.8653846153846154,0.8134715025906736
Logistic_multi_interactions_with_coords,random,True,8,3,10.0,balanced,824,50,0.4514568931486621,0.8482428940568475,0.2643704245945789,0.14070372849446133,0.3464566929133858,0.88,0.7932816537467701
Logistic_multi_interactions_with_coords,random,True,8,4,10.0,balanced,816,49,0.38690472481570437,0.883790543596839,0.30438781443412677,0.11990810709482466,0.38392857142857145,0.8775510204081632,0.8279009126466753
Logistic_multi_interactions_with_coords,random,True,8,5,10.0,balanced,816,48,0.4744546731227387,0.8636881510416666,0.238534915384067,0.15189809359458473,0.3241106719367589,0.8541666666666666,0.7864583333333334
