model,split_type,use_coords,candidate,fold,classifier__C,classifier__class_weight,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
Logistic_multi_interactions_with_coords,spatial,True,1,1,0.01,,824,50,0.1921249881958302,0.8631266149870801,0.33188740441289954,0.05118861147269882,0.0,0.0,1.0
Logistic_multi_interactions_with_coords,spatial,True,1,2,0.01,,824,52,0.2025119462297696,0.810307891590275,0.27220086451219955,0.05391684456256571,0.0,0.0,1.0
Logistic_multi_interactions_with_coords,spatial,True,1,3,0.01,,816,48,0.1995523565484755,0.7885199652777779,0.2233215234514895,0.051883042251020015,0.0,0.0,1.0
Logistic_multi_interactions_with_coords,spatial,True,1,4,0.01,,816,49,0.20190991149795182,0.7457361040896149,0.28059672493325927,0.052115836579415556,0.0,0.0,1.0
Logistic_multi_interactions_with_coords,spatial,True,1,5,0.01,,824,51,0.20253117890813127,0.7778707860893388,0.2565688269473681,0.05313160041132444,0.0,0.0,1.0
Logistic_multi_interactions_with_coords,spatial,True,2,1,0.01,balanced,824,50,0.48017237534047863,0.8987080103359173,0.34427694122781277,0.1507363017262463,0.3879310344827586,0.9,0.8229974160206718
Logistic_multi_interactions_with_coords,spatial,True,2,2,0.01,balanced,824,52,0.4919042520201396,0.8599541650059785,0.27745741098985466,0.15640943222069822,0.3514644351464435,0.8076923076923077,0.8121761658031088
Logistic_multi_interactions_with_coords,spatial,True,2,3,0.01,balanced,816,48,0.49539356900960607,0.8233506944444444,0.21120371558262432,0.1568805673282665,0.33035714285714285,0.7708333333333334,0.8190104166666666
Logistic_multi_interactions_with_coords,spatial,True,2,4,0.01,balanced,816,49,0.48920016569963765,0.8531250831492962,0.2884871570338672,0.15495907418033789,0.35406698564593303,0.7551020408163265,0.8396349413298566
Logistic_multi_interactions_with_coords,spatial,True,2,5,0.01,balanced,824,51,0.49026545911404207,0.8453440884762702,0.2754997853885374,0.15502099702147276,0.32599118942731276,0.7254901960784313,0.8201811125485123
Logistic_multi_interactions_with_coords,spatial,True,3,1,0.1,,824,50,0.16594078095843992,0.8980103359173127,0.3666599005618325,0.04672309131604671,0.03636363636363636,0.02,0.9948320413436692
Logistic_multi_interactions_with_coords,spatial,True,3,2,0.1,,824,52,0.17768339096950686,0.8690713431646074,0.3162318858038505,0.05020121251492125,0.03571428571428571,0.019230769230769232,0.9961139896373057
Logistic_multi_interactions_with_coords,spatial,True,3,3,0.1,,816,48,0.1796478076668434,0.8293999565972222,0.22789025208345356,0.049503323768749254,0.0,0.0,1.0
Logistic_multi_interactions_with_coords,spatial,True,3,4,0.1,,816,49,0.17617337322842427,0.8554665673309741,0.31507604105488257,0.04826443780362865,0.0392156862745098,0.02040816326530612,0.9986962190352021
Logistic_multi_interactions_with_coords,spatial,True,3,5,0.1,,824,51,0.18522865318981768,0.840169444233062,0.28004886718024113,0.050791215883366166,0.13114754098360656,0.0784313725490196,0.9922380336351876
Logistic_multi_interactions_with_coords,spatial,True,4,1,0.1,balanced,824,50,0.414507204769271,0.8990180878552971,0.33621959836004545,0.13160577820212419,0.3643724696356275,0.9,0.8036175710594315
Logistic_multi_interactions_with_coords,spatial,True,4,2,0.1,balanced,824,52,0.43434514834689,0.8754732961339179,0.2767581348024236,0.1385833827158827,0.35918367346938773,0.8461538461538461,0.8069948186528497
Logistic_multi_interactions_with_coords,spatial,True,4,3,0.1,balanced,816,48,0.4452980343491755,0.8433159722222221,0.21323482448656264,0.1399251501661219,0.34210526315789475,0.8125,0.81640625
Logistic_multi_interactions_with_coords,spatial,True,4,4,0.1,balanced,816,49,0.4301585781096366,0.8851076284490328,0.2985143996947388,0.13556748986441486,0.3686635944700461,0.8163265306122449,0.833116036505867
Logistic_multi_interactions_with_coords,spatial,True,4,5,0.1,balanced,824,51,0.44189942711052516,0.8507977576541612,0.27231342231633426,0.14007439446782582,0.33472803347280333,0.7843137254901961,0.8085381630012937
