model,split_type,use_coords,candidate,fold,classifier__C,classifier__class_weight,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
Logistic_multi_no_coords,random,False,1,1,0.01,,824,52,0.21889862716104955,0.7643483459545636,0.19303979269627167,0.05698926249014339,0.0,0.0,1.0
Logistic_multi_no_coords,random,False,1,2,0.01,,824,52,0.21848935696651675,0.7765793144679155,0.1904755356963862,0.056956430228465985,0.0,0.0,1.0
Logistic_multi_no_coords,random,False,1,3,0.01,,824,50,0.21334359578680465,0.7639793281653747,0.18242775500265254,0.054981185611344116,0.0,0.0,1.0
Logistic_multi_no_coords,random,False,1,4,0.01,,816,49,0.21277341279865217,0.7662640023414842,0.14663455177753362,0.05474389036569383,0.0,0.0,1.0
Logistic_multi_no_coords,random,False,1,5,0.01,,816,48,0.210446160031765,0.7477484809027778,0.14232670379195275,0.05378739179000229,0.0,0.0,1.0
Logistic_multi_no_coords,random,False,2,1,0.01,balanced,824,52,0.5608101724138154,0.8002441211638103,0.2187760477983195,0.1874485210660673,0.2857142857142857,0.8269230769230769,0.7331606217616581
Logistic_multi_no_coords,random,False,2,2,0.01,balanced,824,52,0.5794125630256808,0.8172827819848546,0.21501304623132478,0.19608783436192892,0.2765273311897106,0.8269230769230769,0.7202072538860104
Logistic_multi_no_coords,random,False,2,3,0.01,balanced,824,50,0.5761741124107984,0.7940826873385013,0.2031140085506272,0.19436764461202785,0.26666666666666666,0.8,0.7286821705426356
Logistic_multi_no_coords,random,False,2,4,0.01,balanced,816,49,0.5663747948897428,0.7984993215017427,0.15783944371189554,0.1898447694973119,0.26181818181818184,0.7346938775510204,0.7522816166883963
Logistic_multi_no_coords,random,False,2,5,0.01,balanced,816,48,0.5789461019718435,0.7878146701388888,0.15350517300812866,0.19571113926931974,0.25165562913907286,0.7916666666666666,0.71875
Logistic_multi_no_coords,random,False,3,1,0.1,,824,52,0.19999147283422167,0.7993971701873257,0.22576508236687418,0.05407673018142774,0.0,0.0,1.0
Logistic_multi_no_coords,random,False,3,2,0.1,,824,52,0.19695752048766196,0.8242078517337584,0.2278840915769255,0.05373661080168746,0.0,0.0,1.0
Logistic_multi_no_coords,random,False,3,3,0.1,,824,50,0.19556648439556484,0.7931782945736434,0.20140717264112915,0.052347558895478374,0.0,0.0,1.0
Logistic_multi_no_coords,random,False,3,4,0.1,,816,49,0.19746119418138328,0.7948141446930793,0.15570167755656755,0.05320558548634966,0.0,0.0,1.0
Logistic_multi_no_coords,random,False,3,5,0.1,,816,48,0.19587803657077452,0.7900933159722222,0.16079024195894903,0.05240893163497368,0.0,0.0,1.0
Logistic_multi_no_coords,random,False,4,1,0.1,balanced,824,52,0.5234148689024334,0.8003935831008371,0.2187382280573582,0.17532552616044125,0.27424749163879597,0.7884615384615384,0.7331606217616581
Logistic_multi_no_coords,random,False,4,2,0.1,balanced,824,52,0.5439630721634106,0.8275707453168593,0.22622589867720505,0.1825154656077882,0.28762541806020064,0.8269230769230769,0.7357512953367875
Logistic_multi_no_coords,random,False,4,3,0.1,balanced,824,50,0.5432825512349455,0.7968992248062016,0.2078035275694949,0.18345858304371557,0.26666666666666666,0.8,0.7286821705426356
Logistic_multi_no_coords,random,False,4,4,0.1,balanced,816,49,0.5328189609131498,0.799510416943831,0.15445407874434655,0.1780145771811209,0.27956989247311825,0.7959183673469388,0.7509778357235984
Logistic_multi_no_coords,random,False,4,5,0.1,balanced,816,48,0.5496825998235167,0.79052734375,0.1528041786912145,0.18474980871614352,0.2560553633217993,0.7708333333333334,0.734375
Logistic_multi_no_coords,random,False,5,1,1.0,,824,52,0.1979237146622884,0.7988989637305699,0.2239815716593835,0.05361140595021817,0.0,0.0,1.0
Logistic_multi_no_coords,random,False,5,2,1.0,,824,52,0.1911453636249904,0.8284675169390195,0.22913340010601396,0.05305745601368919,0.0,0.0,1.0
Logistic_multi_no_coords,random,False,5,3,1.0,,824,50,0.19321314185969513,0.7946511627906978,0.1996183584792348,0.05198190745230708,0.0,0.0,1.0
Logistic_multi_no_coords,random,False,5,4,1.0,,816,49,0.1942887148151871,0.7967831200276722,0.1556981652238367,0.053261180488350296,0.0,0.0,1.0
Logistic_multi_no_coords,random,False,5,5,1.0,,816,48,0.19320905656875523,0.7921278211805556,0.15850214074932595,0.052681383718061456,0.0,0.0,1.0
Logistic_multi_no_coords,random,False,6,1,1.0,balanced,824,52,0.5221409005396647,0.8000697489039458,0.2178006785773832,0.17646697499167568,0.2724252491694352,0.7884615384615384,0.7305699481865285
Logistic_multi_no_coords,random,False,6,2,1.0,balanced,824,52,0.541434674156486,0.8296632124352331,0.2283421321873241,0.18246888290995555,0.28,0.8076923076923077,0.7331606217616581
Logistic_multi_no_coords,random,False,6,3,1.0,balanced,824,50,0.542400152687103,0.7983720930232558,0.20956462000473608,0.18482393708831227,0.26058631921824105,0.8,0.7196382428940569
Logistic_multi_no_coords,random,False,6,4,1.0,balanced,816,49,0.5310734322881011,0.7991911236463295,0.15398114943962898,0.17846110155589534,0.2704626334519573,0.7755102040816326,0.7470664928292047
Logistic_multi_no_coords,random,False,6,5,1.0,balanced,816,48,0.5493306767199548,0.7909613715277778,0.15268740089489133,0.18539280666728158,0.25,0.75,0.734375
Logistic_multi_no_coords,random,False,7,1,10.0,,824,52,0.19881008259819563,0.7989736946990834,0.2234431348313557,0.05360548740567209,0.0,0.0,1.0
Logistic_multi_no_coords,random,False,7,2,10.0,,824,52,0.1904018967244988,0.8299870466321243,0.2300537527975982,0.05299632673554071,0.0,0.0,1.0
Logistic_multi_no_coords,random,False,7,3,10.0,,824,50,0.193809048917565,0.7952713178294574,0.20017595788238354,0.05198633422129869,0.0,0.0,1.0
Logistic_multi_no_coords,random,False,7,4,10.0,,816,49,0.19391405872970896,0.7971157172125696,0.15538914572185628,0.05331091668587322,0.0,0.0,1.0
Logistic_multi_no_coords,random,False,7,5,10.0,,816,48,0.19306302426035926,0.7933756510416666,0.1602813589297432,0.052779044438581266,0.0,0.0,1.0
Logistic_multi_no_coords,random,False,8,1,10.0,balanced,824,52,0.5224263094244554,0.7999950179354326,0.21753322106275544,0.17682012906257624,0.2724252491694352,0.7884615384615384,0.7305699481865285
Logistic_multi_no_coords,random,False,8,2,10.0,balanced,824,52,0.541398658644027,0.8299870466321245,0.22839547472136107,0.18261711770956748,0.28,0.8076923076923077,0.7331606217616581
Logistic_multi_no_coords,random,False,8,3,10.0,balanced,824,50,0.5425615258016112,0.7982945736434108,0.2095516312718819,0.1851984219963032,0.2588996763754045,0.8,0.7170542635658915
