model,split_type,use_coords,candidate,fold,classifier__C,classifier__class_weight,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
Logistic_multi_no_coords,spatial,False,1,1,0.01,,824,50,0.20906991269720882,0.8002583979328165,0.2605664058096605,0.05430440766413394,0.0,0.0,1.0
Logistic_multi_no_coords,spatial,False,1,2,0.01,,824,52,0.2179070869957661,0.7689318453567159,0.17736123389896566,0.05680982474966889,0.0,0.0,1.0
Logistic_multi_no_coords,spatial,False,1,3,0.01,,816,48,0.2144925584301501,0.689453125,0.1128612336026199,0.05431473807712056,0.0,0.0,1.0
Logistic_multi_no_coords,spatial,False,1,4,0.01,,816,49,0.2099609939482159,0.7787563526062314,0.21598214202843768,0.054155014879706524,0.0,0.0,1.0
Logistic_multi_no_coords,spatial,False,1,5,0.01,,824,51,0.21575127711769557,0.7309184993531694,0.1742440661659882,0.05581134374119185,0.0,0.0,1.0
Logistic_multi_no_coords,spatial,False,2,1,0.01,balanced,824,50,0.5674268980036781,0.8429198966408269,0.27041278012089914,0.1900374233828543,0.26804123711340205,0.78,0.7390180878552972
Logistic_multi_no_coords,spatial,False,2,2,0.01,balanced,824,52,0.5857644840450511,0.8129234754882424,0.2162417641130329,0.19838414420089517,0.2732919254658385,0.8461538461538461,0.7072538860103627
Logistic_multi_no_coords,spatial,False,2,3,0.01,balanced,816,48,0.566573209274012,0.7434895833333334,0.13174086599960122,0.18950106179487816,0.2536231884057971,0.7291666666666666,0.7486979166666666
Logistic_multi_no_coords,spatial,False,2,4,0.01,balanced,816,49,0.5705574674679398,0.813213420961605,0.2256089384813073,0.1913999177042155,0.2608695652173913,0.7959183673469388,0.7249022164276402
Logistic_multi_no_coords,spatial,False,2,5,0.01,balanced,824,51,0.5678725346895064,0.7723917510082946,0.19484695146790743,0.19053715321882436,0.2597402597402597,0.7843137254901961,0.7192755498059509
Logistic_multi_no_coords,spatial,False,3,1,0.1,,824,50,0.18749348943139485,0.84671834625323,0.27500026968112523,0.051049739435506544,0.0,0.0,1.0
Logistic_multi_no_coords,spatial,False,3,2,0.1,,824,52,0.19698806856832446,0.8197364487843762,0.23358904980513842,0.05354092429430056,0.0,0.0,1.0
Logistic_multi_no_coords,spatial,False,3,3,0.1,,816,48,0.20585496478471532,0.7419433593749999,0.13022997529200336,0.05404359328427385,0.0,0.0,1.0
Logistic_multi_no_coords,spatial,False,3,4,0.1,,816,49,0.1912377818960814,0.8171247638559989,0.2322288601255886,0.05145411017399132,0.0,0.0,1.0
Logistic_multi_no_coords,spatial,False,3,5,0.1,,824,51,0.20239627186998205,0.7716815057200113,0.2025596973411706,0.053735245497442914,0.0,0.0,1.0
Logistic_multi_no_coords,spatial,False,4,1,0.1,balanced,824,50,0.5333432592871039,0.8451937984496124,0.26726336113092336,0.17778579276519382,0.2857142857142857,0.84,0.7390180878552972
Logistic_multi_no_coords,spatial,False,4,2,0.1,balanced,824,52,0.5513307146760316,0.8227381426863293,0.22584385802026496,0.18511457617002966,0.27741935483870966,0.8269230769230769,0.7215025906735751
Logistic_multi_no_coords,spatial,False,4,3,0.1,balanced,816,48,0.5345511703164116,0.7562934027777778,0.136813947674547,0.1776463953096652,0.27007299270072993,0.7708333333333334,0.75390625
Logistic_multi_no_coords,spatial,False,4,4,0.1,balanced,816,49,0.5454022428646841,0.8137721842322325,0.2195066445781956,0.18297808830158668,0.2711864406779661,0.8163265306122449,0.7314211212516297
Logistic_multi_no_coords,spatial,False,4,5,0.1,balanced,824,51,0.5401152406025609,0.771935164751541,0.19482740669457838,0.18195757459672515,0.25165562913907286,0.7450980392156863,0.7244501940491591
Logistic_multi_no_coords,spatial,False,5,1,1.0,,824,50,0.18195296011998552,0.8445994832041344,0.27489602327302376,0.05051646720912491,0.0,0.0,1.0
Logistic_multi_no_coords,spatial,False,5,2,1.0,,824,52,0.19231506357535166,0.8232737146273416,0.23492161203184767,0.052870005353555884,0.0,0.0,1.0
Logistic_multi_no_coords,spatial,False,5,3,1.0,,816,48,0.2056888519306574,0.7470703125,0.13167701685126287,0.05452865330890074,0.0,0.0,1.0
Logistic_multi_no_coords,spatial,False,5,4,1.0,,816,49,0.18727750633702034,0.8188808769922572,0.23080932086694472,0.051136723228963316,0.0,0.0,1.0
Logistic_multi_no_coords,spatial,False,5,5,1.0,,824,51,0.20469640764924013,0.7693985744362427,0.20056884097115626,0.05393411506315349,0.0,0.0,1.0
Logistic_multi_no_coords,spatial,False,6,1,1.0,balanced,824,50,0.531345977794886,0.8429715762273902,0.27186930190568387,0.1780373685679361,0.2847457627118644,0.84,0.7377260981912145
Logistic_multi_no_coords,spatial,False,6,2,1.0,balanced,824,52,0.5495286121329281,0.8246811478676762,0.22683500211693058,0.185372020414486,0.2838709677419355,0.8461538461538461,0.7227979274611399
Logistic_multi_no_coords,spatial,False,6,3,1.0,balanced,816,48,0.5332815219124346,0.7591688368055556,0.13726209821065108,0.17813805430942262,0.2690909090909091,0.7708333333333334,0.7526041666666666
Logistic_multi_no_coords,spatial,False,6,4,1.0,balanced,816,49,0.5461520498920248,0.812441795492643,0.21813484154473894,0.18437785033563733,0.26936026936026936,0.8163265306122449,0.7288135593220338
Logistic_multi_no_coords,spatial,False,6,5,1.0,balanced,824,51,0.5422973022883217,0.7702102833371381,0.1938449224909594,0.18408292392968945,0.25,0.7450980392156863,0.7218628719275549
Logistic_multi_no_coords,spatial,False,7,1,10.0,,824,50,0.18139749268063465,0.8435917312661498,0.2744916804320693,0.05049558741731794,0.0,0.0,1.0
Logistic_multi_no_coords,spatial,False,7,2,10.0,,824,52,0.19210715880876356,0.8252540852929454,0.23515432153593305,0.052815715298441285,0.0,0.0,1.0
Logistic_multi_no_coords,spatial,False,7,3,10.0,,816,48,0.20633901848717798,0.7484809027777778,0.1318883748199631,0.0546385758160219,0.0,0.0,1.0
Logistic_multi_no_coords,spatial,False,7,4,10.0,,816,49,0.18714278257849062,0.8194662480376766,0.23087017304989965,0.05113737351588106,0.0,0.0,1.0
