model,split_type,use_coords,candidate,fold,classifier__C,classifier__class_weight,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
Logistic_multi_with_coords,random,True,1,1,0.01,,824,52,0.2136471035938239,0.7686578318055002,0.2370557359771932,0.056116727128964476,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,1,2,0.01,,824,52,0.21263843669462956,0.7839527700278995,0.2158826226845707,0.056140214949118424,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,1,3,0.01,,824,50,0.20962943033770773,0.7788372093023255,0.22746896974156905,0.0542021892469361,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,1,4,0.01,,816,49,0.20491689013482578,0.819413032488093,0.22354444678943886,0.053599229910597984,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,1,5,0.01,,816,48,0.20408269442066063,0.790554470486111,0.17625516772783062,0.052832734271690204,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,2,1,0.01,balanced,824,52,0.5337697053126362,0.8156137903547229,0.25974995242935434,0.1769314198617073,0.2765957446808511,0.75,0.7525906735751295
Logistic_multi_with_coords,random,True,2,2,0.01,balanced,824,52,0.5282581229667486,0.839826624153049,0.2525563037578013,0.1741491555617186,0.29285714285714287,0.7884615384615384,0.7577720207253886
Logistic_multi_with_coords,random,True,2,3,0.01,balanced,824,50,0.5586322281850351,0.8044186046511628,0.23565528677726905,0.18754122333999665,0.2689655172413793,0.78,0.7403100775193798
Logistic_multi_with_coords,random,True,2,4,0.01,balanced,816,49,0.5376325272836016,0.8399010190777746,0.21974250534952575,0.17751018647584962,0.32,0.8163265306122449,0.7900912646675359
Logistic_multi_with_coords,random,True,2,5,0.01,balanced,816,48,0.5700171750244267,0.8252495659722223,0.19585779565048683,0.19222098776509405,0.2708333333333333,0.8125,0.73828125
Logistic_multi_with_coords,random,True,3,1,0.1,,824,52,0.19300342254297861,0.8190763252291751,0.2938629387757466,0.05221284835358739,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,3,2,0.1,,824,52,0.189115629034154,0.8459794738939816,0.26550092360530525,0.05251907595107344,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,3,3,0.1,,824,50,0.19228410974687365,0.8080361757105943,0.23737139041675456,0.05088577739363841,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,3,4,0.1,,816,49,0.18535005346094247,0.8410318495064257,0.2314609750440092,0.05083694740410521,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,3,5,0.1,,816,48,0.18651297441024864,0.8305664062500001,0.200891861946304,0.050662463162195887,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,4,1,0.1,balanced,824,52,0.4886157402161652,0.8291650059784774,0.266396219176903,0.16116372733828935,0.2952029520295203,0.7692307692307693,0.7681347150259067
Logistic_multi_with_coords,random,True,4,2,0.1,balanced,824,52,0.48524555224688964,0.8614986050219211,0.2657458183935578,0.15897914353583872,0.3271375464684015,0.8461538461538461,0.7759067357512953
Logistic_multi_with_coords,random,True,4,3,0.1,balanced,824,50,0.5258324172668448,0.808888888888889,0.23121952504996784,0.17455269618750924,0.2815884476534296,0.78,0.7571059431524548
Logistic_multi_with_coords,random,True,4,4,0.1,balanced,816,49,0.4990611368947579,0.8377191815448474,0.2101053509624027,0.16394253031935882,0.2868217054263566,0.7551020408163265,0.7757496740547588
Logistic_multi_with_coords,random,True,4,5,0.1,balanced,816,48,0.5424077218606875,0.8285319010416667,0.19486661709307881,0.18023089002426373,0.27972027972027974,0.8333333333333334,0.7421875
Logistic_multi_with_coords,random,True,5,1,1.0,,824,52,0.1906686135355715,0.8230868872060582,0.2947378686887811,0.05150227685195708,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,5,2,1.0,,824,52,0.1829236894637141,0.8562425269031486,0.2676375637389107,0.05174629755398307,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,5,3,1.0,,824,50,0.19064209242708952,0.8083462532299742,0.23398950922138645,0.0504314855966671,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,5,4,1.0,,816,49,0.18161770683316938,0.8406992523215284,0.22732562563148534,0.05055435251757545,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,5,5,1.0,,816,48,0.18324310520951323,0.8332248263888888,0.2003731585178648,0.05087199186088771,0.0,0.0,0.9986979166666666
Logistic_multi_with_coords,random,True,6,1,1.0,balanced,824,52,0.4850534207979507,0.8268234356317259,0.2626599295428248,0.16099617424651672,0.29304029304029305,0.7692307692307693,0.7655440414507773
Logistic_multi_with_coords,random,True,6,2,1.0,balanced,824,52,0.48124503844613065,0.8632174172977282,0.2673011598782713,0.15836891311186688,0.32592592592592595,0.8461538461538461,0.7746113989637305
Logistic_multi_with_coords,random,True,6,3,1.0,balanced,824,50,0.5261490884090824,0.81,0.23080663022856268,0.17509420883103782,0.28776978417266186,0.8,0.7571059431524548
Logistic_multi_with_coords,random,True,6,4,1.0,balanced,816,49,0.496663060475715,0.8364952239044249,0.20741764443961652,0.16383935090466817,0.2857142857142857,0.7551020408163265,0.7744458930899609
Logistic_multi_with_coords,random,True,6,5,1.0,balanced,816,48,0.5437704572931515,0.8282877604166666,0.19376111881157876,0.18053384495384459,0.2807017543859649,0.8333333333333334,0.7434895833333334
Logistic_multi_with_coords,random,True,7,1,10.0,,824,52,0.19153418284747944,0.8223146671980869,0.2956095561995904,0.05148734658093819,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,7,2,10.0,,824,52,0.1822025224642312,0.857114388202471,0.2677875414654203,0.051691534910380976,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,7,3,10.0,,824,50,0.19145166812979017,0.808811369509044,0.23371857975754137,0.050445196577338265,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,7,4,10.0,,816,49,0.18142613319270942,0.8403134395870473,0.224740938822055,0.050607599507026306,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,7,5,10.0,,816,48,0.18298719067954614,0.8343370225694445,0.20096672898278467,0.050999574721055214,0.0,0.0,0.99609375
Logistic_multi_with_coords,random,True,8,1,10.0,balanced,824,52,0.48517311243897115,0.8263252291749701,0.26172970530184975,0.16124073077855144,0.291970802919708,0.7692307692307693,0.7642487046632125
Logistic_multi_with_coords,random,True,8,2,10.0,balanced,824,52,0.4809706952576051,0.8633917895575927,0.2676416729892185,0.15841109517467042,0.3247232472324723,0.8461538461538461,0.7733160621761658
Logistic_multi_with_coords,random,True,8,3,10.0,balanced,824,50,0.5266996071214177,0.8102583979328165,0.2312021355145637,0.17535345001526179,0.28776978417266186,0.8,0.7571059431524548
Logistic_multi_with_coords,random,True,8,4,10.0,balanced,816,49,0.49665988821275153,0.8360961072825479,0.20686693859601127,0.16395296715134977,0.27692307692307694,0.7346938775510204,0.771838331160365
Logistic_multi_with_coords,random,True,8,5,10.0,balanced,816,48,0.5442747833855978,0.8277994791666666,0.19336383427556642,0.18070060257158296,0.2787456445993031,0.8333333333333334,0.7408854166666666
