model,split_type,use_coords,candidate,fold,classifier__C,classifier__class_weight,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
Logistic_multi_with_coords,spatial,True,1,1,0.01,,824,50,0.19988673954077424,0.8439276485788114,0.3073565839010321,0.052937833341181,0.0,0.0,1.0
Logistic_multi_with_coords,spatial,True,1,2,0.01,,824,52,0.21195562733886658,0.7763302112395374,0.20146244338339195,0.05580530485588952,0.0,0.0,1.0
Logistic_multi_with_coords,spatial,True,1,3,0.01,,816,48,0.2077717851548335,0.7354329427083334,0.18234779825887065,0.05321808032871947,0.0,0.0,1.0
Logistic_multi_with_coords,spatial,True,1,4,0.01,,816,49,0.20830452283901532,0.7457627118644069,0.2120975220840083,0.05376045194482933,0.0,0.0,1.0
Logistic_multi_with_coords,spatial,True,1,5,0.01,,824,51,0.20954639997143748,0.7570707455038936,0.20191134367039115,0.05480228336290719,0.0,0.0,1.0
Logistic_multi_with_coords,spatial,True,2,1,0.01,balanced,824,50,0.5391341361404346,0.8828682170542635,0.32920431595243116,0.1778495135964739,0.30344827586206896,0.88,0.7467700258397932
Logistic_multi_with_coords,spatial,True,2,2,0.01,balanced,824,52,0.5476960087580365,0.8239836588282183,0.26520589406912914,0.18255645511249127,0.28,0.8076923076923077,0.7331606217616581
Logistic_multi_with_coords,spatial,True,2,3,0.01,balanced,816,48,0.5465538471748662,0.7655707465277778,0.17695737077262852,0.18072082703906261,0.27692307692307694,0.75,0.7708333333333334
Logistic_multi_with_coords,spatial,True,2,4,0.01,balanced,816,49,0.5431607503023379,0.8082643748503313,0.2117644971020731,0.1803474897730128,0.2535211267605634,0.7346938775510204,0.7405475880052151
Logistic_multi_with_coords,spatial,True,2,5,0.01,balanced,824,51,0.5510405489639573,0.8056464500418538,0.24094642775111985,0.18378084826390478,0.2585034013605442,0.7450980392156863,0.7347994825355757
Logistic_multi_with_coords,spatial,True,3,1,0.1,,824,50,0.17491910107360367,0.8891472868217054,0.3415665151431191,0.048703270701102315,0.0,0.0,1.0
Logistic_multi_with_coords,spatial,True,3,2,0.1,,824,52,0.19062136318846495,0.8337235950577919,0.283324341037003,0.05182731254111277,0.0,0.0,1.0
