model,split_type,use_coords,species,candidate,fold,model__C,model__class_weight,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
Logistic_single_no_coords,random,False,Cacophis kreftii,1,1,0.01,,103,3,0.1261279250750837,0.8500000000000001,0.125,0.027944345431069967,0.0,0.0,1.0
Logistic_single_no_coords,random,False,Cacophis kreftii,1,2,0.01,,103,3,0.12290356516669221,0.8933333333333333,0.15873015873015872,0.027683445483393253,0.0,0.0,1.0
Logistic_single_no_coords,random,False,Cacophis kreftii,1,3,0.01,,102,3,0.13375650333859807,0.5117845117845118,0.04234567901234568,0.02864488419490344,0.0,0.0,1.0
Logistic_single_no_coords,random,False,Cacophis kreftii,1,4,0.01,,103,4,0.15464338224493915,0.9444444444444443,0.3196428571428571,0.03671805954834298,0.0,0.0,1.0
Logistic_single_no_coords,random,False,Cacophis kreftii,1,5,0.01,,102,3,0.1263017580952458,0.8552188552188553,0.12618502778685844,0.02813669381188156,0.0,0.0,1.0
Logistic_single_no_coords,random,False,Cacophis kreftii,2,1,0.01,balanced,103,3,0.42688166613732204,0.87,0.13011063011063012,0.12649488843800716,0.2222222222222222,0.6666666666666666,0.87
Logistic_single_no_coords,random,False,Cacophis kreftii,2,2,0.01,balanced,103,3,0.5538120303043549,0.9,0.17222222222222222,0.18302588653717436,0.20689655172413793,1.0,0.77
Logistic_single_no_coords,random,False,Cacophis kreftii,2,3,0.01,balanced,102,3,0.570957080666194,0.5993265993265994,0.05961059874103353,0.19381933238799123,0.0625,0.3333333333333333,0.7171717171717171
Logistic_single_no_coords,random,False,Cacophis kreftii,2,4,0.01,balanced,103,4,0.5409170140545185,0.9267676767676768,0.28318250377073906,0.17732187376245864,0.25806451612903225,1.0,0.7676767676767676
Logistic_single_no_coords,random,False,Cacophis kreftii,2,5,0.01,balanced,102,3,0.5191745269040304,0.8821548821548821,0.1403050108932462,0.16754757627266548,0.23076923076923078,1.0,0.797979797979798
Logistic_single_no_coords,random,False,Cacophis kreftii,3,1,0.1,,103,3,0.116779925139067,0.8666666666666667,0.12813434552564987,0.027705424921571777,0.0,0.0,1.0
Logistic_single_no_coords,random,False,Cacophis kreftii,3,2,0.1,,103,3,0.10610367998790861,0.8933333333333333,0.16794871794871796,0.026503031200134152,0.0,0.0,1.0
Logistic_single_no_coords,random,False,Cacophis kreftii,3,3,0.1,,102,3,0.1411063729947963,0.5959595959595959,0.05396825396825397,0.029739169609846593,0.0,0.0,1.0
Logistic_single_no_coords,random,False,Cacophis kreftii,3,4,0.1,,103,4,0.12926412821743258,0.9292929292929293,0.32158119658119655,0.03443678670416406,0.0,0.0,1.0
Logistic_single_no_coords,random,False,Cacophis kreftii,3,5,0.1,,102,3,0.11436577300214996,0.8855218855218855,0.14387464387464388,0.02770725575773413,0.0,0.0,1.0
Logistic_single_no_coords,random,False,Cacophis kreftii,4,1,0.1,balanced,103,3,0.3050569211675678,0.89,0.14985380116959063,0.0863686168148976,0.26666666666666666,0.6666666666666666,0.9
