model,split_type,use_coords,species,candidate,fold,model__C,model__class_weight,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
Logistic_single_no_coords,spatial,False,Cacophis kreftii,1,1,0.01,,103,4,0.16067429661476393,0.6742424242424242,0.12359742747673781,0.037075413550690085,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Cacophis kreftii,1,2,0.01,,103,4,0.15976759422736492,0.6868686868686869,0.09293206793206793,0.036999940455732724,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Cacophis kreftii,1,3,0.01,,102,3,0.12202167964759199,0.9797979797979798,0.5317460317460317,0.027612219647944216,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Cacophis kreftii,1,4,0.01,,103,4,0.15518798250994081,0.8383838383838383,0.1529351395730706,0.036634545723230355,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Cacophis kreftii,1,5,0.01,,102,4,0.1551192964087439,0.836734693877551,0.2910509031198686,0.036822781349301684,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Cacophis kreftii,2,1,0.01,balanced,103,4,0.431307098867527,0.7171717171717171,0.13590480400825228,0.1268708940705165,0.3076923076923077,0.5,0.9292929292929293
Logistic_single_no_coords,spatial,False,Cacophis kreftii,2,2,0.01,balanced,103,4,0.5333013521014689,0.6792929292929293,0.09569597069597069,0.173549378863822,0.16,0.5,0.8080808080808081
Logistic_single_no_coords,spatial,False,Cacophis kreftii,2,3,0.01,balanced,102,3,0.5566515157542795,0.9831649831649831,0.5333333333333333,0.18334543075148274,0.2857142857142857,1.0,0.8484848484848485
Logistic_single_no_coords,spatial,False,Cacophis kreftii,2,4,0.01,balanced,103,4,0.5995471204747097,0.8358585858585859,0.12965034965034966,0.20412324073461807,0.23529411764705882,1.0,0.7373737373737373
Logistic_single_no_coords,spatial,False,Cacophis kreftii,2,5,0.01,balanced,102,4,0.5860329498499043,0.7933673469387754,0.23159203980099502,0.19890854526356033,0.17647058823529413,0.75,0.7244897959183674
Logistic_single_no_coords,spatial,False,Cacophis kreftii,3,1,0.1,,103,4,0.15399628148332223,0.7474747474747475,0.16194444444444445,0.036651122367825924,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Cacophis kreftii,3,2,0.1,,103,4,0.15890596428264214,0.6818181818181819,0.09729853479853479,0.03750560051354821,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Cacophis kreftii,3,3,0.1,,102,3,0.09654785426825478,0.9831649831649831,0.5333333333333333,0.02441819941034092,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Cacophis kreftii,3,4,0.1,,103,4,0.14119483248951115,0.8383838383838383,0.12969155844155844,0.03599585720941042,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Cacophis kreftii,3,5,0.1,,102,4,0.1404430827941721,0.7959183673469388,0.23516346837242358,0.0348045078070375,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Cacophis kreftii,4,1,0.1,balanced,103,4,0.33123631764576383,0.7601010101010102,0.14640151515151517,0.09223952919054346,0.18181818181818182,0.25,0.9393939393939394
Logistic_single_no_coords,spatial,False,Cacophis kreftii,4,2,0.1,balanced,103,4,0.4987305751022188,0.6919191919191919,0.09957264957264957,0.15676130525084883,0.18181818181818182,0.5,0.8383838383838383
Logistic_single_no_coords,spatial,False,Cacophis kreftii,4,3,0.1,balanced,102,3,0.5366166447059547,0.9764309764309764,0.4666666666666667,0.16975297517214674,0.2727272727272727,1.0,0.8383838383838383
Logistic_single_no_coords,spatial,False,Cacophis kreftii,4,4,0.1,balanced,103,4,0.5783725193352448,0.8333333333333334,0.12607300107300107,0.19179151881429515,0.24242424242424243,1.0,0.7474747474747475
Logistic_single_no_coords,spatial,False,Cacophis kreftii,4,5,0.1,balanced,102,4,0.5653038693547289,0.7857142857142857,0.2552521008403361,0.18851661328639055,0.1875,0.75,0.7448979591836735
Logistic_single_no_coords,spatial,False,Cacophis kreftii,5,1,1.0,,103,4,0.15335112059536646,0.7954545454545454,0.2362938596491228,0.036736868860738174,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Cacophis kreftii,5,2,1.0,,103,4,0.16740554314944475,0.6944444444444444,0.10064102564102564,0.03952800841930461,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Cacophis kreftii,5,3,1.0,,102,3,0.08812136512478666,0.9696969696969697,0.5694444444444444,0.023228860914919294,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Cacophis kreftii,5,4,1.0,,103,4,0.14150366943681633,0.8484848484848485,0.1368640417553461,0.037786677428008814,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Cacophis kreftii,5,5,1.0,,102,4,0.14197994825248395,0.778061224489796,0.23916595623756748,0.034759184224497496,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Cacophis kreftii,6,1,1.0,balanced,103,4,0.315907390440181,0.7777777777777777,0.14404761904761904,0.08891165428219182,0.16666666666666666,0.25,0.9292929292929293
Logistic_single_no_coords,spatial,False,Cacophis kreftii,6,2,1.0,balanced,103,4,0.5104300521374693,0.6944444444444444,0.1009920634920635,0.15685412454450376,0.17391304347826086,0.5,0.8282828282828283
Logistic_single_no_coords,spatial,False,Cacophis kreftii,6,3,1.0,balanced,102,3,0.558243888740028,0.9730639730639731,0.41111111111111115,0.17327630576951542,0.24,1.0,0.8080808080808081
Logistic_single_no_coords,spatial,False,Cacophis kreftii,6,4,1.0,balanced,103,4,0.5879992278650202,0.8232323232323233,0.1187528755463538,0.19324455278339653,0.2222222222222222,1.0,0.7171717171717171
Logistic_single_no_coords,spatial,False,Cacophis kreftii,6,5,1.0,balanced,102,4,0.5668788802244332,0.7882653061224489,0.2532467532467533,0.18598220523516376,0.1875,0.75,0.7448979591836735
Logistic_single_no_coords,spatial,False,Cacophis kreftii,7,1,10.0,,103,4,0.1537509243444239,0.8080808080808081,0.2401094276094276,0.03681036954420047,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Cacophis kreftii,7,2,10.0,,103,4,0.1697998068254596,0.6944444444444444,0.09973087742075083,0.04007082237354886,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Cacophis kreftii,7,3,10.0,,102,3,0.08752523057097135,0.9629629629629629,0.5444444444444444,0.023249760511680106,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Cacophis kreftii,7,4,10.0,,103,4,0.14305228033266923,0.8484848484848485,0.1368640417553461,0.0384978813271524,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Cacophis kreftii,7,5,10.0,,102,4,0.1434253680541585,0.778061224489796,0.23916595623756748,0.03495504725836938,0.0,0.0,1.0
Logistic_single_no_coords,spatial,False,Cacophis kreftii,8,1,10.0,balanced,103,4,0.314483244987589,0.7727272727272727,0.14056926679877502,0.08872780157217222,0.18181818181818182,0.25,0.9393939393939394
