model,split_type,use_coords,species,candidate,fold,model__C,model__class_weight,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
Logistic_single_with_coords,random,True,Cacophis kreftii,1,1,0.01,,103,3,0.12284125403082262,0.9166666666666667,0.19365079365079363,0.027720531533428967,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Cacophis kreftii,1,2,0.01,,103,3,0.11890885065128877,0.9166666666666667,0.18514818514818515,0.027382392564177276,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Cacophis kreftii,1,3,0.01,,102,3,0.13039025738236082,0.6767676767676768,0.06298089857411891,0.028451507420866672,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Cacophis kreftii,1,4,0.01,,103,4,0.14969334101675597,0.952020202020202,0.34656593406593406,0.036345216881565695,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Cacophis kreftii,1,5,0.01,,102,3,0.12216823378382394,0.9023569023569025,0.16933760683760685,0.02784192005377568,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Cacophis kreftii,2,1,0.01,balanced,103,3,0.37714570590411367,0.92,0.1930846930846931,0.10724627324699129,0.2857142857142857,0.6666666666666666,0.91
Logistic_single_with_coords,random,True,Cacophis kreftii,2,2,0.01,balanced,103,3,0.4690092595114498,0.91,0.17678571428571427,0.14750463118617715,0.25,1.0,0.82
Logistic_single_with_coords,random,True,Cacophis kreftii,2,3,0.01,balanced,102,3,0.5145607062858627,0.760942760942761,0.08584656084656084,0.1695368376225205,0.07692307692307693,0.3333333333333333,0.7777777777777778
Logistic_single_with_coords,random,True,Cacophis kreftii,2,4,0.01,balanced,103,4,0.4779416624085397,0.9444444444444444,0.36442307692307696,0.1518322207738075,0.32,1.0,0.8282828282828283
Logistic_single_with_coords,random,True,Cacophis kreftii,2,5,0.01,balanced,102,3,0.4399508173626044,0.9124579124579124,0.1791958041958042,0.13543023527438103,0.3,1.0,0.8585858585858586
Logistic_single_with_coords,random,True,Cacophis kreftii,3,1,0.1,,103,3,0.10650543783001638,0.92,0.1930846930846931,0.026932666474035513,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Cacophis kreftii,3,2,0.1,,103,3,0.09753402870999765,0.9133333333333333,0.18977272727272726,0.025703420442170832,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Cacophis kreftii,3,3,0.1,,102,3,0.12915091617824248,0.7710437710437711,0.10436507936507936,0.02922062049004421,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Cacophis kreftii,3,4,0.1,,103,4,0.1186675020157152,0.9368686868686869,0.37023809523809526,0.033088471216550855,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Cacophis kreftii,3,5,0.1,,102,3,0.10217391164670932,0.9191919191919191,0.19166666666666668,0.026646848116673245,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Cacophis kreftii,4,1,0.1,balanced,103,3,0.25957670456363174,0.93,0.2126022126022126,0.07571219519844617,0.3076923076923077,0.6666666666666666,0.92
Logistic_single_with_coords,random,True,Cacophis kreftii,4,2,0.1,balanced,103,3,0.38189527344557445,0.9166666666666666,0.20634920634920634,0.11880768924862481,0.2727272727272727,1.0,0.84
Logistic_single_with_coords,random,True,Cacophis kreftii,4,3,0.1,balanced,102,3,0.48619335333913566,0.8148148148148147,0.12559139784946238,0.16757182706222154,0.07407407407407407,0.3333333333333333,0.7676767676767676
Logistic_single_with_coords,random,True,Cacophis kreftii,4,4,0.1,balanced,103,4,0.40435510201639224,0.9267676767676768,0.3129444085326438,0.1304575890411526,0.2962962962962963,1.0,0.8080808080808081
Logistic_single_with_coords,random,True,Cacophis kreftii,4,5,0.1,balanced,102,3,0.3402452094966708,0.9292929292929293,0.21574074074074073,0.10416122385457466,0.3157894736842105,1.0,0.8686868686868687
Logistic_single_with_coords,random,True,Cacophis kreftii,5,1,1.0,,103,3,0.09479172436662282,0.9366666666666668,0.23164983164983166,0.02632226008276792,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Cacophis kreftii,5,2,1.0,,103,3,0.0905502495601469,0.9233333333333332,0.24707602339181284,0.02555408713885205,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Cacophis kreftii,5,3,1.0,,102,3,0.12576244834364148,0.8080808080808081,0.1661706349206349,0.029268509908267147,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Cacophis kreftii,5,4,1.0,,103,4,0.10935207989385061,0.9242424242424242,0.319047619047619,0.031958864930697266,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Cacophis kreftii,5,5,1.0,,102,3,0.0889392934665168,0.936026936026936,0.23095238095238094,0.026079055570351537,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Cacophis kreftii,6,1,1.0,balanced,103,3,0.23051441544137957,0.9400000000000001,0.2417027417027417,0.07447637463473059,0.3333333333333333,1.0,0.88
Logistic_single_with_coords,random,True,Cacophis kreftii,6,2,1.0,balanced,103,3,0.35221325965948247,0.9166666666666666,0.21453634085213033,0.10594528556940688,0.2222222222222222,0.6666666666666666,0.87
Logistic_single_with_coords,random,True,Cacophis kreftii,6,3,1.0,balanced,102,3,0.4210511148920382,0.835016835016835,0.14803312629399584,0.14898046254252736,0.14814814814814814,0.6666666666666666,0.7777777777777778
Logistic_single_with_coords,random,True,Cacophis kreftii,6,4,1.0,balanced,103,4,0.3942751617688348,0.9267676767676768,0.317241968557758,0.13016983924739314,0.2962962962962963,1.0,0.8080808080808081
Logistic_single_with_coords,random,True,Cacophis kreftii,6,5,1.0,balanced,102,3,0.2818903512037525,0.9427609427609427,0.25,0.08963930311297488,0.375,1.0,0.898989898989899
Logistic_single_with_coords,random,True,Cacophis kreftii,7,1,10.0,,103,3,0.08602924278494763,0.9400000000000001,0.2417027417027417,0.025456086938558636,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Cacophis kreftii,7,2,10.0,,103,3,0.09573791119440225,0.92,0.23120300751879697,0.027556270743686568,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Cacophis kreftii,7,3,10.0,,102,3,0.12166431618969159,0.8114478114478114,0.14047619047619048,0.028972766560819957,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Cacophis kreftii,7,4,10.0,,103,4,0.11343692880079267,0.9090909090909091,0.28295454545454546,0.03382291200991317,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Cacophis kreftii,7,5,10.0,,102,3,0.08074411736700834,0.9595959595959596,0.3194444444444444,0.02501804189504221,0.0,0.0,1.0
