model,split_type,use_coords,species,candidate,fold,model__C,model__class_weight,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
Logistic_single_with_coords,spatial,True,Cacophis kreftii,1,1,0.01,,103,4,0.1527517405714679,0.8939393939393939,0.29523809523809524,0.036491435499552846,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Cacophis kreftii,1,2,0.01,,103,4,0.15310411288307654,0.8333333333333334,0.13282428355957768,0.03648810308262121,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Cacophis kreftii,1,3,0.01,,102,3,0.11794302201003161,0.9663299663299664,0.4027777777777778,0.027160085492608156,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Cacophis kreftii,1,4,0.01,,103,4,0.1485466542896519,0.8838383838383838,0.18511904761904763,0.03607106764183352,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Cacophis kreftii,1,5,0.01,,102,4,0.14763418135580425,0.9209183673469388,0.36917989417989416,0.03614790547967395,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Cacophis kreftii,2,1,0.01,balanced,103,4,0.35207585642046774,0.9242424242424242,0.27678571428571425,0.09627848186164725,0.4,0.5,0.9595959595959596
Logistic_single_with_coords,spatial,True,Cacophis kreftii,2,2,0.01,balanced,103,4,0.46373031511478985,0.845959595959596,0.13950320512820513,0.14553771196296278,0.3,0.75,0.8686868686868687
Logistic_single_with_coords,spatial,True,Cacophis kreftii,2,3,0.01,balanced,102,3,0.5114229426812321,0.9865319865319866,0.7222222222222222,0.16513244954024592,0.24,1.0,0.8080808080808081
Logistic_single_with_coords,spatial,True,Cacophis kreftii,2,4,0.01,balanced,103,4,0.5069979122241175,0.8737373737373737,0.16249999999999998,0.16593816748550547,0.2857142857142857,1.0,0.797979797979798
Logistic_single_with_coords,spatial,True,Cacophis kreftii,2,5,0.01,balanced,102,4,0.47545615920469686,0.9056122448979591,0.2676282051282051,0.1515267029096165,0.2608695652173913,0.75,0.8367346938775511
Logistic_single_with_coords,spatial,True,Cacophis kreftii,3,1,0.1,,103,4,0.1348250738129408,0.9343434343434344,0.28799019607843135,0.03534596724680493,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Cacophis kreftii,3,2,0.1,,103,4,0.14424617781831112,0.8358585858585859,0.13229166666666667,0.03710074773477869,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Cacophis kreftii,3,3,0.1,,102,3,0.09269687052440613,0.98989898989899,0.6388888888888888,0.023776593166138497,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Cacophis kreftii,3,4,0.1,,103,4,0.1280934393553273,0.8661616161616161,0.15178571428571427,0.034930246241918,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Cacophis kreftii,3,5,0.1,,102,4,0.12733073092734018,0.9005102040816326,0.40249999999999997,0.03379128282244495,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Cacophis kreftii,4,1,0.1,balanced,103,4,0.23593054320589596,0.9292929292929293,0.2640151515151515,0.06702585673049782,0.3076923076923077,0.5,0.9292929292929293
Logistic_single_with_coords,spatial,True,Cacophis kreftii,4,2,0.1,balanced,103,4,0.4021330647064739,0.8434343434343434,0.13515338827838827,0.12968958979802342,0.2727272727272727,0.75,0.8484848484848485
Logistic_single_with_coords,spatial,True,Cacophis kreftii,4,3,0.1,balanced,102,3,0.4474908528502824,1.0,1.0,0.1461368082117791,0.2222222222222222,1.0,0.7878787878787878
Logistic_single_with_coords,spatial,True,Cacophis kreftii,4,4,0.1,balanced,103,4,0.46510245130281164,0.8686868686868686,0.15341251885369533,0.15728266138295996,0.25806451612903225,1.0,0.7676767676767676
Logistic_single_with_coords,spatial,True,Cacophis kreftii,4,5,0.1,balanced,102,4,0.40978635483107373,0.8954081632653061,0.3907004830917874,0.13375432275073726,0.24,0.75,0.8163265306122449
Logistic_single_with_coords,spatial,True,Cacophis kreftii,5,1,1.0,,103,4,0.12701126514844507,0.9343434343434344,0.2733516483516484,0.03557398854933507,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Cacophis kreftii,5,2,1.0,,103,4,0.14201501860648133,0.8383838383838383,0.13026182695300342,0.039076462836970825,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Cacophis kreftii,5,3,1.0,,102,3,0.08325585162490913,0.9966329966329966,0.9166666666666665,0.022554348065975078,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Cacophis kreftii,5,4,1.0,,103,4,0.11747343810556088,0.888888888888889,0.17596153846153845,0.03464266537502691,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Cacophis kreftii,5,5,1.0,,102,4,0.12822277254201672,0.8775510204081632,0.3679352226720648,0.0352599226277622,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Cacophis kreftii,6,1,1.0,balanced,103,4,0.20697968700658548,0.9191919191919192,0.22513736263736261,0.06747436252731288,0.26666666666666666,0.5,0.9090909090909091
Logistic_single_with_coords,spatial,True,Cacophis kreftii,6,2,1.0,balanced,103,4,0.39032754024572824,0.8383838383838385,0.1278617216117216,0.13484545356817237,0.2222222222222222,0.75,0.797979797979798
Logistic_single_with_coords,spatial,True,Cacophis kreftii,6,3,1.0,balanced,102,3,0.3963669442616449,0.9966329966329966,0.9166666666666665,0.13876798034005586,0.2222222222222222,1.0,0.7878787878787878
Logistic_single_with_coords,spatial,True,Cacophis kreftii,6,4,1.0,balanced,103,4,0.44282467560035577,0.9116161616161615,0.21265540015540016,0.15456109990590425,0.25806451612903225,1.0,0.7676767676767676
Logistic_single_with_coords,spatial,True,Cacophis kreftii,6,5,1.0,balanced,102,4,0.3882478297439761,0.8877551020408164,0.3755542702911124,0.1337950533556664,0.32,1.0,0.826530612244898
