model,split_type,use_coords,species,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
Logistic_single_with_coords,spatial,True,Cacophis kreftii,128,1,0.060719125809708806,1.0,1.0,0.008613625778376023,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Calyptotis scutirostrum,128,13,0.2938388379733693,0.7545150501672241,0.3922263892025165,0.0848543008578225,0.26666666666666666,0.15384615384615385,1.0
Logistic_single_with_coords,spatial,True,Coeranoscincus reticulatus,128,40,0.5751667191235708,0.7869318181818182,0.5755324763036525,0.20246906260456257,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Egernia mcpheei,128,6,0.20251728771925376,0.6188524590163934,0.09747369033083318,0.04519847915107419,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Eulamprus murrayi,128,0,0.005868783286266347,,,3.4298838169846737e-05,0.0,,1.0
Logistic_single_with_coords,spatial,True,Ophioscincus truncatus,128,13,0.31025876918464423,0.8829431438127091,0.5779779360424522,0.08343666650106529,0.3333333333333333,0.23076923076923078,0.9826086956521739
Logistic_single_with_coords,spatial,True,Pseudechis porphyricaus,128,2,0.0725443213124107,0.7301587301587301,0.08705357142857142,0.015006416572561737,0.0,0.0,1.0
Logistic_single_with_coords,spatial,True,Saltuarius swaini,128,0,0.014014812608100575,,,0.0002520710118274563,0.0,,1.0
Logistic_multi_with_coords,spatial,True,Cacophis kreftii,128,1,0.07388887953094278,1.0,1.0,0.009726824930623077,0.0,0.0,1.0
Logistic_multi_with_coords,spatial,True,Calyptotis scutirostrum,128,13,0.3008451359105231,0.7304347826086957,0.3788390254420755,0.08586282711256138,0.0,0.0,1.0
Logistic_multi_with_coords,spatial,True,Coeranoscincus reticulatus,128,40,0.6359539230208341,0.6389204545454545,0.41690595325209956,0.22186904953927167,0.0,0.0,1.0
Logistic_multi_with_coords,spatial,True,Egernia mcpheei,128,6,0.1887560898845967,0.73224043715847,0.24022951574003554,0.044641151799990876,0.0,0.0,1.0
Logistic_multi_with_coords,spatial,True,Eulamprus murrayi,128,0,0.012503329234617156,,,0.00018778807794070552,0.0,,1.0
Logistic_multi_with_coords,spatial,True,Ophioscincus truncatus,128,13,0.39479164753150575,0.7785953177257524,0.23637747749818228,0.11541091328212275,0.0,0.0,1.0
Logistic_multi_with_coords,spatial,True,Pseudechis porphyricaus,128,2,0.09229965934153064,0.3253968253968254,0.016870748299319727,0.01630909148369439,0.0,0.0,1.0
Logistic_multi_with_coords,spatial,True,Saltuarius swaini,128,0,0.026608707779360734,,,0.0008319712451119293,0.0,,1.0
Logistic_multi_interactions_with_coords,spatial,True,Cacophis kreftii,128,1,0.08433559338790603,0.8740157480314961,0.058823529411764705,0.012967669628220622,0.0,0.0,1.0
Logistic_multi_interactions_with_coords,spatial,True,Calyptotis scutirostrum,128,13,0.2926434609889021,0.7565217391304349,0.3951301191000114,0.08444321537914862,0.26666666666666666,0.15384615384615385,1.0
Logistic_multi_interactions_with_coords,spatial,True,Coeranoscincus reticulatus,128,40,0.5307427291097357,0.8017045454545454,0.6141059709042943,0.1860052102344241,0.13636363636363635,0.075,0.9886363636363636
Logistic_multi_interactions_with_coords,spatial,True,Egernia mcpheei,128,6,0.20978700171679332,0.6215846994535519,0.10116454930429522,0.046838862208783985,0.0,0.0,1.0
Logistic_multi_interactions_with_coords,spatial,True,Eulamprus murrayi,128,0,0.012762200874564655,,,0.0002636363577753964,0.0,,1.0
Logistic_multi_interactions_with_coords,spatial,True,Ophioscincus truncatus,128,13,0.30793971487109034,0.8702341137123746,0.5303651139683527,0.08412818478987856,0.3157894736842105,0.23076923076923078,0.9739130434782609
Logistic_multi_interactions_with_coords,spatial,True,Pseudechis porphyricaus,128,2,0.07362363918476283,0.7023809523809523,0.08551307847082494,0.015184898715799214,0.0,0.0,1.0
Logistic_multi_interactions_with_coords,spatial,True,Saltuarius swaini,128,0,0.012990291132849805,,,0.0003528689378127932,0.0,,1.0
Logistic_single_with_coords,random,True,Cacophis kreftii,128,4,0.11122756142962884,0.8669354838709677,0.2075268817204301,0.029254785810321808,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Calyptotis scutirostrum,128,16,0.22788097977413374,0.9235491071428571,0.5642955595454847,0.07742612331989789,0.2857142857142857,0.1875,0.9821428571428571
Logistic_single_with_coords,random,True,Coeranoscincus reticulatus,128,20,0.36416789152210416,0.7944444444444444,0.3447186941703743,0.1177397051522596,0.23076923076923078,0.15,0.9722222222222222
Logistic_single_with_coords,random,True,Egernia mcpheei,128,3,0.09093219795169721,0.9093333333333333,0.3303030303030303,0.021618737609410275,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Eulamprus murrayi,128,1,0.05244109340810136,0.023622047244094446,0.008,0.007798334998527721,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Ophioscincus truncatus,128,26,0.4364941222739569,0.7692307692307693,0.5365287215356648,0.13859674384684506,0.07142857142857142,0.038461538461538464,0.9901960784313726
Logistic_single_with_coords,random,True,Pseudechis porphyricaus,128,3,0.18009061449899572,0.3893333333333333,0.024436112079990698,0.026959561494488866,0.0,0.0,1.0
Logistic_single_with_coords,random,True,Saltuarius swaini,128,1,0.046504125067965446,0.8582677165354331,0.05263157894736842,0.007767666818277629,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,Cacophis kreftii,128,4,0.11656053417296605,0.8608870967741936,0.42205882352941176,0.02824572124203748,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,Calyptotis scutirostrum,128,16,0.3146184879734779,0.8950892857142857,0.6063509143494796,0.09847064014151893,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,Coeranoscincus reticulatus,128,20,0.41530942769761364,0.650462962962963,0.21844445932761453,0.13022308706182284,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,Egernia mcpheei,128,3,0.09039326701548007,0.928,0.37037037037037035,0.021665272950320877,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,Eulamprus murrayi,128,1,0.055848403242774194,0.07874015748031493,0.00847457627118644,0.007862346473282574,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,Ophioscincus truncatus,128,26,0.4577144290868599,0.7285067873303168,0.368604577249592,0.1475626003716356,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,Pseudechis porphyricaus,128,3,0.13633113698097515,0.15466666666666667,0.018007113659287574,0.023877273122045364,0.0,0.0,1.0
Logistic_multi_with_coords,random,True,Saltuarius swaini,128,1,0.05873806516274791,0.08661417322834641,0.008547008547008548,0.008160491961816466,0.0,0.0,1.0
Logistic_multi_interactions_with_coords,random,True,Cacophis kreftii,128,4,0.11846259497244324,0.844758064516129,0.17083793399582872,0.029200021655639324,0.0,0.0,1.0
Logistic_multi_interactions_with_coords,random,True,Calyptotis scutirostrum,128,16,0.2311113942234237,0.9291294642857143,0.5385558400953622,0.07837483934960357,0.2,0.125,0.9821428571428571
Logistic_multi_interactions_with_coords,random,True,Coeranoscincus reticulatus,128,20,0.3643459670939256,0.7912037037037036,0.3468889576531246,0.11811968564135646,0.23076923076923078,0.15,0.9722222222222222
Logistic_multi_interactions_with_coords,random,True,Egernia mcpheei,128,3,0.08711311128220582,0.8346666666666667,0.2944444444444444,0.02047120214866062,0.0,0.0,1.0
Logistic_multi_interactions_with_coords,random,True,Eulamprus murrayi,128,1,0.06948360451397934,0.007874015748031482,0.007874015748031496,0.007884975006775628,0.0,0.0,1.0
Logistic_multi_interactions_with_coords,random,True,Ophioscincus truncatus,128,26,0.43320240933801746,0.7643288084464556,0.5211354973880515,0.13703527848266525,0.07142857142857142,0.038461538461538464,0.9901960784313726
Logistic_multi_interactions_with_coords,random,True,Pseudechis porphyricaus,128,3,0.14637309454403113,0.3306666666666666,0.022535575904327414,0.02489712544733139,0.0,0.0,1.0
Logistic_multi_interactions_with_coords,random,True,Saltuarius swaini,128,1,0.04137803374030203,0.8346456692913385,0.045454545454545456,0.007699541649622548,0.0,0.0,1.0
