model,species,split_type,n_test_plots,k_neighbours,permutations,morans_i,permutation_p
MLP_multi_no_coords,Cacophis kreftii,random,128,8,999,0.07755107880025337,0.027
MLP_multi_no_coords,Cacophis kreftii,spatial,128,8,999,0.25418917085675086,0.001
MLP_multi_no_coords,Calyptotis scutirostrum,random,128,8,999,0.055261199750584335,0.174
MLP_multi_no_coords,Calyptotis scutirostrum,spatial,128,8,999,0.21210547859746617,0.001
MLP_multi_no_coords,Coeranoscincus reticulatus,random,128,8,999,0.09728957016893494,0.01
MLP_multi_no_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.3223878598892786,0.001
MLP_multi_no_coords,Egernia mcpheei,random,128,8,999,-0.0025302971066061314,0.966
MLP_multi_no_coords,Egernia mcpheei,spatial,128,8,999,0.01568112460181071,0.687
MLP_multi_no_coords,Eulamprus murrayi,random,128,8,999,0.002235040660743509,0.879
MLP_multi_no_coords,Eulamprus murrayi,spatial,128,8,999,0.4660897169511897,0.001
MLP_multi_no_coords,Ophioscincus truncatus,random,128,8,999,0.1252413007894063,0.004
MLP_multi_no_coords,Ophioscincus truncatus,spatial,128,8,999,0.0960001547411769,0.016
MLP_multi_no_coords,Pseudechis porphyricaus,random,128,8,999,-0.012582752907996455,0.86
MLP_multi_no_coords,Pseudechis porphyricaus,spatial,128,8,999,-0.001030349939422569,0.966
MLP_multi_no_coords,Saltuarius swaini,random,128,8,999,-0.0009177776690510168,0.943
MLP_multi_no_coords,Saltuarius swaini,spatial,128,8,999,0.515450926530367,0.001
MLP_multi_with_coords,Cacophis kreftii,random,128,8,999,0.047298502177640825,0.168
MLP_multi_with_coords,Cacophis kreftii,spatial,128,8,999,0.3567789946212183,0.001
MLP_multi_with_coords,Calyptotis scutirostrum,random,128,8,999,-0.017480958040526105,0.679
MLP_multi_with_coords,Calyptotis scutirostrum,spatial,128,8,999,0.16784158743905814,0.003
MLP_multi_with_coords,Coeranoscincus reticulatus,random,128,8,999,0.1356566805198825,0.004
MLP_multi_with_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.3141572918625753,0.001
MLP_multi_with_coords,Egernia mcpheei,random,128,8,999,0.01685039883812655,0.681
MLP_multi_with_coords,Egernia mcpheei,spatial,128,8,999,0.027113630577474235,0.501
MLP_multi_with_coords,Eulamprus murrayi,random,128,8,999,0.003418212638664645,0.8
MLP_multi_with_coords,Eulamprus murrayi,spatial,128,8,999,0.3691161926491888,0.001
MLP_multi_with_coords,Ophioscincus truncatus,random,128,8,999,0.07555279087085216,0.057
MLP_multi_with_coords,Ophioscincus truncatus,spatial,128,8,999,0.07326663884484322,0.063
MLP_multi_with_coords,Pseudechis porphyricaus,random,128,8,999,0.007744476058739051,0.913
MLP_multi_with_coords,Pseudechis porphyricaus,spatial,128,8,999,0.005713691758350805,0.795
MLP_multi_with_coords,Saltuarius swaini,random,128,8,999,-0.0012310333183981495,0.887
MLP_multi_with_coords,Saltuarius swaini,spatial,128,8,999,0.5831681404345579,0.001
MLP_single_no_coords,Cacophis kreftii,random,128,8,999,-0.03766046297710159,0.32
MLP_single_no_coords,Cacophis kreftii,spatial,128,8,999,0.4424578364053843,0.001
MLP_single_no_coords,Calyptotis scutirostrum,random,128,8,999,0.007368635858620677,0.846
MLP_single_no_coords,Calyptotis scutirostrum,spatial,128,8,999,0.13110114931251995,0.005
MLP_single_no_coords,Coeranoscincus reticulatus,random,128,8,999,0.06974465771463423,0.076
MLP_single_no_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.2248107874415201,0.001
MLP_single_no_coords,Egernia mcpheei,random,128,8,999,-0.027502700432233254,0.409
MLP_single_no_coords,Egernia mcpheei,spatial,128,8,999,-0.01054470936510069,0.759
MLP_single_no_coords,Eulamprus murrayi,random,128,8,999,-0.000843312898527795,0.932
MLP_single_no_coords,Eulamprus murrayi,spatial,128,8,999,0.43241496557323167,0.001
MLP_single_no_coords,Ophioscincus truncatus,random,128,8,999,0.07640684351913304,0.057
MLP_single_no_coords,Ophioscincus truncatus,spatial,128,8,999,0.082377565537228,0.031
MLP_single_no_coords,Pseudechis porphyricaus,random,128,8,999,0.003471382640765692,0.9
MLP_single_no_coords,Pseudechis porphyricaus,spatial,128,8,999,-0.015931315861924318,0.497
MLP_single_no_coords,Saltuarius swaini,random,128,8,999,-0.0028845272196826215,0.804
MLP_single_no_coords,Saltuarius swaini,spatial,128,8,999,0.5225005553174954,0.001
MLP_single_with_coords,Cacophis kreftii,random,128,8,999,0.010632151493892687,0.765
MLP_single_with_coords,Cacophis kreftii,spatial,128,8,999,0.22735569788386198,0.001
MLP_single_with_coords,Calyptotis scutirostrum,random,128,8,999,-0.046644573328669364,0.258
MLP_single_with_coords,Calyptotis scutirostrum,spatial,128,8,999,0.21178169715380574,0.001
MLP_single_with_coords,Coeranoscincus reticulatus,random,128,8,999,-0.013711050282433461,0.74
MLP_single_with_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.32659141706021455,0.001
MLP_single_with_coords,Egernia mcpheei,random,128,8,999,0.026423035142204464,0.472
MLP_single_with_coords,Egernia mcpheei,spatial,128,8,999,-0.0016017211714397612,0.959
MLP_single_with_coords,Eulamprus murrayi,random,128,8,999,-9.426247799448433e-05,0.998
MLP_single_with_coords,Eulamprus murrayi,spatial,128,8,999,0.4282544690621192,0.001
MLP_single_with_coords,Ophioscincus truncatus,random,128,8,999,0.005875702177797525,0.887
MLP_single_with_coords,Ophioscincus truncatus,spatial,128,8,999,0.07190118906315121,0.066
MLP_single_with_coords,Pseudechis porphyricaus,random,128,8,999,0.006813738240435738,0.824
MLP_single_with_coords,Pseudechis porphyricaus,spatial,128,8,999,-0.019639013151867484,0.347
MLP_single_with_coords,Saltuarius swaini,random,128,8,999,-0.041436364092140805,0.041
MLP_single_with_coords,Saltuarius swaini,spatial,128,8,999,0.9198970659644817,0.001
