split_type,test_plot,nearest_train_plot,distance_coordinate_units,distance_km
spatial,106,101.0,450.99953396976105,0.45099953396976106
spatial,111,104.0,635.8275884680809,0.6358275884680809
spatial,122,108.0,1705.4044196207713,1.7054044196207712
spatial,125,120.0,635.5451651215651,0.6355451651215651
spatial,126,108.0,2419.267368260927,2.419267368260927
spatial,127,121.0,825.1202861482491,0.8251202861482491
spatial,128,118.0,1228.9289596502872,1.2289289596502873
spatial,130,121.0,1650.2352443758127,1.6502352443758128
spatial,132,112.0,3295.780329822884,3.2957803298228843
spatial,134,118.0,2488.4033508112066,2.4884033508112067
spatial,135,107.0,10686.38932245463,10.68638932245463
spatial,136,107.0,9157.244968119065,9.157244968119064
spatial,137,107.0,11606.988495291236,11.606988495291237
spatial,138,131.0,3121.1025525292894,3.1211025525292895
spatial,139,107.0,11753.331543392758,11.753331543392758
spatial,140,107.0,12473.817187635643,12.473817187635643
spatial,141,107.0,12647.186599460048,12.64718659946005
spatial,142,107.0,13427.967807563351,13.42796780756335
spatial,143,107.0,13773.137000056666,13.773137000056666
spatial,144,131.0,4254.520481193926,4.254520481193926
spatial,145,107.0,14052.648774019986,14.052648774019987
spatial,146,131.0,4463.813531165384,4.463813531165384
spatial,147,107.0,13476.4590556682,13.4764590556682
spatial,148,107.0,13255.66938369974,13.25566938369974
spatial,149,107.0,14087.906980557666,14.087906980557666
spatial,150,131.0,5014.0134777322355,5.014013477732235
spatial,151,131.0,5239.233050697059,5.2392330506970595
spatial,152,131.0,5638.4685920058455,5.638468592005846
spatial,153,107.0,16374.598378926268,16.37459837892627
spatial,154,107.0,16344.999776396779,16.34499977639678
spatial,155,107.0,14629.026454474078,14.62902645447408
spatial,156,107.0,16272.73095357038,16.27273095357038
spatial,157,107.0,16247.700592262321,16.247700592262323
spatial,158,107.0,16398.993946785773,16.398993946785772
spatial,159,107.0,16376.606976236824,16.376606976236825
spatial,160,107.0,16526.71739778606,16.526717397786058
spatial,161,107.0,16925.685243829757,16.925685243829758
spatial,162,107.0,16899.074453133595,16.899074453133593
spatial,163,123.0,12457.338464573484,12.457338464573484
spatial,164,131.0,11780.104250589266,11.780104250589266
spatial,165,123.0,14355.778428363014,14.355778428363013
spatial,166,123.0,14976.438987730276,14.976438987730276
spatial,167,123.0,15289.042253161255,15.289042253161254
spatial,168,121.0,15978.521063125587,15.978521063125587
spatial,169,118.0,16500.768910506067,16.500768910506068
spatial,170,118.0,17493.454891028316,17.493454891028314
spatial,171,131.0,22798.502877109557,22.798502877109556
spatial,172,103.0,25631.624159394527,25.631624159394526
spatial,173,131.0,23432.615491501856,23.432615491501856
spatial,174,104.0,26357.244526850067,26.357244526850067
spatial,175,131.0,24450.223489364795,24.450223489364795
spatial,176,103.0,26937.584029048052,26.93758402904805
spatial,177,131.0,25218.732160678956,25.218732160678954
spatial,178,103.0,31304.48603380868,31.30448603380868
spatial,179,103.0,33414.75379465338,33.41475379465338
spatial,180,131.0,28503.198175379795,28.503198175379797
spatial,181,131.0,28555.86926644073,28.55586926644073
spatial,182,103.0,33530.82333969207,33.53082333969207
spatial,183,131.0,29720.153635844104,29.720153635844106
spatial,184,131.0,29895.96357189553,29.89596357189553
