model,species,split_type,n_test_plots,k_neighbours,permutations,morans_i,permutation_p
MLP_multi_no_coords,Cacophis kreftii,random,128,8,999,0.07755107880025337,0.027
MLP_multi_no_coords,Cacophis kreftii,spatial,128,8,999,0.25418917085675086,0.001
MLP_multi_no_coords,Calyptotis scutirostrum,random,128,8,999,0.055261199750584335,0.174
MLP_multi_no_coords,Calyptotis scutirostrum,spatial,128,8,999,0.21210547859746617,0.001
MLP_multi_no_coords,Coeranoscincus reticulatus,random,128,8,999,0.09728957016893494,0.01
MLP_multi_no_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.3223878598892786,0.001
MLP_multi_no_coords,Egernia mcpheei,random,128,8,999,-0.0025302971066061314,0.966
MLP_multi_no_coords,Egernia mcpheei,spatial,128,8,999,0.01568112460181071,0.687
MLP_multi_no_coords,Eulamprus murrayi,random,128,8,999,0.002235040660743509,0.879
MLP_multi_no_coords,Eulamprus murrayi,spatial,128,8,999,0.4660897169511897,0.001
MLP_multi_no_coords,Ophioscincus truncatus,random,128,8,999,0.1252413007894063,0.004
MLP_multi_no_coords,Ophioscincus truncatus,spatial,128,8,999,0.0960001547411769,0.016
MLP_multi_no_coords,Pseudechis porphyricaus,random,128,8,999,-0.012582752907996455,0.86
MLP_multi_no_coords,Pseudechis porphyricaus,spatial,128,8,999,-0.001030349939422569,0.966
MLP_multi_no_coords,Saltuarius swaini,random,128,8,999,-0.0009177776690510168,0.943
MLP_multi_no_coords,Saltuarius swaini,spatial,128,8,999,0.515450926530367,0.001
MLP_single_no_coords,Cacophis kreftii,random,128,8,999,-0.03766046297710159,0.307
MLP_single_no_coords,Cacophis kreftii,spatial,128,8,999,0.4424578364053843,0.001
MLP_single_no_coords,Calyptotis scutirostrum,random,128,8,999,0.007368635858620677,0.829
MLP_single_no_coords,Calyptotis scutirostrum,spatial,128,8,999,0.13110114931251995,0.005
MLP_single_no_coords,Coeranoscincus reticulatus,random,128,8,999,0.06974465771463423,0.075
MLP_single_no_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.2248107874415201,0.001
MLP_single_no_coords,Egernia mcpheei,random,128,8,999,-0.027502700432233254,0.392
MLP_single_no_coords,Egernia mcpheei,spatial,128,8,999,-0.01054470936510069,0.755
MLP_single_no_coords,Eulamprus murrayi,random,128,8,999,-0.000843312898527795,0.93
MLP_single_no_coords,Eulamprus murrayi,spatial,128,8,999,0.43241496557323167,0.001
MLP_single_no_coords,Ophioscincus truncatus,random,128,8,999,0.07640684351913304,0.06
MLP_single_no_coords,Ophioscincus truncatus,spatial,128,8,999,0.082377565537228,0.029
MLP_single_no_coords,Pseudechis porphyricaus,random,128,8,999,0.003471382640765692,0.886
MLP_single_no_coords,Pseudechis porphyricaus,spatial,128,8,999,-0.015931315861924318,0.508
MLP_single_no_coords,Saltuarius swaini,random,128,8,999,-0.0028845272196826215,0.796
MLP_single_no_coords,Saltuarius swaini,spatial,128,8,999,0.5225005553174954,0.001
