model,species,split_type,n_test_plots,k_neighbours,permutations,morans_i,permutation_p
MLP_multi_with_coords,Cacophis kreftii,random,128,8,999,0.047298502177640825,0.143
MLP_multi_with_coords,Cacophis kreftii,spatial,128,8,999,0.3567789946212183,0.001
MLP_multi_with_coords,Calyptotis scutirostrum,random,128,8,999,-0.017480958040526105,0.686
MLP_multi_with_coords,Calyptotis scutirostrum,spatial,128,8,999,0.16784158743905814,0.001
MLP_multi_with_coords,Coeranoscincus reticulatus,random,128,8,999,0.1356566805198825,0.001
MLP_multi_with_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.3141572918625753,0.001
MLP_multi_with_coords,Egernia mcpheei,random,128,8,999,0.01685039883812655,0.689
MLP_multi_with_coords,Egernia mcpheei,spatial,128,8,999,0.027113630577474235,0.507
MLP_multi_with_coords,Eulamprus murrayi,random,128,8,999,0.003418212638664645,0.807
MLP_multi_with_coords,Eulamprus murrayi,spatial,128,8,999,0.3691161926491888,0.001
MLP_multi_with_coords,Ophioscincus truncatus,random,128,8,999,0.07555279087085216,0.058
MLP_multi_with_coords,Ophioscincus truncatus,spatial,128,8,999,0.07326663884484322,0.047
MLP_multi_with_coords,Pseudechis porphyricaus,random,128,8,999,0.007744476058739051,0.902
MLP_multi_with_coords,Pseudechis porphyricaus,spatial,128,8,999,0.005713691758350805,0.794
MLP_multi_with_coords,Saltuarius swaini,random,128,8,999,-0.0012310333183981495,0.883
MLP_multi_with_coords,Saltuarius swaini,spatial,128,8,999,0.5831681404345579,0.001
MLP_single_with_coords,Cacophis kreftii,random,128,8,999,0.010632151493892687,0.764
MLP_single_with_coords,Cacophis kreftii,spatial,128,8,999,0.22735569788386198,0.001
MLP_single_with_coords,Calyptotis scutirostrum,random,128,8,999,-0.046644573328669364,0.249
MLP_single_with_coords,Calyptotis scutirostrum,spatial,128,8,999,0.21178169715380574,0.001
MLP_single_with_coords,Coeranoscincus reticulatus,random,128,8,999,-0.013711050282433461,0.747
MLP_single_with_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.32659141706021455,0.001
MLP_single_with_coords,Egernia mcpheei,random,128,8,999,0.026423035142204464,0.451
MLP_single_with_coords,Egernia mcpheei,spatial,128,8,999,-0.0016017211714397612,0.959
MLP_single_with_coords,Eulamprus murrayi,random,128,8,999,-9.426247799448433e-05,0.996
MLP_single_with_coords,Eulamprus murrayi,spatial,128,8,999,0.4282544690621192,0.001
MLP_single_with_coords,Ophioscincus truncatus,random,128,8,999,0.005875702177797525,0.894
MLP_single_with_coords,Ophioscincus truncatus,spatial,128,8,999,0.07190118906315121,0.062
MLP_single_with_coords,Pseudechis porphyricaus,random,128,8,999,0.006813738240435738,0.769
MLP_single_with_coords,Pseudechis porphyricaus,spatial,128,8,999,-0.019639013151867484,0.337
MLP_single_with_coords,Saltuarius swaini,random,128,8,999,-0.041436364092140805,0.035
MLP_single_with_coords,Saltuarius swaini,spatial,128,8,999,0.9198970659644817,0.001
