model,split_type,use_coords,candidate,fold,classifier__alpha,classifier__hidden_layer_sizes,classifier__learning_rate_init,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_multi_interactions_no_coords,random,False,1,1,0.0001,"(8,)",0.01,824,51,0.23296168380392462,0.8767724424828146,0.3708106605135718,0.05234115761575019,0.39080459770114945,0.3333333333333333,0.9754204398447607
MLP_multi_interactions_no_coords,random,False,1,2,0.0001,"(8,)",0.01,824,51,0.26828384968879637,0.8431372549019608,0.2941370326920523,0.05632593680060514,0.27848101265822783,0.21568627450980393,0.9780077619663649
MLP_multi_interactions_no_coords,random,False,1,3,0.0001,"(8,)",0.01,824,53,0.20997577268185877,0.8948315101681228,0.45531569282339895,0.046339133764070645,0.32432432432432434,0.22641509433962265,0.9883268482490273
MLP_multi_interactions_no_coords,random,False,1,4,0.0001,"(8,)",0.01,816,48,0.225798005082622,0.8935411241319444,0.32575113503555037,0.052315882654204844,0.3488372093023256,0.3125,0.9700520833333334
MLP_multi_interactions_no_coords,random,False,1,5,0.0001,"(8,)",0.01,816,48,0.2096188100969108,0.8824055989583333,0.3520314451270112,0.048013832850441904,0.32432432432432434,0.25,0.9817708333333334
MLP_multi_interactions_no_coords,random,False,2,1,0.0001,"(8,)",0.001,824,51,0.2070656278085235,0.8731958501382442,0.3589892553195664,0.05189427507597032,0.38095238095238093,0.3137254901960784,0.9780077619663649
MLP_multi_interactions_no_coords,random,False,2,2,0.0001,"(8,)",0.001,824,51,0.21089078335602024,0.8626055855718742,0.32345436982955944,0.05047576075697713,0.26666666666666666,0.19607843137254902,0.981888745148771
MLP_multi_interactions_no_coords,random,False,2,3,0.0001,"(8,)",0.001,824,53,0.16323822468162252,0.907030810268458,0.42391134931992525,0.0464947589348716,0.28169014084507044,0.18867924528301888,0.9896238651102465
MLP_multi_interactions_no_coords,random,False,2,4,0.0001,"(8,)",0.001,816,48,0.1643690208753296,0.9027642144097222,0.40216975429570395,0.045218042439390024,0.3953488372093023,0.3541666666666667,0.97265625
MLP_multi_interactions_no_coords,random,False,2,5,0.0001,"(8,)",0.001,816,48,0.17842241563863176,0.890964084201389,0.3533817186030077,0.04936624766580062,0.25,0.20833333333333334,0.9713541666666666
MLP_multi_interactions_no_coords,random,False,3,1,0.0001,"(16,)",0.01,824,51,0.3092554652231778,0.8552241077543565,0.321948668382415,0.06048789493521141,0.4117647058823529,0.4117647058823529,0.9611901681759379
MLP_multi_interactions_no_coords,random,False,3,2,0.0001,"(16,)",0.01,824,51,0.27970391775882586,0.8444816477690689,0.3278854495852218,0.05513991438254784,0.34146341463414637,0.27450980392156865,0.9780077619663649
