model,split_type,use_coords,candidate,fold,classifier__alpha,classifier__hidden_layer_sizes,classifier__learning_rate_init,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_multi_interactions_no_coords,spatial,False,1,1,0.0001,"(8,)",0.01,824,48,0.2554044227798167,0.8493610395189004,0.3327905707092123,0.05251665058781388,0.35,0.2916666666666667,0.9768041237113402
MLP_multi_interactions_no_coords,spatial,False,1,2,0.0001,"(8,)",0.01,824,49,0.2322324818169262,0.8731665569453588,0.3595682546012424,0.051890489365136114,0.32558139534883723,0.2857142857142857,0.9703225806451613
MLP_multi_interactions_no_coords,spatial,False,1,3,0.0001,"(8,)",0.01,816,53,0.22632898554777509,0.880771037859492,0.44500943332512405,0.04756952799991211,0.37333333333333335,0.2641509433962264,0.9895150720838795
MLP_multi_interactions_no_coords,spatial,False,1,4,0.0001,"(8,)",0.01,816,45,0.20804533937970449,0.8670125378296585,0.3436165409484147,0.05190035216574046,0.34146341463414637,0.3111111111111111,0.9701686121919585
MLP_multi_interactions_no_coords,spatial,False,1,5,0.0001,"(8,)",0.01,824,55,0.26801575810409844,0.8533987468967963,0.34985223560669765,0.05989393770875533,0.29213483146067415,0.23636363636363636,0.9726918075422627
MLP_multi_interactions_no_coords,spatial,False,2,1,0.0001,"(8,)",0.001,824,48,0.19339021234404588,0.8588783290378007,0.3656632535953502,0.04766338777461796,0.3561643835616438,0.2708333333333333,0.9845360824742269
MLP_multi_interactions_no_coords,spatial,False,2,2,0.0001,"(8,)",0.001,824,49,0.18367225593439881,0.8768005266622777,0.3929670729362549,0.045552102497668945,0.35443037974683544,0.2857142857142857,0.9793548387096774
MLP_multi_interactions_no_coords,spatial,False,2,3,0.0001,"(8,)",0.001,816,53,0.1709826114802426,0.9066989787086723,0.47733022987219925,0.04435591304825929,0.3380281690140845,0.22641509433962265,0.9921363040629095
MLP_multi_interactions_no_coords,spatial,False,2,4,0.0001,"(8,)",0.001,816,45,0.1762145878806739,0.8812220781092377,0.3651007685110134,0.047059929544486026,0.3466666666666667,0.28888888888888886,0.9779507133592736
MLP_multi_interactions_no_coords,spatial,False,2,5,0.0001,"(8,)",0.001,824,55,0.19247109127549553,0.888816644993498,0.4131422870903952,0.050666997492394325,0.30952380952380953,0.23636363636363636,0.9791937581274383
