model,split_type,use_coords,candidate,fold,classifier__alpha,classifier__hidden_layer_sizes,classifier__learning_rate_init,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_multi_interactions_with_coords,random,True,1,1,0.0001,"(8,)",0.01,824,51,0.24958060080146452,0.8780661035436166,0.40850016340222134,0.05104266232851727,0.4,0.35294117647058826,0.9728331177231565
MLP_multi_interactions_with_coords,random,True,1,2,0.0001,"(8,)",0.01,824,51,0.2705636476669647,0.8492758034649824,0.32995455562232767,0.055005565199392384,0.34146341463414637,0.27450980392156865,0.9780077619663649
MLP_multi_interactions_with_coords,random,True,1,3,0.0001,"(8,)",0.01,824,53,0.24640457044224096,0.891833688177569,0.40765606436129564,0.049723705573630955,0.43478260869565216,0.37735849056603776,0.9753566796368353
MLP_multi_interactions_with_coords,random,True,1,4,0.0001,"(8,)",0.01,816,48,0.18304208846878992,0.9163411458333333,0.4422104934844799,0.04640124219356651,0.46808510638297873,0.4583333333333333,0.96875
MLP_multi_interactions_with_coords,random,True,1,5,0.0001,"(8,)",0.01,816,48,0.21973295146896457,0.8888617621527777,0.37166058218112547,0.05101234538361352,0.4175824175824176,0.3958333333333333,0.96875
MLP_multi_interactions_with_coords,random,True,2,1,0.0001,"(8,)",0.001,824,51,0.19645618527371053,0.8851685564264515,0.44034492904306455,0.04641442110279233,0.46153846153846156,0.4117647058823529,0.9754204398447607
MLP_multi_interactions_with_coords,random,True,2,2,0.0001,"(8,)",0.001,824,51,0.2465155869888361,0.8533977627273419,0.3294174143724329,0.05197262931411618,0.32098765432098764,0.2549019607843137,0.9780077619663649
MLP_multi_interactions_with_coords,random,True,2,3,0.0001,"(8,)",0.001,824,53,0.1832025827159251,0.9050975209847539,0.4264941884178176,0.04763164751961401,0.35,0.2641509433962264,0.9831387808041504
MLP_multi_interactions_with_coords,random,True,2,4,0.0001,"(8,)",0.001,816,48,0.16005442127565858,0.9131944444444444,0.3996369181008307,0.04405821390673717,0.4367816091954023,0.3958333333333333,0.9739583333333334
MLP_multi_interactions_with_coords,random,True,2,5,0.0001,"(8,)",0.001,816,48,0.1820045477691334,0.8938259548611112,0.39264849175561645,0.046792535337097305,0.30952380952380953,0.2708333333333333,0.9700520833333334
MLP_multi_interactions_with_coords,random,True,3,1,0.0001,"(16,)",0.01,824,51,0.26100894171866634,0.8835958704309665,0.4121867427223011,0.05801732792622363,0.46956521739130436,0.5294117647058824,0.9521345407503234
MLP_multi_interactions_with_coords,random,True,3,2,0.0001,"(16,)",0.01,824,51,0.3247620953981572,0.8511655632498796,0.35402761650387904,0.055836860685614664,0.3764705882352941,0.3137254901960784,0.9767141009055628
MLP_multi_interactions_with_coords,random,True,3,3,0.0001,"(16,)",0.01,824,53,0.30347405794015253,0.8740670043804909,0.34889518744968573,0.05802882656317936,0.3695652173913043,0.32075471698113206,0.9714656290531777
MLP_multi_interactions_with_coords,random,True,3,4,0.0001,"(16,)",0.01,816,48,0.3110796829838689,0.8886447482638888,0.30681940808986335,0.06479765091263494,0.4247787610619469,0.5,0.9466145833333334
MLP_multi_interactions_with_coords,random,True,3,5,0.0001,"(16,)",0.01,816,48,0.26606421875409886,0.8963216145833335,0.33546460703932746,0.05621651500562425,0.28205128205128205,0.22916666666666666,0.9752604166666666
MLP_multi_interactions_with_coords,random,True,4,1,0.0001,"(16,)",0.001,824,51,0.2022133237760048,0.8883392943205743,0.437558089143522,0.04618846262025735,0.4835164835164835,0.43137254901960786,0.9767141009055628
MLP_multi_interactions_with_coords,random,True,4,2,0.0001,"(16,)",0.001,824,51,0.25372013506152236,0.8564543540572761,0.34489045861733997,0.05264013050166864,0.3333333333333333,0.27450980392156865,0.9754204398447607
MLP_multi_interactions_with_coords,random,True,4,3,0.0001,"(16,)",0.001,824,53,0.225333678597232,0.8863030125052003,0.3704340886926505,0.0516472788023098,0.35714285714285715,0.2830188679245283,0.9792477302204928
MLP_multi_interactions_with_coords,random,True,4,4,0.0001,"(16,)",0.001,816,48,0.17792750827569134,0.9126790364583334,0.3844029542561065,0.049686681260188575,0.425531914893617,0.4166666666666667,0.9661458333333334
MLP_multi_interactions_with_coords,random,True,4,5,0.0001,"(16,)",0.001,816,48,0.1902667740797306,0.895263671875,0.3861944660879961,0.04850759480385692,0.3448275862068966,0.3125,0.96875
MLP_multi_interactions_with_coords,random,True,5,1,0.0001,"(32,)",0.01,824,51,0.2941738514231092,0.8869314866955839,0.4217284111640154,0.051875678613228234,0.4742268041237113,0.45098039215686275,0.9702457956015524
