model,split_type,use_coords,candidate,fold,classifier__alpha,classifier__hidden_layer_sizes,classifier__learning_rate_init,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_multi_interactions_with_coords,spatial,True,1,1,0.0001,"(8,)",0.01,824,48,0.2386296751685319,0.8802888745704467,0.391472466578101,0.04959981122760911,0.3373493975903614,0.2916666666666667,0.9729381443298969
MLP_multi_interactions_with_coords,spatial,True,1,2,0.0001,"(8,)",0.01,824,49,0.22835275200668587,0.8864779460171165,0.4317652526627829,0.048256805652871784,0.41975308641975306,0.3469387755102041,0.9806451612903225
MLP_multi_interactions_with_coords,spatial,True,1,3,0.0001,"(8,)",0.01,816,53,0.21639075961135762,0.8998862484235515,0.5204949850229283,0.043984145608328994,0.5057471264367817,0.41509433962264153,0.9842726081258192
MLP_multi_interactions_with_coords,spatial,True,1,4,0.0001,"(8,)",0.01,816,45,0.21162088993171116,0.8954604409857327,0.38569248885550195,0.048368232673492106,0.37777777777777777,0.37777777777777777,0.9636835278858625
MLP_multi_interactions_with_coords,spatial,True,1,5,0.0001,"(8,)",0.01,824,55,0.31546127360530624,0.8736257240808606,0.37324873534796843,0.0613820594574502,0.3877551020408163,0.34545454545454546,0.9687906371911573
MLP_multi_interactions_with_coords,spatial,True,2,1,0.0001,"(8,)",0.001,824,48,0.18505572156218764,0.8854435137457045,0.4394231102293861,0.0430641413758121,0.39436619718309857,0.2916666666666667,0.9884020618556701
MLP_multi_interactions_with_coords,spatial,True,2,2,0.0001,"(8,)",0.001,824,49,0.17588539086073524,0.8993548387096775,0.38064243508422796,0.046339772988164295,0.3116883116883117,0.24489795918367346,0.9793548387096774
MLP_multi_interactions_with_coords,spatial,True,2,3,0.0001,"(8,)",0.001,816,53,0.16869281744487735,0.9172457281337323,0.5505315326818294,0.041933786404380925,0.43037974683544306,0.32075471698113206,0.9882044560943644
MLP_multi_interactions_with_coords,spatial,True,2,4,0.0001,"(8,)",0.001,816,45,0.1686844678201541,0.9050727770572129,0.4194075144527653,0.04366113629664232,0.37037037037037035,0.3333333333333333,0.9727626459143969
MLP_multi_interactions_with_coords,spatial,True,2,5,0.0001,"(8,)",0.001,824,55,0.20949846281948803,0.8958269298971511,0.4118967668912701,0.052129791232409975,0.3956043956043956,0.32727272727272727,0.976592977893368
MLP_multi_interactions_with_coords,spatial,True,3,1,0.0001,"(16,)",0.01,824,48,0.26010957089663994,0.8639255798969074,0.3971915637112626,0.053793514103162035,0.39080459770114945,0.3541666666666667,0.9716494845360825
MLP_multi_interactions_with_coords,spatial,True,3,2,0.0001,"(16,)",0.01,824,49,0.25202984868835027,0.8949308755760369,0.38176187398277794,0.053784491619006176,0.35294117647058826,0.30612244897959184,0.9729032258064516
MLP_multi_interactions_with_coords,spatial,True,3,3,0.0001,"(16,)",0.01,816,53,0.2169571425144225,0.9071193649694602,0.47231788445361333,0.04624222476410233,0.4444444444444444,0.33962264150943394,0.9868938401048493
MLP_multi_interactions_with_coords,spatial,True,3,4,0.0001,"(16,)",0.01,816,45,0.23692510002019537,0.9037901714944516,0.40826365734188436,0.052357654406479395,0.4854368932038835,0.5555555555555556,0.9571984435797666
MLP_multi_interactions_with_coords,spatial,True,3,5,0.0001,"(16,)",0.01,824,55,0.31487008859358745,0.8851873743941363,0.34656850277317053,0.062068541006808337,0.3333333333333333,0.2909090909090909,0.9674902470741222
MLP_multi_interactions_with_coords,spatial,True,4,1,0.0001,"(16,)",0.001,824,48,0.21501285871259457,0.8745167525773196,0.41643464799298585,0.04770381755259138,0.41975308641975306,0.3541666666666667,0.979381443298969
MLP_multi_interactions_with_coords,spatial,True,4,2,0.0001,"(16,)",0.001,824,49,0.18098084771088874,0.9006846609611587,0.3953852030610594,0.04654927076847948,0.3855421686746988,0.32653061224489793,0.9767741935483871
MLP_multi_interactions_with_coords,spatial,True,4,3,0.0001,"(16,)",0.001,816,53,0.16713149128343852,0.9184079725017928,0.580086964033197,0.04129680175533812,0.5287356321839081,0.4339622641509434,0.9855832241153342
MLP_multi_interactions_with_coords,spatial,True,4,4,0.0001,"(16,)",0.001,816,45,0.1644900783354969,0.9125522409569101,0.4547027875505068,0.044374089029165675,0.42857142857142855,0.4,0.9727626459143969
MLP_multi_interactions_with_coords,spatial,True,4,5,0.0001,"(16,)",0.001,824,55,0.20162905450502347,0.8961697600189147,0.4745169085011808,0.04652496262336866,0.4883720930232558,0.38181818181818183,0.9869960988296489
MLP_multi_interactions_with_coords,spatial,True,5,1,0.0001,"(32,)",0.01,824,48,0.36058222661866207,0.8572003865979382,0.37884978607093756,0.05638829999653802,0.37209302325581395,0.3333333333333333,0.9716494845360825
MLP_multi_interactions_with_coords,spatial,True,5,2,0.0001,"(32,)",0.01,824,49,0.28452993865536247,0.8779723502304145,0.41051177420016266,0.05532067277151888,0.425531914893617,0.40816326530612246,0.967741935483871
MLP_multi_interactions_with_coords,spatial,True,5,3,0.0001,"(32,)",0.01,816,53,0.3193337538580955,0.8942604911100671,0.44935668970079906,0.05102944547641366,0.41975308641975306,0.32075471698113206,0.9855832241153342
