model,split_type,use_coords,candidate,fold,classifier__alpha,classifier__hidden_layer_sizes,classifier__learning_rate_init,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_multi_no_coords,spatial,False,1,1,0.0001,"(8,)",0.01,824,48,0.1679970891242137,0.855186855670103,0.3968665888002978,0.04486420151797348,0.3684210526315789,0.2916666666666667,0.9819587628865979
MLP_multi_no_coords,spatial,False,1,2,0.0001,"(8,)",0.01,824,49,0.17207924727983934,0.8564318630678078,0.38170309316851175,0.04496794383583353,0.22580645161290322,0.14285714285714285,0.9922580645161291
MLP_multi_no_coords,spatial,False,1,3,0.0001,"(8,)",0.01,816,53,0.17850897927324985,0.8928880536116125,0.355989673217614,0.05169355540411024,0.2028985507246377,0.1320754716981132,0.9882044560943644
MLP_multi_no_coords,spatial,False,1,4,0.0001,"(8,)",0.01,816,45,0.16258374544950263,0.8814526588845656,0.3502583849789076,0.04532825282810508,0.30985915492957744,0.24444444444444444,0.980544747081712
MLP_multi_no_coords,spatial,False,1,5,0.0001,"(8,)",0.01,824,55,0.1895814257375689,0.871450526066911,0.33947414884560595,0.052976959802763984,0.345679012345679,0.2545454545454545,0.9843953185955787
MLP_multi_no_coords,spatial,False,2,1,0.0001,"(8,)",0.001,824,48,0.16600128607621475,0.8562070446735396,0.40498573107015756,0.04406071104404603,0.23333333333333334,0.14583333333333334,0.9935567010309279
MLP_multi_no_coords,spatial,False,2,2,0.0001,"(8,)",0.001,824,49,0.16950176196387734,0.8510599078341013,0.38010030750995744,0.04504256983313476,0.07547169811320754,0.04081632653061224,0.9974193548387097
MLP_multi_no_coords,spatial,False,2,3,0.0001,"(8,)",0.001,816,53,0.16395217144551175,0.897512302480279,0.3858507133604919,0.04741821931537135,0.18461538461538463,0.11320754716981132,0.9921363040629095
MLP_multi_no_coords,spatial,False,2,4,0.0001,"(8,)",0.001,816,45,0.1576149508630156,0.8810779651246577,0.3727716943528779,0.04360044908765076,0.24242424242424243,0.17777777777777778,0.9831387808041504
MLP_multi_no_coords,spatial,False,2,5,0.0001,"(8,)",0.001,824,55,0.18051123393099816,0.8723962643338457,0.37818635210358686,0.05092323095632389,0.29333333333333333,0.2,0.988296488946684
MLP_multi_no_coords,spatial,False,3,1,0.0001,"(16,)",0.01,824,48,0.19636825874987152,0.8500590635738832,0.40125818530067076,0.048097844497292395,0.38961038961038963,0.3125,0.9819587628865979
