model,split_type,use_coords,candidate,fold,classifier__alpha,classifier__hidden_layer_sizes,classifier__learning_rate_init,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_multi_trunk_no_coords,random,False,1,1,0.0001,"(8,)",0.01,824,50,0.13788601309933096,0.9228165374677002,0.5445506908834986,0.03962232442875788,0.4594594594594595,0.34,0.9909560723514211
MLP_multi_trunk_no_coords,random,False,1,2,0.0001,"(8,)",0.01,824,58,0.1832346383543673,0.8868056180786891,0.4227229276618002,0.05241532726618517,0.3157894736842105,0.20689655172413793,0.9921671018276762
MLP_multi_trunk_no_coords,random,False,1,3,0.0001,"(8,)",0.01,824,55,0.1982288398141857,0.8600543799503488,0.3999831057921709,0.04899013362136379,0.23529411764705882,0.14545454545454545,0.9934980494148244
MLP_multi_trunk_no_coords,random,False,1,4,0.0001,"(8,)",0.01,816,48,0.15804921800771266,0.896240234375,0.3247161380123587,0.0462926410320133,0.208955223880597,0.14583333333333334,0.984375
MLP_multi_trunk_no_coords,random,False,1,5,0.0001,"(8,)",0.01,816,40,0.1556099545062814,0.8818298969072166,0.3293305042253591,0.04174444067358389,0.36363636363636365,0.3,0.9819587628865979
MLP_multi_trunk_no_coords,random,False,2,1,0.0001,"(8,)",0.001,824,50,0.15367219734405005,0.9163824289405684,0.4286937231244895,0.04343191029057053,0.07272727272727272,0.04,0.9961240310077519
MLP_multi_trunk_no_coords,random,False,2,2,0.0001,"(8,)",0.001,824,58,0.2050129789969152,0.8221616998289367,0.3594100936610999,0.05520409239938175,0.0967741935483871,0.05172413793103448,0.9986945169712794
MLP_multi_trunk_no_coords,random,False,2,3,0.0001,"(8,)",0.001,824,55,0.2017762047175486,0.8257713677739685,0.29533545829995234,0.05353101721300946,0.06451612903225806,0.03636363636363636,0.9934980494148244
MLP_multi_trunk_no_coords,random,False,2,4,0.0001,"(8,)",0.001,816,48,0.16719792261038763,0.8709309895833333,0.3097445083347837,0.04672204404571125,0.0392156862745098,0.020833333333333332,0.9973958333333334
MLP_multi_trunk_no_coords,random,False,2,5,0.0001,"(8,)",0.001,816,40,0.16163642536032893,0.8250322164948454,0.22839017194324396,0.042363272269982905,0.08888888888888889,0.05,0.9961340206185567
MLP_multi_trunk_no_coords,random,False,3,1,0.0001,"(16,)",0.01,824,50,0.14409162990346353,0.9127390180878552,0.49115665442914264,0.04060127277548784,0.39436619718309857,0.28,0.9909560723514211
MLP_multi_trunk_no_coords,random,False,3,2,0.0001,"(16,)",0.01,824,58,0.18439544338531932,0.8842846853335735,0.3983763497923292,0.052526177657769436,0.3,0.20689655172413793,0.9869451697127938
MLP_multi_trunk_no_coords,random,False,3,3,0.0001,"(16,)",0.01,824,55,0.20681159939368213,0.8549237498522284,0.3903667308258488,0.050227554607194684,0.34210526315789475,0.23636363636363636,0.9895968790637191
MLP_multi_trunk_no_coords,random,False,3,4,0.0001,"(16,)",0.01,816,48,0.15376468285227268,0.9051106770833334,0.3750334669073684,0.045385587754032945,0.30985915492957744,0.22916666666666666,0.984375
MLP_multi_trunk_no_coords,random,False,3,5,0.0001,"(16,)",0.01,816,40,0.154054513283027,0.8721005154639175,0.3049712957539827,0.04108044461997056,0.25806451612903225,0.2,0.9819587628865979
MLP_multi_trunk_no_coords,random,False,4,1,0.0001,"(16,)",0.001,824,50,0.14589026969755084,0.9301033591731266,0.43392637641382836,0.042552108968189964,0.07407407407407407,0.04,0.9974160206718347
MLP_multi_trunk_no_coords,random,False,4,2,0.0001,"(16,)",0.001,824,58,0.1939732221541597,0.8450751778157919,0.39345418070265314,0.053130458777780505,0.0967741935483871,0.05172413793103448,0.9986945169712794
MLP_multi_trunk_no_coords,random,False,4,3,0.0001,"(16,)",0.001,824,55,0.2001038712209469,0.8330535524293652,0.3120955429448661,0.05291103750148305,0.0,0.0,1.0
MLP_multi_trunk_no_coords,random,False,4,4,0.0001,"(16,)",0.001,816,48,0.17131783966975572,0.8581000434027778,0.3065944079064752,0.04732354129046384,0.04,0.020833333333333332,0.9986979166666666
MLP_multi_trunk_no_coords,random,False,4,5,0.0001,"(16,)",0.001,816,40,0.16106589073226502,0.822873711340206,0.23489747923932722,0.04193635578518451,0.0,0.0,0.9987113402061856
MLP_multi_trunk_no_coords,random,False,5,1,0.0001,"(32,)",0.01,824,50,0.16520024146829212,0.8895865633074935,0.39738157079972874,0.0454351754371807,0.3013698630136986,0.22,0.9844961240310077
MLP_multi_trunk_no_coords,random,False,5,2,0.0001,"(32,)",0.01,824,58,0.18819464099906485,0.893085441613397,0.35347700290766787,0.0573002368414896,0.3076923076923077,0.2413793103448276,0.9751958224543081
MLP_multi_trunk_no_coords,random,False,5,3,0.0001,"(32,)",0.01,824,55,0.2075684597538235,0.8569807305828111,0.3748047158443871,0.05093517756439403,0.3373493975903614,0.2545454545454545,0.9817945383615084
MLP_multi_trunk_no_coords,random,False,5,4,0.0001,"(32,)",0.01,816,48,0.166500988506958,0.899685329861111,0.3520677217159721,0.049326622333987276,0.3225806451612903,0.3125,0.9609375
MLP_multi_trunk_no_coords,random,False,5,5,0.0001,"(32,)",0.01,816,40,0.1637659250301843,0.8734697164948454,0.29957974397746756,0.04261510131359417,0.3380281690140845,0.3,0.9755154639175257
MLP_multi_trunk_no_coords,random,False,6,1,0.0001,"(32,)",0.001,824,50,0.14377931403311317,0.9291214470284237,0.4292761449361519,0.04273862032840747,0.1694915254237288,0.1,0.9948320413436692
MLP_multi_trunk_no_coords,random,False,6,2,0.0001,"(32,)",0.001,824,58,0.18335112658818484,0.8790402448906096,0.37545134679895104,0.052909218607301405,0.16666666666666666,0.10344827586206896,0.9895561357702349
MLP_multi_trunk_no_coords,random,False,6,3,0.0001,"(32,)",0.001,824,55,0.19414900389868606,0.8389644165977066,0.3836682381544825,0.05037942104653617,0.16393442622950818,0.09090909090909091,0.9986996098829649
MLP_multi_trunk_no_coords,random,False,6,4,0.0001,"(32,)",0.001,816,48,0.16282980712013248,0.878390842013889,0.30985196776089735,0.046355776991098774,0.1694915254237288,0.10416666666666667,0.9921875
MLP_multi_trunk_no_coords,random,False,6,5,0.0001,"(32,)",0.001,816,40,0.15562586150333602,0.8479703608247422,0.28303996742549586,0.04099903722949876,0.125,0.075,0.9935567010309279
MLP_multi_trunk_no_coords,random,False,7,1,0.0001,"(16, 8)",0.01,824,50,0.15163730993610447,0.8991989664082687,0.47295983286231486,0.04182480673710045,0.35294117647058826,0.24,0.9922480620155039
MLP_multi_trunk_no_coords,random,False,7,2,0.0001,"(16, 8)",0.01,824,58,0.20632768353041314,0.8598631493652651,0.36421402112648327,0.05635525543005161,0.3058823529411765,0.22413793103448276,0.9817232375979112
MLP_multi_trunk_no_coords,random,False,7,3,0.0001,"(16, 8)",0.01,824,55,0.22970071278682166,0.8405485281948221,0.3578986011880474,0.0514007139880722,0.2857142857142857,0.2,0.9856957087126138
MLP_multi_trunk_no_coords,random,False,7,4,0.0001,"(16, 8)",0.01,816,48,0.17130403463426866,0.8776584201388888,0.28882325510403395,0.0485581548634784,0.23529411764705882,0.16666666666666666,0.984375
MLP_multi_trunk_no_coords,random,False,7,5,0.0001,"(16, 8)",0.01,816,40,0.18684193451784187,0.825451030927835,0.22966308610031994,0.047177522618847785,0.16129032258064516,0.125,0.9780927835051546
MLP_multi_trunk_no_coords,random,False,8,1,0.0001,"(16, 8)",0.001,824,50,0.14690437314449598,0.9269509043927648,0.49558314098125733,0.04245825776485453,0.1111111111111111,0.06,0.9987080103359173
MLP_multi_trunk_no_coords,random,False,8,2,0.0001,"(16, 8)",0.001,824,58,0.19069259175606934,0.8556766003421264,0.3933597181808082,0.05280217834408451,0.09375,0.05172413793103448,0.9960835509138382
MLP_multi_trunk_no_coords,random,False,8,3,0.0001,"(16, 8)",0.001,824,55,0.19878875330875687,0.8493675375339875,0.3467389870408056,0.05134909704547135,0.03225806451612903,0.01818181818181818,0.9921976592977894
MLP_multi_trunk_no_coords,random,False,8,4,0.0001,"(16, 8)",0.001,816,48,0.16581145021084198,0.8696560329861112,0.3432979941871717,0.04621443582837218,0.04,0.020833333333333332,0.9986979166666666
MLP_multi_trunk_no_coords,random,False,8,5,0.0001,"(16, 8)",0.001,816,40,0.16293441014013918,0.8169458762886598,0.23351988289987716,0.04229487711501603,0.125,0.075,0.9935567010309279
MLP_multi_trunk_no_coords,random,False,9,1,0.001,"(8,)",0.01,824,50,0.13738755541924688,0.9239018087855297,0.5482981290772174,0.03948945147743074,0.4594594594594595,0.34,0.9909560723514211
MLP_multi_trunk_no_coords,random,False,9,2,0.001,"(8,)",0.01,824,58,0.182754074361443,0.8873458179526426,0.42255474562806344,0.05234512873619479,0.3157894736842105,0.20689655172413793,0.9921671018276762
