model,split_type,use_coords,candidate,fold,classifier__alpha,classifier__hidden_layer_sizes,classifier__learning_rate_init,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_multi_trunk_no_coords,spatial,False,1,1,0.0001,"(8,)",0.01,824,49,0.1654389696393527,0.8887162606978276,0.31234155883577586,0.04886082505468781,0.21621621621621623,0.16326530612244897,0.9780645161290322
MLP_multi_trunk_no_coords,spatial,False,1,2,0.0001,"(8,)",0.01,824,58,0.17810186676189238,0.8872107679841541,0.4513141409254726,0.050210498885088634,0.2777777777777778,0.1724137931034483,0.9947780678851175
MLP_multi_trunk_no_coords,spatial,False,1,3,0.0001,"(8,)",0.01,824,48,0.19567539006346255,0.8340045103092782,0.29890249396111357,0.050329600390850014,0.2153846153846154,0.14583333333333334,0.9871134020618557
MLP_multi_trunk_no_coords,spatial,False,1,4,0.0001,"(8,)",0.01,816,53,0.17237772507987656,0.875194737753159,0.45570676554985584,0.04569265022915743,0.34285714285714286,0.22641509433962265,0.9934469200524246
MLP_multi_trunk_no_coords,spatial,False,1,5,0.0001,"(8,)",0.01,816,42,0.14596509612693176,0.8911344899716993,0.3811010313719315,0.03838021695155568,0.27586206896551724,0.19047619047619047,0.9896640826873385
MLP_multi_trunk_no_coords,spatial,False,2,1,0.0001,"(8,)",0.001,824,49,0.1682848242664131,0.8659381171823568,0.3533180781215046,0.046173031147324364,0.14545454545454545,0.08163265306122448,0.9974193548387097
MLP_multi_trunk_no_coords,spatial,False,2,2,0.0001,"(8,)",0.001,824,58,0.184951494499187,0.8799405780138652,0.4007963728444016,0.053269270489539396,0.06557377049180328,0.034482758620689655,0.9986945169712794
MLP_multi_trunk_no_coords,spatial,False,2,3,0.0001,"(8,)",0.001,824,48,0.19840706017879117,0.7807399054982818,0.24202544812766622,0.04986640901983416,0.0784313725490196,0.041666666666666664,0.9987113402061856
MLP_multi_trunk_no_coords,spatial,False,2,4,0.0001,"(8,)",0.001,816,53,0.1891459269547269,0.8289275204629195,0.37587168636671087,0.049244855011210405,0.07142857142857142,0.03773584905660377,0.9986893840104849
MLP_multi_trunk_no_coords,spatial,False,2,5,0.0001,"(8,)",0.001,816,42,0.15435248087185963,0.8665866863541282,0.365095163787462,0.04051252709568139,0.044444444444444446,0.023809523809523808,0.9974160206718347
MLP_multi_trunk_no_coords,spatial,False,3,1,0.0001,"(16,)",0.01,824,49,0.16881656041167561,0.8846082949308756,0.33066615002655325,0.04829245213110781,0.2608695652173913,0.1836734693877551,0.9858064516129033
