model,split_type,use_coords,candidate,fold,classifier__alpha,classifier__hidden_layer_sizes,classifier__learning_rate_init,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_multi_trunk_with_coords,random,True,1,1,0.0001,"(8,)",0.01,824,50,0.13647920255814436,0.927390180878553,0.5303418782666968,0.03974597290961861,0.4225352112676056,0.3,0.9922480620155039
MLP_multi_trunk_with_coords,random,True,1,2,0.0001,"(8,)",0.01,824,58,0.1745540838862566,0.9024263977671739,0.384479946819973,0.05157549341394277,0.2891566265060241,0.20689655172413793,0.9830287206266318
MLP_multi_trunk_with_coords,random,True,1,3,0.0001,"(8,)",0.01,824,55,0.18185978992777962,0.8860858257477243,0.45281917339607747,0.046107163105480395,0.4,0.2909090909090909,0.988296488946684
MLP_multi_trunk_with_coords,random,True,1,4,0.0001,"(8,)",0.01,816,48,0.1444150007477311,0.9268120659722222,0.411848354199377,0.04360169789489393,0.4155844155844156,0.3333333333333333,0.9830729166666666
MLP_multi_trunk_with_coords,random,True,1,5,0.0001,"(8,)",0.01,816,40,0.13258828452940882,0.9115979381443299,0.37163147978425437,0.03767071318220678,0.3492063492063492,0.275,0.9845360824742269
MLP_multi_trunk_with_coords,random,True,2,1,0.0001,"(8,)",0.001,824,50,0.14717801194140184,0.9225064599483204,0.39697890766379007,0.04327852430777768,0.03773584905660377,0.02,0.9974160206718347
MLP_multi_trunk_with_coords,random,True,2,2,0.0001,"(8,)",0.001,824,58,0.18573715020870185,0.8645448816061942,0.3766732606662537,0.05218701676043892,0.06349206349206349,0.034482758620689655,0.9960835509138382
MLP_multi_trunk_with_coords,random,True,2,3,0.0001,"(8,)",0.001,824,55,0.19137663573489078,0.8451117153327816,0.350357135695041,0.05088197882607683,0.07017543859649122,0.03636363636363636,1.0
MLP_multi_trunk_with_coords,random,True,2,4,0.0001,"(8,)",0.001,816,48,0.15862878504858371,0.8929307725694444,0.3395720212094501,0.04550946070787314,0.10714285714285714,0.0625,0.9934895833333334
MLP_multi_trunk_with_coords,random,True,2,5,0.0001,"(8,)",0.001,816,40,0.14840643081034519,0.8664626288659795,0.2982961940678047,0.04005158681970964,0.08695652173913043,0.05,0.9948453608247423
MLP_multi_trunk_with_coords,random,True,3,1,0.0001,"(16,)",0.01,824,50,0.1360077297988886,0.9292764857881137,0.563037869035406,0.03900311106580893,0.47368421052631576,0.36,0.9896640826873385
MLP_multi_trunk_with_coords,random,True,3,2,0.0001,"(16,)",0.01,824,58,0.17130363092138734,0.9080759881156028,0.39512784736293216,0.051323977883520236,0.24096385542168675,0.1724137931034483,0.9804177545691906
MLP_multi_trunk_with_coords,random,True,3,3,0.0001,"(16,)",0.01,824,55,0.20870410383493845,0.8749379359262324,0.4552963983875223,0.046918623640365816,0.375,0.2727272727272727,0.9869960988296489
MLP_multi_trunk_with_coords,random,True,3,4,0.0001,"(16,)",0.01,816,48,0.1554990517570863,0.913818359375,0.38948748853538456,0.04718954913083575,0.3,0.25,0.9739583333333334
MLP_multi_trunk_with_coords,random,True,3,5,0.0001,"(16,)",0.01,816,40,0.15801796993714054,0.8825064432989691,0.33149702061438946,0.04204576505139162,0.34285714285714286,0.3,0.9768041237113402
MLP_multi_trunk_with_coords,random,True,4,1,0.0001,"(16,)",0.001,824,50,0.13629540955593653,0.9401291989664082,0.4923064960897797,0.04020506876080273,0.22950819672131148,0.14,0.9948320413436692
MLP_multi_trunk_with_coords,random,True,4,2,0.0001,"(16,)",0.001,824,58,0.17976788442681554,0.884959935176015,0.36265183123631695,0.05239704731924017,0.11764705882352941,0.06896551724137931,0.9921671018276762
MLP_multi_trunk_with_coords,random,True,4,3,0.0001,"(16,)",0.001,824,55,0.18175211300819838,0.8590849982267408,0.4042927348429706,0.04840111955033822,0.15625,0.09090909090909091,0.9947984395318595
MLP_multi_trunk_with_coords,random,True,4,4,0.0001,"(16,)",0.001,816,48,0.15283972918300176,0.9064398871527778,0.3921622353345156,0.04511299222275665,0.3283582089552239,0.22916666666666666,0.9895833333333334
MLP_multi_trunk_with_coords,random,True,4,5,0.0001,"(16,)",0.001,816,40,0.1506968323583071,0.8523518041237114,0.2863436639674872,0.039870192549091237,0.1568627450980392,0.1,0.990979381443299
MLP_multi_trunk_with_coords,random,True,5,1,0.0001,"(32,)",0.01,824,50,0.14931268239022022,0.9248837209302325,0.5191913776169557,0.041326638678179935,0.4634146341463415,0.38,0.9832041343669251
MLP_multi_trunk_with_coords,random,True,5,2,0.0001,"(32,)",0.01,824,58,0.17594925420001833,0.9081660214279283,0.43765577901882796,0.05115590652296122,0.4485981308411215,0.41379310344827586,0.9673629242819843
MLP_multi_trunk_with_coords,random,True,5,3,0.0001,"(32,)",0.01,824,55,0.2017439693201881,0.8783425936871971,0.43199123454230376,0.046889008023258315,0.4146341463414634,0.3090909090909091,0.9869960988296489
MLP_multi_trunk_with_coords,random,True,5,4,0.0001,"(32,)",0.01,816,48,0.1488808376854294,0.9303114149305555,0.38966729089268853,0.04629666855439741,0.37209302325581395,0.3333333333333333,0.9713541666666666
MLP_multi_trunk_with_coords,random,True,5,5,0.0001,"(32,)",0.01,816,40,0.17638131253674744,0.8915431701030927,0.33594575588553277,0.04538760727402308,0.4594594594594595,0.425,0.9780927835051546
MLP_multi_trunk_with_coords,random,True,6,1,0.0001,"(32,)",0.001,824,50,0.13484047593923426,0.9389922480620155,0.481909234580783,0.04056490019780657,0.3076923076923077,0.2,0.9935400516795866
MLP_multi_trunk_with_coords,random,True,6,2,0.0001,"(32,)",0.001,824,58,0.16905000466625794,0.8995678401008373,0.4299557900712737,0.04929152598203472,0.29333333333333333,0.1896551724137931,0.9921671018276762
MLP_multi_trunk_with_coords,random,True,6,3,0.0001,"(32,)",0.001,824,55,0.18054131571354007,0.8604563187137959,0.4731101491106167,0.046068389344380886,0.3333333333333333,0.21818181818181817,0.9934980494148244
MLP_multi_trunk_with_coords,random,True,6,4,0.0001,"(32,)",0.001,816,48,0.1491415732057533,0.9164767795138888,0.373963822717113,0.0446852742802864,0.2898550724637681,0.20833333333333334,0.9856770833333334
MLP_multi_trunk_with_coords,random,True,6,5,0.0001,"(32,)",0.001,816,40,0.1484061615416585,0.8824420103092783,0.3004402507493154,0.040700551947571634,0.24561403508771928,0.175,0.9871134020618557
MLP_multi_trunk_with_coords,random,True,7,1,0.0001,"(16, 8)",0.01,824,50,0.15306805106688412,0.909483204134367,0.44279455272126333,0.043549765883486774,0.22580645161290322,0.14,0.9935400516795866
MLP_multi_trunk_with_coords,random,True,7,2,0.0001,"(16, 8)",0.01,824,58,0.17239805324136856,0.9025164310794994,0.5419097795249191,0.04674820222121661,0.41379310344827586,0.3103448275862069,0.9856396866840731
MLP_multi_trunk_with_coords,random,True,7,3,0.0001,"(16, 8)",0.01,824,55,0.19805610322670517,0.8681049769476298,0.4269524623145193,0.04786486674608031,0.33766233766233766,0.23636363636363636,0.988296488946684
MLP_multi_trunk_with_coords,random,True,7,4,0.0001,"(16, 8)",0.01,816,48,0.1521515004463736,0.9253743489583333,0.3604072804615634,0.04629837328877128,0.3157894736842105,0.25,0.9791666666666666
MLP_multi_trunk_with_coords,random,True,7,5,0.0001,"(16, 8)",0.01,816,40,0.17578393605119588,0.8734697164948454,0.31975567344426903,0.043147518318329386,0.3380281690140845,0.3,0.9755154639175257
MLP_multi_trunk_with_coords,random,True,8,1,0.0001,"(16, 8)",0.001,824,50,0.1310029048335727,0.9454521963824289,0.5496989047842872,0.039083589365162354,0.2903225806451613,0.18,0.9961240310077519
MLP_multi_trunk_with_coords,random,True,8,2,0.0001,"(16, 8)",0.001,824,58,0.17698754164149053,0.8866705681102008,0.4469995195498105,0.049731146868702183,0.2608695652173913,0.15517241379310345,0.9973890339425587
MLP_multi_trunk_with_coords,random,True,8,3,0.0001,"(16, 8)",0.001,824,55,0.19891016401592376,0.8477124955668518,0.38719580200809217,0.048943765504877904,0.25,0.16363636363636364,0.9895968790637191
MLP_multi_trunk_with_coords,random,True,8,4,0.0001,"(16, 8)",0.001,816,48,0.149799384200856,0.915771484375,0.37239599803746815,0.045040645453194764,0.29850746268656714,0.20833333333333334,0.98828125
MLP_multi_trunk_with_coords,random,True,8,5,0.0001,"(16, 8)",0.001,816,40,0.15093123054564647,0.8684922680412371,0.30808160706870014,0.04032228117060701,0.25,0.175,0.9884020618556701
MLP_multi_trunk_with_coords,random,True,9,1,0.001,"(8,)",0.01,824,50,0.13656748540808394,0.9273385012919896,0.5305818381479885,0.0397549394474034,0.4225352112676056,0.3,0.9922480620155039
MLP_multi_trunk_with_coords,random,True,9,2,0.001,"(8,)",0.01,824,58,0.17340211327715854,0.903529305843162,0.38967752450363513,0.05122224504092883,0.2926829268292683,0.20689655172413793,0.9843342036553525
MLP_multi_trunk_with_coords,random,True,9,3,0.001,"(8,)",0.01,824,55,0.1817100470511919,0.8860858257477243,0.4531083331405788,0.046120934656625645,0.4,0.2909090909090909,0.988296488946684
MLP_multi_trunk_with_coords,random,True,9,4,0.001,"(8,)",0.01,816,48,0.14399832213594854,0.9271918402777778,0.4143031941536597,0.043491608514347205,0.4155844155844156,0.3333333333333333,0.9830729166666666
MLP_multi_trunk_with_coords,random,True,9,5,0.001,"(8,)",0.01,816,40,0.13269472434818558,0.9115979381443299,0.3716457220026113,0.03770307815109351,0.3492063492063492,0.275,0.9845360824742269
MLP_multi_trunk_with_coords,random,True,10,1,0.001,"(8,)",0.001,824,50,0.14718523476488907,0.9225064599483204,0.39697890766379007,0.04327949246389114,0.03773584905660377,0.02,0.9974160206718347
MLP_multi_trunk_with_coords,random,True,10,2,0.001,"(8,)",0.001,824,58,0.18573415218542053,0.8645223732781129,0.37667486332003297,0.052187350639441805,0.06349206349206349,0.034482758620689655,0.9960835509138382
MLP_multi_trunk_with_coords,random,True,10,3,0.001,"(8,)",0.001,824,55,0.19136393701635465,0.845135358789455,0.35038192908347077,0.050882241153974044,0.07017543859649122,0.03636363636363636,1.0
MLP_multi_trunk_with_coords,random,True,10,4,0.001,"(8,)",0.001,816,48,0.15861951366037605,0.892822265625,0.33953836546292987,0.04549923281353149,0.10714285714285714,0.0625,0.9934895833333334
MLP_multi_trunk_with_coords,random,True,10,5,0.001,"(8,)",0.001,816,40,0.1484067257257887,0.8664626288659792,0.2980195360178515,0.04005178120735779,0.08695652173913043,0.05,0.9948453608247423
MLP_multi_trunk_with_coords,random,True,11,1,0.001,"(16,)",0.01,824,50,0.1362839552659865,0.9291989664082687,0.5632280690719429,0.03915028100464358,0.47368421052631576,0.36,0.9896640826873385
MLP_multi_trunk_with_coords,random,True,11,2,0.001,"(16,)",0.01,824,58,0.17139939949462485,0.9077833798505447,0.394364163975049,0.05133023047311904,0.24096385542168675,0.1724137931034483,0.9804177545691906
MLP_multi_trunk_with_coords,random,True,11,3,0.001,"(16,)",0.01,824,55,0.20743899428415913,0.8755999527130867,0.44837530786254876,0.04701566625645889,0.379746835443038,0.2727272727272727,0.988296488946684
MLP_multi_trunk_with_coords,random,True,11,4,0.001,"(16,)",0.01,816,48,0.15548421518622113,0.913818359375,0.3893418338265057,0.04717926090356223,0.3,0.25,0.9739583333333334
MLP_multi_trunk_with_coords,random,True,11,5,0.001,"(16,)",0.01,816,40,0.15855725169680762,0.8825386597938144,0.33080581909279516,0.04211558349110193,0.34285714285714286,0.3,0.9768041237113402
MLP_multi_trunk_with_coords,random,True,12,1,0.001,"(16,)",0.001,824,50,0.1363051685257517,0.9401291989664082,0.4923860196764028,0.04020565375475937,0.22950819672131148,0.14,0.9948320413436692
MLP_multi_trunk_with_coords,random,True,12,2,0.001,"(16,)",0.001,824,58,0.1797675053518425,0.884892410191771,0.3623860634463659,0.05239640257760925,0.11764705882352941,0.06896551724137931,0.9921671018276762
MLP_multi_trunk_with_coords,random,True,12,3,0.001,"(16,)",0.001,824,55,0.1817363745382575,0.8591086416834142,0.4041166576458534,0.04840125838228039,0.15625,0.09090909090909091,0.9947984395318595
MLP_multi_trunk_with_coords,random,True,12,4,0.001,"(16,)",0.001,816,48,0.1528524284399235,0.9063585069444444,0.392092590219962,0.045109837286490484,0.3283582089552239,0.22916666666666666,0.9895833333333334
MLP_multi_trunk_with_coords,random,True,12,5,0.001,"(16,)",0.001,816,40,0.15068818888668045,0.8523840206185568,0.28614144264899344,0.03986963229994212,0.1568627450980392,0.1,0.990979381443299
MLP_multi_trunk_with_coords,random,True,13,1,0.001,"(32,)",0.01,824,50,0.14940882557463506,0.9244961240310078,0.4978174624184419,0.041432715369284424,0.4634146341463415,0.38,0.9832041343669251
MLP_multi_trunk_with_coords,random,True,13,2,0.001,"(32,)",0.01,824,58,0.17613081447126622,0.9076708382101377,0.43747818103473124,0.051217324680989516,0.4528301886792453,0.41379310344827586,0.9686684073107049
MLP_multi_trunk_with_coords,random,True,13,3,0.001,"(32,)",0.01,824,55,0.202801120189422,0.8767821255467549,0.446623479441448,0.04677108268087952,0.3950617283950617,0.2909090909090909,0.9869960988296489
