model,split_type,use_coords,candidate,fold,classifier__alpha,classifier__hidden_layer_sizes,classifier__learning_rate_init,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_multi_trunk_with_coords,spatial,True,1,1,0.0001,"(8,)",0.01,824,49,0.15516674521348972,0.9077024358130349,0.3778960511657413,0.04490226347650218,0.38461538461538464,0.30612244897959184,0.9819354838709677
MLP_multi_trunk_with_coords,spatial,True,1,2,0.0001,"(8,)",0.01,824,58,0.16793542556645558,0.9114522373278112,0.44033571380099684,0.04964873513781988,0.3614457831325301,0.25862068965517243,0.9869451697127938
MLP_multi_trunk_with_coords,spatial,True,1,3,0.0001,"(8,)",0.01,824,48,0.17081093920615545,0.87365764604811,0.44946595182737686,0.04162840741975614,0.36363636363636365,0.25,0.9922680412371134
MLP_multi_trunk_with_coords,spatial,True,1,4,0.0001,"(8,)",0.01,816,53,0.1536032969441203,0.9080095946981874,0.5266517624810412,0.042565191326876806,0.4675324675324675,0.33962264150943394,0.9921363040629095
MLP_multi_trunk_with_coords,spatial,True,1,5,0.0001,"(8,)",0.01,816,42,0.14966202601264403,0.884151593453919,0.404627329117923,0.03711198491448695,0.4375,0.3333333333333333,0.9896640826873385
MLP_multi_trunk_with_coords,spatial,True,2,1,0.0001,"(8,)",0.001,824,49,0.16065590658705878,0.8890059249506254,0.34014769360194963,0.0460990387034629,0.07272727272727272,0.04081632653061224,0.9948387096774194
MLP_multi_trunk_with_coords,spatial,True,2,2,0.0001,"(8,)",0.001,824,58,0.17172782874518974,0.900243089943279,0.44199964107293366,0.04978307832100072,0.09375,0.05172413793103448,0.9960835509138382
MLP_multi_trunk_with_coords,spatial,True,2,3,0.0001,"(8,)",0.001,824,48,0.18102447596348129,0.8171713917525774,0.2993641430282761,0.04686005207646582,0.07407407407407407,0.041666666666666664,0.9948453608247423
MLP_multi_trunk_with_coords,spatial,True,2,4,0.0001,"(8,)",0.001,816,53,0.16617150091164914,0.8870891960730978,0.49290487786876164,0.0448536406487352,0.10714285714285714,0.05660377358490566,1.0
MLP_multi_trunk_with_coords,spatial,True,2,5,0.0001,"(8,)",0.001,816,42,0.1425734361456958,0.8875661375661377,0.3691762889044433,0.03804594858557702,0.1568627450980392,0.09523809523809523,0.9935400516795866
MLP_multi_trunk_with_coords,spatial,True,3,1,0.0001,"(16,)",0.01,824,49,0.16952916018675607,0.8909019091507571,0.35388435715858957,0.04840578309349566,0.345679012345679,0.2857142857142857,0.9767741935483871
MLP_multi_trunk_with_coords,spatial,True,3,2,0.0001,"(16,)",0.01,824,58,0.16391582211181113,0.9160664445844963,0.47022496348113807,0.04887372558121279,0.3037974683544304,0.20689655172413793,0.9882506527415144
MLP_multi_trunk_with_coords,spatial,True,3,3,0.0001,"(16,)",0.01,824,48,0.1709938832397238,0.8745972938144331,0.46350109115110816,0.042548045301691526,0.4266666666666667,0.3333333333333333,0.9858247422680413
MLP_multi_trunk_with_coords,spatial,True,3,4,0.0001,"(16,)",0.01,816,53,0.1577302413940112,0.9092954820841267,0.5439036751162085,0.04403502231108485,0.46153846153846156,0.39622641509433965,0.9777195281782438
MLP_multi_trunk_with_coords,spatial,True,3,5,0.0001,"(16,)",0.01,816,42,0.14693279963690362,0.8911344899716993,0.3541046347221266,0.03963225987164572,0.27586206896551724,0.19047619047619047,0.9896640826873385
MLP_multi_trunk_with_coords,spatial,True,4,1,0.0001,"(16,)",0.001,824,49,0.1699705534254706,0.8661487820934826,0.3210419386575971,0.04649517400860997,0.1694915254237288,0.10204081632653061,0.9935483870967742
MLP_multi_trunk_with_coords,spatial,True,4,2,0.0001,"(16,)",0.001,824,58,0.17126646233731316,0.9014135230035113,0.4219784701904795,0.05045756513260265,0.1791044776119403,0.10344827586206896,0.9960835509138382
MLP_multi_trunk_with_coords,spatial,True,4,3,0.0001,"(16,)",0.001,824,48,0.16977690860827513,0.8507033934707904,0.36725297190674105,0.04567441515497673,0.21428571428571427,0.125,0.9974226804123711
