model,split_type,use_coords,candidate,fold,classifier__alpha,classifier__hidden_layer_sizes,classifier__learning_rate_init,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_multi_with_coords,spatial,True,1,1,0.0001,"(8,)",0.01,824,48,0.17260755265196853,0.8700332903780069,0.38576329975306867,0.04571876236304519,0.39473684210526316,0.3125,0.9832474226804123
MLP_multi_with_coords,spatial,True,1,2,0.0001,"(8,)",0.01,824,49,0.16712222701854454,0.8877682685977617,0.4508177214561019,0.04304410773014214,0.44155844155844154,0.3469387755102041,0.9858064516129033
MLP_multi_with_coords,spatial,True,1,3,0.0001,"(8,)",0.01,816,53,0.18682480138237972,0.8794233289646134,0.49158963761626423,0.044874020690190315,0.3888888888888889,0.2641509433962264,0.9934469200524246
MLP_multi_with_coords,spatial,True,1,4,0.0001,"(8,)",0.01,816,45,0.1504210310410756,0.9061968583369363,0.44885367434557155,0.04008042809888361,0.3783783783783784,0.3111111111111111,0.980544747081712
MLP_multi_with_coords,spatial,True,1,5,0.0001,"(8,)",0.01,824,55,0.17577676364724584,0.9000118217283367,0.4132699952057006,0.04833071818399282,0.379746835443038,0.2727272727272727,0.988296488946684
MLP_multi_with_coords,spatial,True,2,1,0.0001,"(8,)",0.001,824,48,0.15667468261115328,0.871644115120275,0.4385325667018744,0.04170077994935521,0.23728813559322035,0.14583333333333334,0.9948453608247423
MLP_multi_with_coords,spatial,True,2,2,0.0001,"(8,)",0.001,824,49,0.15840785148403883,0.8809216589861751,0.4421484793750096,0.041400199502454986,0.34782608695652173,0.24489795918367346,0.9896774193548387
MLP_multi_with_coords,spatial,True,2,3,0.0001,"(8,)",0.001,816,53,0.1571333559900295,0.9093943964984298,0.5063979644881211,0.04304475417916594,0.29850746268656714,0.18867924528301888,0.9947575360419397
MLP_multi_with_coords,spatial,True,2,4,0.0001,"(8,)",0.001,816,45,0.14377066853806714,0.9045107364173511,0.4419030465934709,0.03950232779135481,0.417910447761194,0.3111111111111111,0.9896238651102465
MLP_multi_with_coords,spatial,True,2,5,0.0001,"(8,)",0.001,824,55,0.16656615760698815,0.896867241990779,0.3892087652136009,0.047932634172109544,0.29333333333333333,0.2,0.988296488946684
MLP_multi_with_coords,spatial,True,3,1,0.0001,"(16,)",0.01,824,48,0.17799108389337906,0.878248496563574,0.42682156681354083,0.04796328243702019,0.45652173913043476,0.4375,0.970360824742268
MLP_multi_with_coords,spatial,True,3,2,0.0001,"(16,)",0.01,824,49,0.17801603295464527,0.8734562211981567,0.46386197439226834,0.044060362694858385,0.4146341463414634,0.3469387755102041,0.9793548387096774
MLP_multi_with_coords,spatial,True,3,3,0.0001,"(16,)",0.01,816,53,0.16113545429689896,0.9099136971735206,0.4878322954155905,0.04293023779492601,0.449438202247191,0.37735849056603776,0.9790301441677588
MLP_multi_with_coords,spatial,True,3,4,0.0001,"(16,)",0.01,816,45,0.145884941145542,0.9134745640582216,0.4677310983334343,0.041647567358153725,0.4470588235294118,0.4222222222222222,0.9727626459143969
MLP_multi_with_coords,spatial,True,3,5,0.0001,"(16,)",0.01,824,55,0.1774523075161609,0.900295543208417,0.4303863972404177,0.04899352501389945,0.358974358974359,0.2545454545454545,0.988296488946684
MLP_multi_with_coords,spatial,True,4,1,0.0001,"(16,)",0.001,824,48,0.15715103437324335,0.8949742268041238,0.4252387409133197,0.04376603955784639,0.3188405797101449,0.22916666666666666,0.9871134020618557
MLP_multi_with_coords,spatial,True,4,2,0.0001,"(16,)",0.001,824,49,0.16071475896177953,0.8803949967083607,0.4749997515213519,0.0423904138913877,0.3835616438356164,0.2857142857142857,0.9870967741935484
MLP_multi_with_coords,spatial,True,4,3,0.0001,"(16,)",0.001,816,53,0.15373496607070047,0.9148346892850961,0.5175970140636779,0.04211343749585002,0.3888888888888889,0.2641509433962264,0.9934469200524246
MLP_multi_with_coords,spatial,True,4,4,0.0001,"(16,)",0.001,816,45,0.138880518049672,0.9103040783974635,0.46971963265728406,0.03877307160405739,0.43478260869565216,0.3333333333333333,0.9883268482490273
MLP_multi_with_coords,spatial,True,4,5,0.0001,"(16,)",0.001,824,55,0.17214995677098147,0.89518855656697,0.39501689272396023,0.05052196948638898,0.23684210526315788,0.16363636363636364,0.9843953185955787
MLP_multi_with_coords,spatial,True,5,1,0.0001,"(32,)",0.01,824,48,0.2406646903515555,0.8693889604810997,0.3817723598030235,0.05358751143099341,0.41304347826086957,0.3958333333333333,0.9677835051546392
MLP_multi_with_coords,spatial,True,5,2,0.0001,"(32,)",0.01,824,49,0.19011919347656894,0.8877682685977618,0.4305454148087317,0.04813470582084687,0.4,0.3673469387755102,0.9703225806451613
MLP_multi_with_coords,spatial,True,5,3,0.0001,"(32,)",0.01,816,53,0.18664929428705812,0.8997131481985213,0.508746427099548,0.044741017620281306,0.38961038961038963,0.2830188679245283,0.9882044560943644
MLP_multi_with_coords,spatial,True,5,4,0.0001,"(32,)",0.01,816,45,0.15377144202987805,0.9154056780515926,0.4730492656724541,0.04153404163258369,0.45977011494252873,0.4444444444444444,0.9714656290531777
MLP_multi_with_coords,spatial,True,5,5,0.0001,"(32,)",0.01,824,55,0.25556146999934026,0.8833668282302873,0.42484824254913917,0.05175178510562027,0.46938775510204084,0.41818181818181815,0.9739921976592978
MLP_multi_with_coords,spatial,True,6,1,0.0001,"(32,)",0.001,824,48,0.15972322783453707,0.9002362542955327,0.428779689469323,0.04529136561282158,0.38961038961038963,0.3125,0.9819587628865979
MLP_multi_with_coords,spatial,True,6,2,0.0001,"(32,)",0.001,824,49,0.16217404689190987,0.8835549703752468,0.4937357054637958,0.04176251912801787,0.4691358024691358,0.3877551020408163,0.983225806451613
MLP_multi_with_coords,spatial,True,6,3,0.0001,"(32,)",0.001,816,53,0.15768401208940747,0.9130295012240659,0.5219777867385355,0.04312567432413544,0.3333333333333333,0.22641509433962265,0.9908256880733946
MLP_multi_with_coords,spatial,True,6,4,0.0001,"(32,)",0.001,816,45,0.14341425136710872,0.9131863380890619,0.4345387833724227,0.04114114246409008,0.38461538461538464,0.3333333333333333,0.9766536964980544
MLP_multi_with_coords,spatial,True,6,5,0.0001,"(32,)",0.001,824,55,0.16511758832727605,0.9119754108050597,0.4456334908387752,0.047539566960962024,0.3855421686746988,0.2909090909090909,0.9843953185955787
MLP_multi_with_coords,spatial,True,7,1,0.0001,"(16, 8)",0.01,824,48,0.2603644442628612,0.8503006872852232,0.3991932246890599,0.051071426295528036,0.37037037037037035,0.3125,0.9768041237113402
MLP_multi_with_coords,spatial,True,7,2,0.0001,"(16, 8)",0.01,824,49,0.22202717964060592,0.8875444371296906,0.3454087900089224,0.051974946317158814,0.42696629213483145,0.3877551020408163,0.9729032258064516
