model,split_type,use_coords,species,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_single_no_coords,spatial,False,Cacophis kreftii,128,1,0.06700745748962152,0.8976377952755905,0.07142857142857142,0.012151790691007726,0.0,0.0,1.0
MLP_single_no_coords,spatial,False,Calyptotis scutirostrum,128,13,0.4132588638418836,0.7672240802675585,0.31263383855001436,0.11646048389642759,0.2962962962962963,0.3076923076923077,0.9130434782608695
MLP_single_no_coords,spatial,False,Coeranoscincus reticulatus,128,40,1.3361770567415676,0.7735795454545455,0.5837219177320337,0.23006343577562643,0.41935483870967744,0.325,0.8977272727272727
MLP_single_no_coords,spatial,False,Egernia mcpheei,128,6,0.24406856363068408,0.6939890710382514,0.16884377545740745,0.04413923370663602,0.0,0.0,1.0
MLP_single_no_coords,spatial,False,Eulamprus murrayi,128,0,0.00666550334149869,,,5.646089071901913e-05,0.0,,1.0
MLP_single_no_coords,spatial,False,Ophioscincus truncatus,128,13,0.41603162188077236,0.9083612040133779,0.5227610504463225,0.11125144577347085,0.4864864864864865,0.6923076923076923,0.8695652173913043
MLP_single_no_coords,spatial,False,Pseudechis porphyricaus,128,2,0.0762528424355706,0.7777777777777778,0.0521680216802168,0.015553298580093255,0.0,0.0,1.0
MLP_single_no_coords,spatial,False,Saltuarius swaini,128,0,0.019411625845312096,,,0.0005240543097872741,0.0,,1.0
MLP_multi_no_coords,spatial,False,Cacophis kreftii,128,1,0.08541103337004688,0.8740157480314961,0.058823529411764705,0.016750051479942303,0.0,0.0,1.0
MLP_multi_no_coords,spatial,False,Calyptotis scutirostrum,128,13,0.3630465113881466,0.728428093645485,0.27377174076285204,0.11409098991008937,0.20689655172413793,0.23076923076923078,0.8869565217391304
MLP_multi_no_coords,spatial,False,Coeranoscincus reticulatus,128,40,0.637220550835232,0.7355113636363636,0.5568086334525284,0.20961303535081074,0.13333333333333333,0.075,0.9772727272727273
MLP_multi_no_coords,spatial,False,Egernia mcpheei,128,6,0.19239813898183122,0.755464480874317,0.12257239288489287,0.04555510388677142,0.0,0.0,1.0
MLP_multi_no_coords,spatial,False,Eulamprus murrayi,128,0,0.013733452738552171,,,0.0004883379580638248,0.0,,1.0
MLP_multi_no_coords,spatial,False,Ophioscincus truncatus,128,13,0.2747430264247854,0.8849498327759197,0.49502315079238157,0.08553419299637549,0.4827586206896552,0.5384615384615384,0.9217391304347826
MLP_multi_no_coords,spatial,False,Pseudechis porphyricaus,128,2,0.08027291042713303,0.6825396825396826,0.037241379310344824,0.015897620263505885,0.0,0.0,1.0
MLP_multi_no_coords,spatial,False,Saltuarius swaini,128,0,0.023682254447346063,,,0.0015899849887163686,0.0,,1.0
MLP_single_no_coords,random,False,Cacophis kreftii,128,4,0.29494707288962957,0.655241935483871,0.14895833333333333,0.04023334760306491,0.0,0.0,0.967741935483871
MLP_single_no_coords,random,False,Calyptotis scutirostrum,128,16,0.35022425612336083,0.9330357142857142,0.5457689471939132,0.083445951803565,0.5,0.4375,0.9553571428571429
MLP_single_no_coords,random,False,Coeranoscincus reticulatus,128,20,0.354631561564709,0.8203703703703703,0.4708118767186831,0.10615955708655811,0.5,0.4,0.9629629629629629
MLP_single_no_coords,random,False,Egernia mcpheei,128,3,0.12366826004217997,0.7359999999999999,0.51,0.019613406658773584,0.3333333333333333,0.3333333333333333,0.984
MLP_single_no_coords,random,False,Eulamprus murrayi,128,1,0.08795674555629679,0.047244094488189003,0.00819672131147541,0.007888198875789353,0.0,0.0,1.0
MLP_single_no_coords,random,False,Ophioscincus truncatus,128,26,0.47936800103023725,0.7688536953242836,0.5394406230035502,0.146308792394038,0.4782608695652174,0.4230769230769231,0.9117647058823529
MLP_single_no_coords,random,False,Pseudechis porphyricaus,128,3,0.13575055852458245,0.7253333333333333,0.05633720930232558,0.0276654645637014,0.0,0.0,0.992
MLP_single_no_coords,random,False,Saltuarius swaini,128,1,0.04816893504729754,0.5433070866141732,0.01694915254237288,0.007895105419050476,0.0,0.0,1.0
MLP_multi_no_coords,random,False,Cacophis kreftii,128,4,0.1179478094984743,0.8346774193548387,0.1531781226903178,0.029087795961528787,0.0,0.0,1.0
MLP_multi_no_coords,random,False,Calyptotis scutirostrum,128,16,0.23331750489168065,0.9168526785714286,0.6891236639425927,0.07217583027276839,0.2222222222222222,0.125,1.0
MLP_multi_no_coords,random,False,Coeranoscincus reticulatus,128,20,0.3599523457887393,0.7856481481481482,0.5011296891512995,0.11080608046797522,0.3076923076923077,0.2,0.9814814814814815
MLP_multi_no_coords,random,False,Egernia mcpheei,128,3,0.08314661165451828,0.9146666666666666,0.42254901960784313,0.021079037567497228,0.0,0.0,1.0
MLP_multi_no_coords,random,False,Eulamprus murrayi,128,1,0.04936990154615353,0.4251968503937008,0.013513513513513514,0.007828521371262042,0.0,0.0,1.0
MLP_multi_no_coords,random,False,Ophioscincus truncatus,128,26,0.38429090419663925,0.8129713423831071,0.64444459024003,0.1210327512040762,0.55,0.4230769230769231,0.9705882352941176
MLP_multi_no_coords,random,False,Pseudechis porphyricaus,128,3,0.1225774852842719,0.5653333333333334,0.04733194234597213,0.02336437538911207,0.0,0.0,1.0
MLP_multi_no_coords,random,False,Saltuarius swaini,128,1,0.04541117979218072,0.6692913385826771,0.023255813953488372,0.007829121820394072,0.0,0.0,1.0
