model,split_type,use_coords,species,candidate,fold,model__alpha,model__hidden_layer_sizes,model__learning_rate_init,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_single_with_coords,random,True,Cacophis kreftii,1,1,0.0001,"(8,)",0.01,103,2,0.07526165175266708,0.900990099009901,0.12878787878787878,0.020748071793427462,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,1,2,0.0001,"(8,)",0.01,103,3,0.11309551563745238,0.9166666666666667,0.18514818514818515,0.035312954796474505,0.0,0.0,0.98
MLP_single_with_coords,random,True,Cacophis kreftii,1,3,0.0001,"(8,)",0.01,102,3,0.09275956025322206,0.9326599326599326,0.23333333333333334,0.027858216235557624,0.0,0.0,0.98989898989899
MLP_single_with_coords,random,True,Cacophis kreftii,1,4,0.0001,"(8,)",0.01,103,5,0.20460238699087677,0.8081632653061224,0.1771978021978022,0.04721238283289037,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,1,5,0.0001,"(8,)",0.01,102,3,0.07905969314630035,0.9663299663299663,0.3888888888888889,0.024363534781204902,0.0,0.0,0.98989898989899
MLP_single_with_coords,random,True,Cacophis kreftii,2,1,0.0001,"(8,)",0.001,103,2,0.0754869713691794,0.9455445544554456,0.225,0.018877083636645975,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,2,2,0.0001,"(8,)",0.001,103,3,0.12139758488208921,0.8066666666666666,0.11994949494949494,0.029739449436645304,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,2,3,0.0001,"(8,)",0.001,102,3,0.10524184351126753,0.9090909090909091,0.19771241830065361,0.027606146266560553,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,2,4,0.0001,"(8,)",0.001,103,5,0.1895625115984945,0.7326530612244898,0.17727831431079893,0.04637137730265791,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,2,5,0.0001,"(8,)",0.001,102,3,0.09350564399712251,0.9326599326599326,0.2550505050505051,0.025464309843452913,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,3,1,0.0001,"(16,)",0.01,103,2,0.089133407989124,0.8861386138613861,0.11805555555555555,0.023011681954462015,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,3,2,0.0001,"(16,)",0.01,103,3,0.11395993666785365,0.9233333333333333,0.20740740740740743,0.035423088610359386,0.0,0.0,0.98
MLP_single_with_coords,random,True,Cacophis kreftii,3,3,0.0001,"(16,)",0.01,102,3,0.09358050636670222,0.9393939393939394,0.2686868686868687,0.030276806169575607,0.0,0.0,0.9797979797979798
MLP_single_with_coords,random,True,Cacophis kreftii,3,4,0.0001,"(16,)",0.01,103,5,0.21658671639816018,0.9,0.22142857142857145,0.05999391909242161,0.0,0.0,0.9591836734693877
MLP_single_with_coords,random,True,Cacophis kreftii,3,5,0.0001,"(16,)",0.01,102,3,0.11982677661887353,0.9461279461279462,0.2686868686868687,0.03651991672193196,0.0,0.0,0.9595959595959596
MLP_single_with_coords,random,True,Cacophis kreftii,4,1,0.0001,"(16,)",0.001,103,2,0.07778697648353101,0.8861386138613861,0.14761904761904762,0.018643432518645198,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,4,2,0.0001,"(16,)",0.001,103,3,0.09722117271434828,0.9233333333333333,0.20476190476190476,0.026329172930217516,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,4,3,0.0001,"(16,)",0.001,102,3,0.09167158483559461,0.9326599326599326,0.4666666666666667,0.024393959887377355,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,4,4,0.0001,"(16,)",0.001,103,5,0.1784968782649946,0.8714285714285714,0.18500754147812973,0.04942463410903577,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,4,5,0.0001,"(16,)",0.001,102,3,0.09469583474176338,0.9259259259259259,0.29444444444444445,0.025252892386400643,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,5,1,0.0001,"(32,)",0.01,103,2,0.08125065774762275,0.900990099009901,0.12878787878787878,0.022445117439611834,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,5,2,0.0001,"(32,)",0.01,103,3,0.16143813422470568,0.88,0.14056776556776557,0.03126475497960153,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,5,3,0.0001,"(32,)",0.01,102,3,0.07776638876564015,0.9595959595959596,0.373015873015873,0.023736781412493423,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,5,4,0.0001,"(32,)",0.01,103,5,0.3070264950305862,0.8877551020408163,0.2085064935064935,0.07168736478298311,0.0,0.0,0.9489795918367347
MLP_single_with_coords,random,True,Cacophis kreftii,5,5,0.0001,"(32,)",0.01,102,3,0.1432341225746263,0.9124579124579124,0.1797619047619048,0.04716679470760342,0.0,0.0,0.9595959595959596
MLP_single_with_coords,random,True,Cacophis kreftii,6,1,0.0001,"(32,)",0.001,103,2,0.07809490261194624,0.8811881188118812,0.10833333333333334,0.019956065822064495,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,6,2,0.0001,"(32,)",0.001,103,3,0.108917099918286,0.8700000000000001,0.13690476190476192,0.02791679107639961,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,6,3,0.0001,"(32,)",0.001,102,3,0.0871679801147023,0.9629629629629629,0.3472222222222222,0.02408703975127005,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,6,4,0.0001,"(32,)",0.001,103,5,0.1827717459457463,0.863265306122449,0.1796969696969697,0.0477893469754072,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,6,5,0.0001,"(32,)",0.001,102,3,0.10069758386114303,0.8922558922558923,0.16666666666666669,0.027551458693999182,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,7,1,0.0001,"(16, 8)",0.01,103,2,0.1495448737373035,0.8712871287128712,0.11688311688311688,0.025943806541452043,0.0,0.0,0.9801980198019802
MLP_single_with_coords,random,True,Cacophis kreftii,7,2,0.0001,"(16, 8)",0.01,103,3,0.1705242831701598,0.8566666666666667,0.1264069264069264,0.03039110542649937,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,7,3,0.0001,"(16, 8)",0.01,102,3,0.06861356584029583,0.9663299663299663,0.3595238095238095,0.022562739953778974,0.0,0.0,0.98989898989899
MLP_single_with_coords,random,True,Cacophis kreftii,7,4,0.0001,"(16, 8)",0.01,103,5,0.21624209174408118,0.8918367346938776,0.20805860805860804,0.0505080628418876,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,7,5,0.0001,"(16, 8)",0.01,102,3,0.12003502542248254,0.898989898989899,0.1736111111111111,0.03769138816548562,0.0,0.0,0.9595959595959596
MLP_single_with_coords,random,True,Cacophis kreftii,8,1,0.0001,"(16, 8)",0.001,103,2,0.0907254282292969,0.8267326732673268,0.07738095238095238,0.020828128564285127,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,8,2,0.0001,"(16, 8)",0.001,103,3,0.11275631723385329,0.8866666666666667,0.1449346405228758,0.028693616330006784,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,8,3,0.0001,"(16, 8)",0.001,102,3,0.0867361931486755,0.9393939393939393,0.24074074074074076,0.025769223736033516,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,8,4,0.0001,"(16, 8)",0.001,103,5,0.16172902226603295,0.8979591836734694,0.2166440422322775,0.04685323773292794,0.0,0.0,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,8,5,0.0001,"(16, 8)",0.001,102,3,0.0899993162223918,0.9225589225589226,0.20555555555555557,0.02616454413967019,0.0,0.0,1.0
