model,split_type,use_coords,species,candidate,fold,model__alpha,model__hidden_layer_sizes,model__learning_rate_init,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_single_with_coords,spatial,True,Cacophis kreftii,1,1,0.0001,"(8,)",0.01,103,4,0.16262714654762161,0.898989898989899,0.21321428571428575,0.04191467064703791,0.0,0.0,0.98989898989899
MLP_single_with_coords,spatial,True,Cacophis kreftii,1,2,0.0001,"(8,)",0.01,103,4,0.14120222921140926,0.8560606060606061,0.14294077955068668,0.0420884694363885,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,1,3,0.0001,"(8,)",0.01,102,3,0.08527834615417769,0.936026936026936,0.31025641025641026,0.02498240902510053,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,1,4,0.0001,"(8,)",0.01,103,4,0.14963474431533738,0.8585858585858586,0.14364035087719296,0.045819246908878064,0.0,0.0,0.98989898989899
MLP_single_with_coords,spatial,True,Cacophis kreftii,1,5,0.0001,"(8,)",0.01,102,4,0.14417116589118578,0.895408163265306,0.2035931174089069,0.04714024211069,0.0,0.0,0.9693877551020408
MLP_single_with_coords,spatial,True,Cacophis kreftii,2,1,0.0001,"(8,)",0.001,103,4,0.1611945667020937,0.6767676767676768,0.14906580896967947,0.036804292681900774,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,2,2,0.0001,"(8,)",0.001,103,4,0.13120063931192605,0.8762626262626262,0.1631652661064426,0.03618709586699305,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,2,3,0.0001,"(8,)",0.001,102,3,0.09659058007465454,0.9427609427609427,0.33333333333333337,0.025383190077155487,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,2,4,0.0001,"(8,)",0.001,103,4,0.1316086749732541,0.8712121212121212,0.15757663389242338,0.03777566159179466,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,2,5,0.0001,"(8,)",0.001,102,4,0.14991855083761216,0.7576530612244897,0.12217261904761904,0.03788445676929481,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,3,1,0.0001,"(16,)",0.01,103,4,0.13536344718584375,0.9267676767676768,0.24278499278499277,0.03879805070510833,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,3,2,0.0001,"(16,)",0.01,103,4,0.19855962882966732,0.8409090909090908,0.150308229352347,0.04148304128347443,0.0,0.0,0.98989898989899
MLP_single_with_coords,spatial,True,Cacophis kreftii,3,3,0.0001,"(16,)",0.01,102,3,0.11320290312314037,0.8754208754208754,0.1369047619047619,0.0304384356871548,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,3,4,0.0001,"(16,)",0.01,103,4,0.15263895728088314,0.8181818181818181,0.11932672590567327,0.04506591081326291,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,3,5,0.0001,"(16,)",0.01,102,4,0.17844957282796475,0.8673469387755102,0.16829347123464772,0.04627708850278738,0.0,0.0,0.9795918367346939
MLP_single_with_coords,spatial,True,Cacophis kreftii,4,1,0.0001,"(16,)",0.001,103,4,0.12725889953606814,0.9166666666666666,0.2252196333078686,0.035789408824361386,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,4,2,0.0001,"(16,)",0.001,103,4,0.13044673115138172,0.8863636363636364,0.21346153846153842,0.035708526360440335,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,4,3,0.0001,"(16,)",0.001,102,3,0.10940251121073163,0.8754208754208753,0.14484126984126983,0.029955286866288143,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,4,4,0.0001,"(16,)",0.001,103,4,0.12873138048954727,0.8661616161616161,0.17559523809523808,0.03577789441208247,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,4,5,0.0001,"(16,)",0.001,102,4,0.13637556583574512,0.8571428571428571,0.15029761904761904,0.037691398845197906,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,5,1,0.0001,"(32,)",0.01,103,4,0.20223969224063193,0.9015151515151516,0.19322038255861784,0.04243457042332783,0.0,0.0,0.98989898989899
MLP_single_with_coords,spatial,True,Cacophis kreftii,5,2,0.0001,"(32,)",0.01,103,4,0.15131767516287442,0.835858585858586,0.12767556517556516,0.0382475036952746,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,5,3,0.0001,"(32,)",0.01,102,3,0.12485069192090303,0.8888888888888888,0.20295837633298933,0.030045184732066545,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,5,4,0.0001,"(32,)",0.01,103,4,0.17542776509023492,0.7979797979797979,0.10658979500891266,0.04918386390546214,0.0,0.0,0.98989898989899
MLP_single_with_coords,spatial,True,Cacophis kreftii,5,5,0.0001,"(32,)",0.01,102,4,0.1645697650575868,0.8801020408163266,0.17360646599777035,0.04234812696711044,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,6,1,0.0001,"(32,)",0.001,103,4,0.14169776536297923,0.898989898989899,0.19940476190476192,0.037064281724688175,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,6,2,0.0001,"(32,)",0.001,103,4,0.14122027128838868,0.8358585858585859,0.1303529843022253,0.03766137970171076,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,6,3,0.0001,"(32,)",0.001,102,3,0.09505656294771307,0.9090909090909091,0.18609625668449198,0.0271501406153966,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,6,4,0.0001,"(32,)",0.001,103,4,0.13760067624431757,0.8257575757575758,0.12078373015873016,0.03810765956515341,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,6,5,0.0001,"(32,)",0.001,102,4,0.1374112371001132,0.8622448979591836,0.3567845198279981,0.0366874991071409,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,7,1,0.0001,"(16, 8)",0.01,103,4,0.23968812247136215,0.8914141414141414,0.1949145299145299,0.0388097519541684,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,7,2,0.0001,"(16, 8)",0.01,103,4,0.15178956008908584,0.8434343434343435,0.14434523809523808,0.038013983815291585,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,7,3,0.0001,"(16, 8)",0.01,102,3,0.16745056406254427,0.8855218855218856,0.14761904761904762,0.037503707429891675,0.0,0.0,0.98989898989899
MLP_single_with_coords,spatial,True,Cacophis kreftii,7,4,0.0001,"(16, 8)",0.01,103,4,0.3597397709006322,0.7575757575757576,0.09272283272283272,0.05367233549886109,0.0,0.0,0.9797979797979798
MLP_single_with_coords,spatial,True,Cacophis kreftii,7,5,0.0001,"(16, 8)",0.01,102,4,0.1569057095860249,0.8877551020408164,0.19525978407557354,0.03891148338288972,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,8,1,0.0001,"(16, 8)",0.001,103,4,0.13828012824294889,0.9116161616161615,0.22234848484848482,0.03641535792781838,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,8,2,0.0001,"(16, 8)",0.001,103,4,0.14763054553895602,0.8055555555555555,0.12047275050371026,0.038070796713085935,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,8,3,0.0001,"(16, 8)",0.001,102,3,0.09859574519747771,0.8956228956228955,0.1619981325863679,0.028695887728120643,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,8,4,0.0001,"(16, 8)",0.001,103,4,0.14524737631491216,0.8181818181818181,0.11700369376999811,0.038819750883895644,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,8,5,0.0001,"(16, 8)",0.001,102,4,0.1437593370920814,0.8826530612244897,0.1744264507422402,0.04195055417564913,0.0,0.0,0.9897959183673469
MLP_single_with_coords,spatial,True,Cacophis kreftii,9,1,0.001,"(8,)",0.01,103,4,0.15646539395540449,0.8964646464646464,0.2108100233100233,0.04093434427159043,0.0,0.0,0.98989898989899
MLP_single_with_coords,spatial,True,Cacophis kreftii,9,2,0.001,"(8,)",0.01,103,4,0.14573870590695526,0.8585858585858586,0.14369747899159663,0.040951167190227476,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,9,3,0.001,"(8,)",0.01,102,3,0.08451339962766276,0.936026936026936,0.31025641025641026,0.024620022378783784,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,9,4,0.001,"(8,)",0.01,103,4,0.1492791252195246,0.8585858585858586,0.14364035087719296,0.04574097447127809,0.0,0.0,0.98989898989899
MLP_single_with_coords,spatial,True,Cacophis kreftii,9,5,0.001,"(8,)",0.01,102,4,0.14446087931142404,0.8928571428571429,0.20096153846153847,0.04718771477471855,0.0,0.0,0.9693877551020408
MLP_single_with_coords,spatial,True,Cacophis kreftii,10,1,0.001,"(8,)",0.001,103,4,0.1611166234998626,0.6767676767676768,0.14906580896967947,0.036801309454799494,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,10,2,0.001,"(8,)",0.001,103,4,0.1312103834919382,0.8762626262626262,0.1631652661064426,0.03618755115841817,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,10,3,0.001,"(8,)",0.001,102,3,0.09658405465605056,0.9427609427609427,0.33333333333333337,0.02537455524264887,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,10,4,0.001,"(8,)",0.001,103,4,0.13160065488498685,0.8712121212121212,0.15757663389242338,0.03777047472552398,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,10,5,0.001,"(8,)",0.001,102,4,0.14992563464555897,0.7576530612244897,0.12217261904761904,0.03789275337727683,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,11,1,0.001,"(16,)",0.01,103,4,0.13705992511790835,0.9191919191919191,0.2263548951048951,0.03897675417094479,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,11,2,0.001,"(16,)",0.01,103,4,0.16463520947568197,0.8333333333333334,0.12738095238095237,0.042848883383130816,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,11,3,0.001,"(16,)",0.01,102,3,0.11407058102948352,0.8720538720538722,0.13227513227513227,0.031057941609439473,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,11,4,0.001,"(16,)",0.01,103,4,0.15370546717712602,0.8232323232323232,0.12087471352177234,0.04522947437238127,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,11,5,0.001,"(16,)",0.01,102,4,0.15701063782261274,0.875,0.18335921325051757,0.04349748659535249,0.0,0.0,0.9795918367346939
MLP_single_with_coords,spatial,True,Cacophis kreftii,12,1,0.001,"(16,)",0.001,103,4,0.12717865131284073,0.9166666666666666,0.2252196333078686,0.035780464581961116,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,12,2,0.001,"(16,)",0.001,103,4,0.1306408064248296,0.8838383838383839,0.20155677655677656,0.03571254281250701,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,12,3,0.001,"(16,)",0.001,102,3,0.10942025742394343,0.8754208754208753,0.14484126984126983,0.02993532275760489,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,12,4,0.001,"(16,)",0.001,103,4,0.1291554570647978,0.8661616161616161,0.17559523809523808,0.03561231057785366,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,12,5,0.001,"(16,)",0.001,102,4,0.13634851091947367,0.8571428571428571,0.15029761904761904,0.03768011322318879,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,13,1,0.001,"(32,)",0.01,103,4,0.18617362948341865,0.8914141414141413,0.1795815295815296,0.041687380064029195,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,13,2,0.001,"(32,)",0.01,103,4,0.1595316465890914,0.8585858585858586,0.14808059587471353,0.04361436539077128,0.0,0.0,0.98989898989899
MLP_single_with_coords,spatial,True,Cacophis kreftii,13,3,0.001,"(32,)",0.01,102,3,0.12114978280723923,0.8922558922558922,0.2585139318885449,0.028844745139946688,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,13,4,0.001,"(32,)",0.01,103,4,0.2232835903867733,0.8005050505050505,0.10633928571428572,0.04373789536165103,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,13,5,0.001,"(32,)",0.01,102,4,0.1664093200078386,0.8801020408163265,0.17360646599777035,0.04251667684351338,0.0,0.0,0.9897959183673469
MLP_single_with_coords,spatial,True,Cacophis kreftii,14,1,0.001,"(32,)",0.001,103,4,0.14208946789666158,0.898989898989899,0.19940476190476192,0.037065363819344097,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,14,2,0.001,"(32,)",0.001,103,4,0.14154355882528938,0.8358585858585859,0.1303529843022253,0.03772048883812207,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,14,3,0.001,"(32,)",0.001,102,3,0.09514818826178464,0.9090909090909091,0.18609625668449198,0.02716332772646977,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,14,4,0.001,"(32,)",0.001,103,4,0.137720977312114,0.8232323232323233,0.11916035353535354,0.03811714996741286,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,14,5,0.001,"(32,)",0.001,102,4,0.1374405813246808,0.8622448979591836,0.3567845198279981,0.03667692448236583,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,15,1,0.001,"(16, 8)",0.01,103,4,0.2483779620022528,0.8939393939393938,0.1899524087024087,0.039772465138519564,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,15,2,0.001,"(16, 8)",0.01,103,4,0.15209805576106694,0.8434343434343435,0.14198232323232324,0.03815635483846204,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,15,3,0.001,"(16, 8)",0.01,102,3,0.24503205379859977,0.8417508417508418,0.1381404174573055,0.04157398020218144,0.0,0.0,0.9797979797979798
MLP_single_with_coords,spatial,True,Cacophis kreftii,15,4,0.001,"(16, 8)",0.01,103,4,0.3217262416918108,0.7777777777777778,0.0972178013557324,0.05335280926894222,0.0,0.0,0.9797979797979798
MLP_single_with_coords,spatial,True,Cacophis kreftii,15,5,0.001,"(16, 8)",0.01,102,4,0.310026454382997,0.8826530612244898,0.19641203703703702,0.05921970133425816,0.0,0.0,0.9591836734693877
MLP_single_with_coords,spatial,True,Cacophis kreftii,16,1,0.001,"(16, 8)",0.001,103,4,0.13896928465011585,0.9116161616161615,0.22889610389610388,0.03649299073447882,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,16,2,0.001,"(16, 8)",0.001,103,4,0.147367781495816,0.8055555555555555,0.12047275050371026,0.03802580840097018,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,16,3,0.001,"(16, 8)",0.001,102,3,0.09918404868224219,0.8956228956228955,0.1619981325863679,0.02883714793636243,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Cacophis kreftii,16,4,0.001,"(16, 8)",0.001,103,4,0.14554896127641054,0.8156565656565656,0.11608457612293929,0.03884029271545935,0.0,0.0,1.0
