model,split_type,use_coords,species,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
MLP_single_with_coords,spatial,True,Cacophis kreftii,128,1,0.04622111780590352,0.9921259842519685,0.5,0.009054377325069422,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Calyptotis scutirostrum,128,13,0.3785642448237034,0.7518394648829431,0.3388441241657669,0.11023873068937631,0.3333333333333333,0.38461538461538464,0.8956521739130435
MLP_single_with_coords,spatial,True,Coeranoscincus reticulatus,128,40,0.650888665398486,0.7360795454545455,0.4984194426978626,0.22121480540745822,0.2545454545454545,0.175,0.9090909090909091
MLP_single_with_coords,spatial,True,Egernia mcpheei,128,6,0.27551541253638956,0.6844262295081968,0.1554945054945055,0.04487396360572107,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Eulamprus murrayi,128,0,0.0102971320630543,,,0.0002652266157293926,0.0,,1.0
MLP_single_with_coords,spatial,True,Ophioscincus truncatus,128,13,0.3446914279879061,0.8822742474916387,0.43619765460424803,0.09072131698986463,0.5806451612903226,0.6923076923076923,0.9217391304347826
MLP_single_with_coords,spatial,True,Pseudechis porphyricaus,128,2,0.07191064968107869,0.8650793650793651,0.08703703703703704,0.015282804214230481,0.0,0.0,1.0
MLP_single_with_coords,spatial,True,Saltuarius swaini,128,0,0.0074490971306608545,,,0.00026681408385055886,0.0,,1.0
MLP_multi_with_coords,spatial,True,Cacophis kreftii,128,1,0.09784610622834372,0.8740157480314961,0.058823529411764705,0.022686187727086166,0.0,0.0,0.984251968503937
MLP_multi_with_coords,spatial,True,Calyptotis scutirostrum,128,13,0.3534590747202897,0.7003344481605351,0.28341685331870137,0.10579631007719872,0.37037037037037035,0.38461538461538464,0.9217391304347826
MLP_multi_with_coords,spatial,True,Coeranoscincus reticulatus,128,40,0.5257779507764434,0.7582386363636363,0.5283947892925743,0.18663951876836368,0.39285714285714285,0.275,0.9431818181818182
MLP_multi_with_coords,spatial,True,Egernia mcpheei,128,6,0.18562865021898395,0.7759562841530054,0.11519403082870576,0.046590208353257126,0.0,0.0,1.0
MLP_multi_with_coords,spatial,True,Eulamprus murrayi,128,0,0.01226153903101821,,,0.0003944750468990915,0.0,,1.0
MLP_multi_with_coords,spatial,True,Ophioscincus truncatus,128,13,0.29863134605940495,0.8782608695652174,0.5594455386853753,0.08866874698595043,0.5333333333333333,0.6153846153846154,0.9217391304347826
MLP_multi_with_coords,spatial,True,Pseudechis porphyricaus,128,2,0.07838182183569717,0.7142857142857143,0.09782608695652173,0.015607929102980967,0.0,0.0,1.0
MLP_multi_with_coords,spatial,True,Saltuarius swaini,128,0,0.02104878130040724,,,0.001555101412717162,0.0,,1.0
MLP_single_with_coords,random,True,Cacophis kreftii,128,4,0.2045552099209689,0.8346774193548387,0.20476190476190476,0.033464351283682255,0.0,0.0,0.9758064516129032
MLP_single_with_coords,random,True,Calyptotis scutirostrum,128,16,0.20511144676580945,0.9458705357142858,0.6593213383838383,0.06965355387256016,0.5714285714285714,0.5,0.9642857142857143
MLP_single_with_coords,random,True,Coeranoscincus reticulatus,128,20,0.3712161917740021,0.8601851851851853,0.6479216666835935,0.1024597889990812,0.5789473684210527,0.55,0.9351851851851852
MLP_single_with_coords,random,True,Egernia mcpheei,128,3,0.09655406664835031,0.7653333333333333,0.6776556776556776,0.020242456083457126,0.0,0.0,1.0
MLP_single_with_coords,random,True,Eulamprus murrayi,128,1,0.11041432543468062,0.051181102362204745,0.0078125,0.007957214121855398,0.0,0.0,1.0
MLP_single_with_coords,random,True,Ophioscincus truncatus,128,26,0.4674496213604843,0.8246606334841629,0.5246093018798899,0.13175532185394404,0.5,0.46153846153846156,0.9019607843137255
MLP_single_with_coords,random,True,Pseudechis porphyricaus,128,3,0.16868749151982415,0.536,0.033940941986919,0.027405012789883432,0.0,0.0,0.992
MLP_single_with_coords,random,True,Saltuarius swaini,128,1,0.06337695768826254,0.2992125984251969,0.011111111111111112,0.009123552755062206,0.0,0.0,1.0
MLP_multi_with_coords,random,True,Cacophis kreftii,128,4,0.1010342487857187,0.9213709677419355,0.23095238095238096,0.02708358118920641,0.0,0.0,1.0
MLP_multi_with_coords,random,True,Calyptotis scutirostrum,128,16,0.2272192404241326,0.9207589285714285,0.6118728857459677,0.0733485928003974,0.38095238095238093,0.25,0.9910714285714286
MLP_multi_with_coords,random,True,Coeranoscincus reticulatus,128,20,0.3377214440503422,0.8342592592592593,0.43283740066120213,0.11117181083151928,0.4,0.35,0.9259259259259259
MLP_multi_with_coords,random,True,Egernia mcpheei,128,3,0.08129534687678862,0.9013333333333333,0.4722222222222222,0.020267311348534302,0.0,0.0,1.0
MLP_multi_with_coords,random,True,Eulamprus murrayi,128,1,0.06571420057581968,0.07086614173228345,0.008403361344537815,0.00787628104632148,0.0,0.0,1.0
MLP_multi_with_coords,random,True,Ophioscincus truncatus,128,26,0.3648900466076608,0.8299396681749622,0.677976993951098,0.1140918864176072,0.5365853658536586,0.4230769230769231,0.9607843137254902
MLP_multi_with_coords,random,True,Pseudechis porphyricaus,128,3,0.14188501579754376,0.4586666666666666,0.03351698806244261,0.024210237659400995,0.0,0.0,1.0
MLP_multi_with_coords,random,True,Saltuarius swaini,128,1,0.0414890190645883,0.8818897637795275,0.0625,0.007754848753185789,0.0,0.0,1.0
