coordinate_setting,model,species,random,spatial,optimism_gap_auc,morans_i
with_coords,RF_multi_interactions_with_coords,Cacophis kreftii,0.9516129032258065,1.0,-0.048387096774193505,0.6400839833932392
with_coords,RF_multi_interactions_with_coords,Calyptotis scutirostrum,0.9481026785714286,0.7508361204013378,0.19726655817009076,0.2489565611207762
with_coords,RF_multi_interactions_with_coords,Coeranoscincus reticulatus,0.89375,0.8140625,0.07968750000000002,0.2063428523944629
with_coords,RF_multi_interactions_with_coords,Egernia mcpheei,0.8373333333333334,0.7329234972677595,0.10440983606557386,-0.0761099406897332
with_coords,RF_multi_interactions_with_coords,Eulamprus murrayi,0.6889763779527559,,,0.6143195579611263
with_coords,RF_multi_interactions_with_coords,Ophioscincus truncatus,0.816553544494721,0.7133779264214046,0.10317561807331632,0.439376208607097
with_coords,RF_multi_interactions_with_coords,Pseudechis porphyricaus,0.48533333333333334,0.8115079365079365,-0.3261746031746032,-0.008379100393984923
with_coords,RF_multi_interactions_with_coords,Saltuarius swaini,0.7834645669291339,,,0.7519185159255632
with_coords,RF_multi_with_coords,Cacophis kreftii,0.9395161290322581,1.0,-0.06048387096774188,0.6399190195186119
with_coords,RF_multi_with_coords,Calyptotis scutirostrum,0.9372209821428571,0.7595317725752508,0.17768920956760625,0.2473187117172123
with_coords,RF_multi_with_coords,Coeranoscincus reticulatus,0.9050925925925926,0.8090909090909091,0.09600168350168348,0.23330041449163474
with_coords,RF_multi_with_coords,Egernia mcpheei,0.86,0.7424863387978142,0.11751366120218576,-0.04820234571892462
with_coords,RF_multi_with_coords,Eulamprus murrayi,0.11023622047244094,,,0.4780892482880604
with_coords,RF_multi_with_coords,Ophioscincus truncatus,0.825603318250377,0.7535117056856188,0.07209161256475827,0.3986394802333614
with_coords,RF_multi_with_coords,Pseudechis porphyricaus,0.36133333333333334,0.7678571428571429,-0.40652380952380957,0.00792244509720843
with_coords,RF_multi_with_coords,Saltuarius swaini,0.7952755905511811,,,0.7261605581099884
with_coords,RF_single_with_coords,Cacophis kreftii,0.9526209677419355,1.0,-0.0473790322580645,0.709860831755697
with_coords,RF_single_with_coords,Calyptotis scutirostrum,0.9481026785714286,0.8217391304347826,0.12636354813664596,0.16833304480376673
with_coords,RF_single_with_coords,Coeranoscincus reticulatus,0.8974537037037037,0.8088068181818182,0.08864688552188549,0.2017009820991717
with_coords,RF_single_with_coords,Egernia mcpheei,0.872,0.6898907103825137,0.1821092896174863,-0.029230328990386998
with_coords,RF_single_with_coords,Eulamprus murrayi,0.35826771653543305,,,0.44243129648858925
with_coords,RF_single_with_coords,Ophioscincus truncatus,0.8097662141779789,0.7705685618729097,0.03919765230506922,0.35778661931711836
with_coords,RF_single_with_coords,Pseudechis porphyricaus,0.5613333333333334,0.9543650793650794,-0.39303174603174607,-0.00950044056532128
with_coords,RF_single_with_coords,Saltuarius swaini,0.7755905511811023,,,0.798194752700377
no_coords,RF_multi_interactions_no_coords,Cacophis kreftii,0.8417338709677419,1.0,-0.15826612903225812,0.5802213011979837
no_coords,RF_multi_interactions_no_coords,Calyptotis scutirostrum,0.9324776785714286,0.8163879598662207,0.1160897187052079,0.22243796993896287
no_coords,RF_multi_interactions_no_coords,Coeranoscincus reticulatus,0.8298611111111112,0.8225852272727273,0.007275883838383845,0.16800540701246583
no_coords,RF_multi_interactions_no_coords,Egernia mcpheei,0.9186666666666666,0.755464480874317,0.16320218579234969,-0.08557548926260454
no_coords,RF_multi_interactions_no_coords,Eulamprus murrayi,0.7598425196850394,,,0.16984531320035734
no_coords,RF_multi_interactions_no_coords,Ophioscincus truncatus,0.8010935143288085,0.862876254180602,-0.0617827398517935,0.2526756761258033
no_coords,RF_multi_interactions_no_coords,Pseudechis porphyricaus,0.3506666666666667,0.8015873015873016,-0.45092063492063494,0.057828115935386615
no_coords,RF_multi_interactions_no_coords,Saltuarius swaini,0.3661417322834646,,,0.41971924495598273
no_coords,RF_multi_no_coords,Cacophis kreftii,0.8044354838709677,1.0,-0.19556451612903225,0.5517054894633372
no_coords,RF_multi_no_coords,Calyptotis scutirostrum,0.9252232142857143,0.794314381270903,0.13090883301481127,0.2050128369791197
no_coords,RF_multi_no_coords,Coeranoscincus reticulatus,0.8393518518518519,0.8375,0.0018518518518518823,0.15553988117601236
no_coords,RF_multi_no_coords,Egernia mcpheei,0.9173333333333333,0.7418032786885246,0.17553005464480875,-0.06619582101673353
no_coords,RF_multi_no_coords,Eulamprus murrayi,0.3700787401574803,,,0.18781958060036477
no_coords,RF_multi_no_coords,Ophioscincus truncatus,0.8056184012066365,0.8508361204013378,-0.0452177191947013,0.2757522944865137
no_coords,RF_multi_no_coords,Pseudechis porphyricaus,0.36933333333333335,0.7698412698412699,-0.40050793650793653,0.0591468965395316
no_coords,RF_multi_no_coords,Saltuarius swaini,0.23228346456692914,,,0.33039241202446495
no_coords,RF_single_no_coords,Cacophis kreftii,0.8306451612903226,1.0,-0.16935483870967738,0.5871468815491792
no_coords,RF_single_no_coords,Calyptotis scutirostrum,0.916015625,0.8006688963210702,0.11534672867892981,0.2274080583716927
no_coords,RF_single_no_coords,Coeranoscincus reticulatus,0.8233796296296296,0.8247159090909091,-0.0013362794612794548,0.16338588498578974
no_coords,RF_single_no_coords,Egernia mcpheei,0.928,0.7295081967213115,0.19849180327868854,-0.06499963494622144
no_coords,RF_single_no_coords,Eulamprus murrayi,0.38976377952755903,,,0.14629588195296872
no_coords,RF_single_no_coords,Ophioscincus truncatus,0.7941176470588235,0.8735785953177257,-0.07946094825890226,0.1567773861553871
no_coords,RF_single_no_coords,Pseudechis porphyricaus,0.42133333333333334,0.9047619047619048,-0.48342857142857143,0.057834816656830546
no_coords,RF_single_no_coords,Saltuarius swaini,0.4566929133858268,,,0.5868876082885437
