coordinate_setting,model,species,split_type,n_test_plots,k_neighbours,permutations,morans_i,permutation_p
no_coords,RF_multi_interactions_no_coords,Cacophis kreftii,random,128,8,999,0.09791589426991794,0.009
no_coords,RF_multi_interactions_no_coords,Cacophis kreftii,spatial,128,8,999,0.5802213011979837,0.001
no_coords,RF_multi_interactions_no_coords,Calyptotis scutirostrum,random,128,8,999,-0.004971050971675545,0.922
no_coords,RF_multi_interactions_no_coords,Calyptotis scutirostrum,spatial,128,8,999,0.22243796993896287,0.001
no_coords,RF_multi_interactions_no_coords,Coeranoscincus reticulatus,random,128,8,999,0.05998749817866202,0.138
no_coords,RF_multi_interactions_no_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.16800540701246583,0.001
no_coords,RF_multi_interactions_no_coords,Egernia mcpheei,random,128,8,999,0.02612445007324789,0.52
no_coords,RF_multi_interactions_no_coords,Egernia mcpheei,spatial,128,8,999,-0.08557548926260454,0.025
no_coords,RF_multi_interactions_no_coords,Eulamprus murrayi,random,128,8,999,0.004827396609986543,0.551
no_coords,RF_multi_interactions_no_coords,Eulamprus murrayi,spatial,128,8,999,0.16984531320035734,0.002
no_coords,RF_multi_interactions_no_coords,Ophioscincus truncatus,random,128,8,999,0.082888773740202,0.04
no_coords,RF_multi_interactions_no_coords,Ophioscincus truncatus,spatial,128,8,999,0.2526756761258033,0.001
no_coords,RF_multi_interactions_no_coords,Pseudechis porphyricaus,random,128,8,999,0.02108797405201856,0.504
no_coords,RF_multi_interactions_no_coords,Pseudechis porphyricaus,spatial,128,8,999,0.057828115935386615,0.101
no_coords,RF_multi_interactions_no_coords,Saltuarius swaini,random,128,8,999,0.022821153669509993,0.319
no_coords,RF_multi_interactions_no_coords,Saltuarius swaini,spatial,128,8,999,0.41971924495598273,0.001
no_coords,RF_multi_no_coords,Cacophis kreftii,random,128,8,999,0.10047872812211164,0.015
no_coords,RF_multi_no_coords,Cacophis kreftii,spatial,128,8,999,0.5517054894633372,0.001
no_coords,RF_multi_no_coords,Calyptotis scutirostrum,random,128,8,999,0.002733186956844368,0.95
no_coords,RF_multi_no_coords,Calyptotis scutirostrum,spatial,128,8,999,0.2050128369791197,0.002
no_coords,RF_multi_no_coords,Coeranoscincus reticulatus,random,128,8,999,0.0715310410552636,0.08
no_coords,RF_multi_no_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.15553988117601236,0.003
no_coords,RF_multi_no_coords,Egernia mcpheei,random,128,8,999,0.02639799635840192,0.47
no_coords,RF_multi_no_coords,Egernia mcpheei,spatial,128,8,999,-0.06619582101673353,0.061
no_coords,RF_multi_no_coords,Eulamprus murrayi,random,128,8,999,0.004334059920236582,0.581
no_coords,RF_multi_no_coords,Eulamprus murrayi,spatial,128,8,999,0.18781958060036477,0.002
no_coords,RF_multi_no_coords,Ophioscincus truncatus,random,128,8,999,0.08095769550229309,0.043
no_coords,RF_multi_no_coords,Ophioscincus truncatus,spatial,128,8,999,0.2757522944865137,0.001
no_coords,RF_multi_no_coords,Pseudechis porphyricaus,random,128,8,999,0.012642237144555835,0.628
no_coords,RF_multi_no_coords,Pseudechis porphyricaus,spatial,128,8,999,0.0591468965395316,0.113
no_coords,RF_multi_no_coords,Saltuarius swaini,random,128,8,999,0.009467745531636047,0.612
no_coords,RF_multi_no_coords,Saltuarius swaini,spatial,128,8,999,0.33039241202446495,0.001
no_coords,RF_single_no_coords,Cacophis kreftii,random,128,8,999,0.08977586970896541,0.019
no_coords,RF_single_no_coords,Cacophis kreftii,spatial,128,8,999,0.5871468815491792,0.001
no_coords,RF_single_no_coords,Calyptotis scutirostrum,random,128,8,999,-0.028888945286462648,0.462
no_coords,RF_single_no_coords,Calyptotis scutirostrum,spatial,128,8,999,0.2274080583716927,0.001
no_coords,RF_single_no_coords,Coeranoscincus reticulatus,random,128,8,999,0.035829989817068385,0.408
no_coords,RF_single_no_coords,Coeranoscincus reticulatus,spatial,128,8,999,0.16338588498578974,0.002
no_coords,RF_single_no_coords,Egernia mcpheei,random,128,8,999,0.00854384076067457,0.823
no_coords,RF_single_no_coords,Egernia mcpheei,spatial,128,8,999,-0.06499963494622144,0.066
no_coords,RF_single_no_coords,Eulamprus murrayi,random,128,8,999,0.0035237058004754388,0.741
no_coords,RF_single_no_coords,Eulamprus murrayi,spatial,128,8,999,0.14629588195296872,0.01
no_coords,RF_single_no_coords,Ophioscincus truncatus,random,128,8,999,0.07631992915011719,0.049
no_coords,RF_single_no_coords,Ophioscincus truncatus,spatial,128,8,999,0.1567773861553871,0.002
no_coords,RF_single_no_coords,Pseudechis porphyricaus,random,128,8,999,0.0332727184018976,0.349
no_coords,RF_single_no_coords,Pseudechis porphyricaus,spatial,128,8,999,0.057834816656830546,0.112
no_coords,RF_single_no_coords,Saltuarius swaini,random,128,8,999,0.06564426054803939,0.041
no_coords,RF_single_no_coords,Saltuarius swaini,spatial,128,8,999,0.5868876082885437,0.001
