coordinate_setting,model,species,random,spatial,optimism_gap_auc,morans_i
no_coords,RF_multi_interactions_no_coords,Cacophis kreftii,0.8417338709677419,1.0,-0.15826612903225812,0.5802213011979837
no_coords,RF_multi_interactions_no_coords,Calyptotis scutirostrum,0.9324776785714286,0.8163879598662207,0.1160897187052079,0.22243796993896287
no_coords,RF_multi_interactions_no_coords,Coeranoscincus reticulatus,0.8298611111111112,0.8225852272727273,0.007275883838383845,0.16800540701246583
no_coords,RF_multi_interactions_no_coords,Egernia mcpheei,0.9186666666666666,0.755464480874317,0.16320218579234969,-0.08557548926260454
no_coords,RF_multi_interactions_no_coords,Eulamprus murrayi,0.7598425196850394,,,0.16984531320035734
no_coords,RF_multi_interactions_no_coords,Ophioscincus truncatus,0.8010935143288085,0.862876254180602,-0.0617827398517935,0.2526756761258033
no_coords,RF_multi_interactions_no_coords,Pseudechis porphyricaus,0.3506666666666667,0.8015873015873016,-0.45092063492063494,0.057828115935386615
no_coords,RF_multi_interactions_no_coords,Saltuarius swaini,0.3661417322834646,,,0.41971924495598273
no_coords,RF_multi_no_coords,Cacophis kreftii,0.8044354838709677,1.0,-0.19556451612903225,0.5517054894633372
no_coords,RF_multi_no_coords,Calyptotis scutirostrum,0.9252232142857143,0.794314381270903,0.13090883301481127,0.2050128369791197
no_coords,RF_multi_no_coords,Coeranoscincus reticulatus,0.8393518518518519,0.8375,0.0018518518518518823,0.15553988117601236
no_coords,RF_multi_no_coords,Egernia mcpheei,0.9173333333333333,0.7418032786885246,0.17553005464480875,-0.06619582101673353
no_coords,RF_multi_no_coords,Eulamprus murrayi,0.3700787401574803,,,0.18781958060036477
no_coords,RF_multi_no_coords,Ophioscincus truncatus,0.8056184012066365,0.8508361204013378,-0.0452177191947013,0.2757522944865137
no_coords,RF_multi_no_coords,Pseudechis porphyricaus,0.36933333333333335,0.7698412698412699,-0.40050793650793653,0.0591468965395316
no_coords,RF_multi_no_coords,Saltuarius swaini,0.23228346456692914,,,0.33039241202446495
no_coords,RF_single_no_coords,Cacophis kreftii,0.8306451612903226,1.0,-0.16935483870967738,0.5871468815491792
no_coords,RF_single_no_coords,Calyptotis scutirostrum,0.916015625,0.8006688963210702,0.11534672867892981,0.2274080583716927
no_coords,RF_single_no_coords,Coeranoscincus reticulatus,0.8233796296296296,0.8247159090909091,-0.0013362794612794548,0.16338588498578974
no_coords,RF_single_no_coords,Egernia mcpheei,0.928,0.7295081967213115,0.19849180327868854,-0.06499963494622144
no_coords,RF_single_no_coords,Eulamprus murrayi,0.38976377952755903,,,0.14629588195296872
no_coords,RF_single_no_coords,Ophioscincus truncatus,0.7941176470588235,0.8735785953177257,-0.07946094825890226,0.1567773861553871
no_coords,RF_single_no_coords,Pseudechis porphyricaus,0.42133333333333334,0.9047619047619048,-0.48342857142857143,0.057834816656830546
no_coords,RF_single_no_coords,Saltuarius swaini,0.4566929133858268,,,0.5868876082885437
