coordinate_setting,model,species,random,spatial,optimism_gap_auc,morans_i
with_coords,RF_multi_interactions_with_coords,Cacophis kreftii,0.9516129032258065,1.0,-0.048387096774193505,0.6400839833932392
with_coords,RF_multi_interactions_with_coords,Calyptotis scutirostrum,0.9481026785714286,0.7508361204013378,0.19726655817009076,0.2489565611207762
with_coords,RF_multi_interactions_with_coords,Coeranoscincus reticulatus,0.89375,0.8140625,0.07968750000000002,0.2063428523944629
with_coords,RF_multi_interactions_with_coords,Egernia mcpheei,0.8373333333333334,0.7329234972677595,0.10440983606557386,-0.0761099406897332
with_coords,RF_multi_interactions_with_coords,Eulamprus murrayi,0.6889763779527559,,,0.6143195579611263
with_coords,RF_multi_interactions_with_coords,Ophioscincus truncatus,0.816553544494721,0.7133779264214046,0.10317561807331632,0.439376208607097
with_coords,RF_multi_interactions_with_coords,Pseudechis porphyricaus,0.48533333333333334,0.8115079365079365,-0.3261746031746032,-0.008379100393984923
with_coords,RF_multi_interactions_with_coords,Saltuarius swaini,0.7834645669291339,,,0.7519185159255632
with_coords,RF_multi_with_coords,Cacophis kreftii,0.9395161290322581,1.0,-0.06048387096774188,0.6399190195186119
with_coords,RF_multi_with_coords,Calyptotis scutirostrum,0.9372209821428571,0.7595317725752508,0.17768920956760625,0.2473187117172123
with_coords,RF_multi_with_coords,Coeranoscincus reticulatus,0.9050925925925926,0.8090909090909091,0.09600168350168348,0.23330041449163474
with_coords,RF_multi_with_coords,Egernia mcpheei,0.86,0.7424863387978142,0.11751366120218576,-0.04820234571892462
with_coords,RF_multi_with_coords,Eulamprus murrayi,0.11023622047244094,,,0.4780892482880604
with_coords,RF_multi_with_coords,Ophioscincus truncatus,0.825603318250377,0.7535117056856188,0.07209161256475827,0.3986394802333614
with_coords,RF_multi_with_coords,Pseudechis porphyricaus,0.36133333333333334,0.7678571428571429,-0.40652380952380957,0.00792244509720843
with_coords,RF_multi_with_coords,Saltuarius swaini,0.7952755905511811,,,0.7261605581099884
with_coords,RF_single_with_coords,Cacophis kreftii,0.9526209677419355,1.0,-0.0473790322580645,0.709860831755697
with_coords,RF_single_with_coords,Calyptotis scutirostrum,0.9481026785714286,0.8217391304347826,0.12636354813664596,0.16833304480376673
with_coords,RF_single_with_coords,Coeranoscincus reticulatus,0.8974537037037037,0.8088068181818182,0.08864688552188549,0.2017009820991717
with_coords,RF_single_with_coords,Egernia mcpheei,0.872,0.6898907103825137,0.1821092896174863,-0.029230328990386998
with_coords,RF_single_with_coords,Eulamprus murrayi,0.35826771653543305,,,0.44243129648858925
with_coords,RF_single_with_coords,Ophioscincus truncatus,0.8097662141779789,0.7705685618729097,0.03919765230506922,0.35778661931711836
with_coords,RF_single_with_coords,Pseudechis porphyricaus,0.5613333333333334,0.9543650793650794,-0.39303174603174607,-0.00950044056532128
with_coords,RF_single_with_coords,Saltuarius swaini,0.7755905511811023,,,0.798194752700377
