model,split_type,use_coords,candidate,fold,classifier__class_weight,classifier__max_depth,classifier__max_features,classifier__min_samples_leaf,classifier__n_estimators,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
RF_multi_interactions_no_coords,random,False,1,1,balanced,,sqrt,1,300,824,52,0.18347608805301424,0.8837061578318054,0.41696182589494196,0.04985021574992327,0.54,0.5192307692307693,0.9727979274611399
RF_multi_interactions_no_coords,random,False,1,2,balanced,,sqrt,1,300,824,52,0.16972495196620044,0.9022643483459545,0.373040546702268,0.050308576051972906,0.37209302325581395,0.3076923076923077,0.9766839378238342
RF_multi_interactions_no_coords,random,False,1,3,balanced,,sqrt,1,300,824,50,0.20235751216806389,0.8675322997416021,0.44176910443825834,0.05408670199586947,0.46296296296296297,0.5,0.9573643410852714
RF_multi_interactions_no_coords,random,False,1,4,balanced,,sqrt,1,300,816,49,0.19868643465244243,0.9020434771040098,0.4094468504574878,0.05038810784334315,0.5,0.5510204081632653,0.9582790091264668
RF_multi_interactions_no_coords,random,False,1,5,balanced,,sqrt,1,300,816,48,0.17395447084635104,0.8970947265625001,0.4433416714309456,0.050423611111317,0.5,0.5416666666666666,0.9609375
RF_multi_interactions_no_coords,random,False,2,1,balanced,,sqrt,1,500,824,52,0.18033676958819275,0.8915279992028696,0.426137020573777,0.04953319902928641,0.5346534653465347,0.5192307692307693,0.9715025906735751
RF_multi_interactions_no_coords,random,False,2,2,balanced,,sqrt,1,500,824,52,0.17105647855215622,0.8978925866879235,0.3714675715056429,0.050181480582682035,0.37209302325581395,0.3076923076923077,0.9766839378238342
RF_multi_interactions_no_coords,random,False,2,3,balanced,,sqrt,1,500,824,50,0.19068910663917524,0.8749095607235143,0.45237033205835203,0.053744325242860436,0.4716981132075472,0.5,0.9599483204134367
RF_multi_interactions_no_coords,random,False,2,4,balanced,,sqrt,1,500,816,49,0.1988487781582031,0.9023494665141154,0.4068169244036,0.050459323529552694,0.5,0.5510204081632653,0.9582790091264668
RF_multi_interactions_no_coords,random,False,2,5,balanced,,sqrt,1,500,816,48,0.17360449063235844,0.8993598090277779,0.4344121468874879,0.05060863725508333,0.49523809523809526,0.5416666666666666,0.9596354166666666
RF_multi_interactions_no_coords,random,False,3,1,balanced,,sqrt,5,300,824,52,0.27492580867849137,0.8975936628138701,0.48573410615704465,0.08332684332628373,0.4406779661016949,0.75,0.8886010362694301
RF_multi_interactions_no_coords,random,False,3,2,balanced,,sqrt,5,300,824,52,0.2572287284758037,0.902675368672778,0.398856684764222,0.07568609233508786,0.42857142857142855,0.6346153846153846,0.9106217616580311
RF_multi_interactions_no_coords,random,False,3,3,balanced,,sqrt,5,300,824,50,0.2973549224603318,0.883359173126615,0.49969297821760805,0.09226322151518128,0.3979591836734694,0.78,0.8617571059431525
RF_multi_interactions_no_coords,random,False,3,4,balanced,,sqrt,5,300,816,49,0.28289755834543784,0.9032009153074528,0.42093853458129316,0.08516080694878223,0.42528735632183906,0.7551020408163265,0.8852672750977836
RF_multi_interactions_no_coords,random,False,3,5,balanced,,sqrt,5,300,816,48,0.28805950599976,0.8979220920138888,0.39739673344786264,0.08823509719749827,0.3668639053254438,0.6458333333333334,0.8828125
RF_multi_interactions_no_coords,random,False,4,1,balanced,,sqrt,5,500,824,52,0.2742834654026254,0.8988142686329215,0.49225505882927456,0.08295916722192698,0.4406779661016949,0.75,0.8886010362694301
RF_multi_interactions_no_coords,random,False,4,2,balanced,,sqrt,5,500,824,52,0.25728845733545785,0.9024262654444002,0.38806146953687987,0.07575638286796474,0.43312101910828027,0.6538461538461539,0.9080310880829016
RF_multi_interactions_no_coords,random,False,4,3,balanced,,sqrt,5,500,824,50,0.2962346263205598,0.8826356589147287,0.4991782220536289,0.09160370774671191,0.4083769633507853,0.78,0.8682170542635659
RF_multi_interactions_no_coords,random,False,4,4,balanced,,sqrt,5,500,816,49,0.2833856628997503,0.9027219753612005,0.41514981783332655,0.08542178621900905,0.42105263157894735,0.7346938775510204,0.8878748370273793
RF_multi_interactions_no_coords,random,False,4,5,balanced,,sqrt,5,500,816,48,0.28745611642587376,0.898193359375,0.39652030374246594,0.08805795455961625,0.36470588235294116,0.6458333333333334,0.8815104166666666
RF_multi_interactions_no_coords,random,False,5,1,balanced,20.0,sqrt,1,300,824,52,0.1950376132377846,0.8819624352331606,0.41088904203979715,0.05333126976194268,0.5046728971962616,0.5192307692307693,0.9637305699481865
RF_multi_interactions_no_coords,random,False,5,2,balanced,20.0,sqrt,1,300,824,52,0.180996587331361,0.9021522518931845,0.366145066620722,0.05217666419557918,0.3516483516483517,0.3076923076923077,0.9702072538860104
RF_multi_interactions_no_coords,random,False,5,3,balanced,20.0,sqrt,1,300,824,50,0.20824751151145135,0.8709302325581395,0.4442664034579128,0.05810087144556525,0.4482758620689655,0.52,0.9483204134366925
RF_multi_interactions_no_coords,random,False,5,4,balanced,20.0,sqrt,1,300,816,49,0.19262017254042996,0.9090812335364393,0.42014871131006887,0.05262733457348342,0.48214285714285715,0.5510204081632653,0.9530638852672751
RF_multi_interactions_no_coords,random,False,5,5,balanced,20.0,sqrt,1,300,816,48,0.18930103497807657,0.8959825303819444,0.4460147760350255,0.053672027784254846,0.49056603773584906,0.5416666666666666,0.9583333333333334
RF_multi_interactions_no_coords,random,False,6,1,balanced,20.0,sqrt,1,500,824,52,0.19302225839492773,0.8868822239936229,0.42103716909411726,0.05284876188169608,0.5046728971962616,0.5192307692307693,0.9637305699481865
RF_multi_interactions_no_coords,random,False,6,2,balanced,20.0,sqrt,1,500,824,52,0.18136390001365474,0.9000224192905539,0.3638244824775354,0.05225378976696668,0.3516483516483517,0.3076923076923077,0.9702072538860104
RF_multi_interactions_no_coords,random,False,6,3,balanced,20.0,sqrt,1,500,824,50,0.20515518778224484,0.8733333333333334,0.4511141343454535,0.05799305296758893,0.4482758620689655,0.52,0.9483204134366925
RF_multi_interactions_no_coords,random,False,6,4,balanced,20.0,sqrt,1,500,816,49,0.19419548764482486,0.9101189367533193,0.4190039057458584,0.052814232400289,0.4864864864864865,0.5510204081632653,0.954367666232073
RF_multi_interactions_no_coords,random,False,6,5,balanced,20.0,sqrt,1,500,816,48,0.18951787523713767,0.8961588541666666,0.4432875239418982,0.053728533373771994,0.48598130841121495,0.5416666666666666,0.95703125
RF_multi_interactions_no_coords,random,False,7,1,balanced,20.0,sqrt,5,300,824,52,0.2781176079290932,0.8988142686329215,0.4891074468286568,0.083715089655048,0.42045454545454547,0.7115384615384616,0.8873056994818653
RF_multi_interactions_no_coords,random,False,7,2,balanced,20.0,sqrt,5,300,824,52,0.26043714449597966,0.9042198086887206,0.4083470786616472,0.07581963997829523,0.41830065359477125,0.6153846153846154,0.9106217616580311
RF_multi_interactions_no_coords,random,False,7,3,balanced,20.0,sqrt,5,300,824,50,0.30019372743110484,0.8817054263565892,0.4895880048256866,0.09272075362505511,0.39593908629441626,0.78,0.8604651162790697
RF_multi_interactions_no_coords,random,False,7,4,balanced,20.0,sqrt,5,300,816,49,0.28600143923630716,0.9034137775057872,0.4183794944900763,0.0857872837627951,0.4090909090909091,0.7346938775510204,0.8813559322033898
RF_multi_interactions_no_coords,random,False,7,5,balanced,20.0,sqrt,5,300,816,48,0.2929276733044591,0.895534939236111,0.3925429774477692,0.08931143062208395,0.3668639053254438,0.6458333333333334,0.8828125
RF_multi_interactions_no_coords,random,False,8,1,balanced,20.0,sqrt,5,500,824,52,0.27805138349154396,0.8984655241131925,0.48775633472785324,0.08358500526862005,0.44692737430167595,0.7692307692307693,0.8873056994818653
RF_multi_interactions_no_coords,random,False,8,2,balanced,20.0,sqrt,5,500,824,52,0.26039549064296164,0.9037963332004783,0.39913533719951627,0.07592115906088304,0.41830065359477125,0.6153846153846154,0.9106217616580311
RF_multi_interactions_no_coords,random,False,8,3,balanced,20.0,sqrt,5,500,824,50,0.300673589379683,0.881343669250646,0.4963377630928014,0.09268690563276925,0.40625,0.78,0.8669250645994832
RF_multi_interactions_no_coords,random,False,8,4,balanced,20.0,sqrt,5,500,816,49,0.2867731013547048,0.9032275230822446,0.4138811344052403,0.08600723636208221,0.4186046511627907,0.7346938775510204,0.8865710560625815
RF_multi_interactions_no_coords,random,False,8,5,balanced,20.0,sqrt,5,500,816,48,0.2917783645019254,0.8975423177083333,0.39855850406502485,0.08890551151224861,0.36257309941520466,0.6458333333333334,0.8802083333333334
