model,split_type,use_coords,candidate,fold,classifier__class_weight,classifier__max_depth,classifier__max_features,classifier__min_samples_leaf,classifier__n_estimators,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
RF_multi_interactions_no_coords,spatial,False,1,1,balanced,,sqrt,1,300,824,50,0.18277218533075087,0.910516795865633,0.4466988780046817,0.051501170712135516,0.45454545454545453,0.5,0.9547803617571059
RF_multi_interactions_no_coords,spatial,False,1,2,balanced,,sqrt,1,300,824,52,0.19899601452216029,0.8661070147469111,0.39719295375822855,0.0529763190401006,0.4380952380952381,0.4423076923076923,0.961139896373057
RF_multi_interactions_no_coords,spatial,False,1,3,balanced,,sqrt,1,300,816,48,0.21510461795656066,0.830471462673611,0.32069162621248715,0.05352037908514133,0.3448275862068966,0.3125,0.96875
RF_multi_interactions_no_coords,spatial,False,1,4,balanced,,sqrt,1,300,816,49,0.17337142360179125,0.8891520102173855,0.4356195709443629,0.04937572167774128,0.46511627906976744,0.40816326530612246,0.9778357235984355
RF_multi_interactions_no_coords,spatial,False,1,5,balanced,,sqrt,1,300,824,51,0.20462724236677415,0.8875275854196789,0.41974835424409257,0.05299302373267301,0.45454545454545453,0.49019607843137253,0.9560155239327296
RF_multi_interactions_no_coords,spatial,False,2,1,balanced,,sqrt,1,500,824,50,0.18259023108218944,0.9102583979328165,0.4481097020288073,0.05139244417488107,0.42201834862385323,0.46,0.9534883720930233
RF_multi_interactions_no_coords,spatial,False,2,2,balanced,,sqrt,1,500,824,52,0.19667273231541543,0.8724965125548025,0.4027829245451562,0.05311032767006433,0.4339622641509434,0.4423076923076923,0.9598445595854922
RF_multi_interactions_no_coords,spatial,False,2,3,balanced,,sqrt,1,500,816,48,0.20422663455486031,0.8344455295138891,0.33733606109744463,0.05337786029424632,0.36363636363636365,0.3333333333333333,0.96875
RF_multi_interactions_no_coords,spatial,False,2,4,balanced,,sqrt,1,500,816,49,0.17144625985579753,0.8919458265705239,0.44162194054471493,0.0487510490197598,0.47058823529411764,0.40816326530612246,0.9791395045632334
RF_multi_interactions_no_coords,spatial,False,2,5,balanced,,sqrt,1,500,824,51,0.2035644753802887,0.8883646602237273,0.4170576652607334,0.05301387378657039,0.44036697247706424,0.47058823529411764,0.9560155239327296
RF_multi_interactions_no_coords,spatial,False,3,1,balanced,,sqrt,5,300,824,50,0.2901422039378235,0.9143152454780362,0.488441051403055,0.08887218759441964,0.43820224719101125,0.78,0.8850129198966409
RF_multi_interactions_no_coords,spatial,False,3,2,balanced,,sqrt,5,300,824,52,0.2897837692138937,0.8780888800318853,0.41256504205237526,0.08793302113194493,0.4418604651162791,0.7307692307692307,0.8937823834196891
RF_multi_interactions_no_coords,spatial,False,3,3,balanced,,sqrt,5,300,816,48,0.29261925977056924,0.8323567708333334,0.3094382360337025,0.08836526522506087,0.3668639053254438,0.6458333333333334,0.8828125
RF_multi_interactions_no_coords,spatial,False,3,4,balanced,,sqrt,5,300,816,49,0.2698005069401519,0.9022962509645318,0.4728142731937923,0.08025483788163672,0.38271604938271603,0.6326530612244898,0.8930899608865711
RF_multi_interactions_no_coords,spatial,False,3,5,balanced,,sqrt,5,300,824,51,0.3072752318702546,0.8798290338127489,0.3723404408697606,0.0929593972001725,0.42328042328042326,0.7843137254901961,0.8732212160413971
RF_multi_interactions_no_coords,spatial,False,4,1,balanced,,sqrt,5,500,824,50,0.2900629086979337,0.9140568475452195,0.48707844695784597,0.08852162150779519,0.4262295081967213,0.78,0.8785529715762274
RF_multi_interactions_no_coords,spatial,False,4,2,balanced,,sqrt,5,500,824,52,0.2877692080662138,0.8839178955759266,0.42493512397871636,0.08750060919885196,0.45348837209302323,0.75,0.8950777202072538
RF_multi_interactions_no_coords,spatial,False,4,3,balanced,,sqrt,5,500,816,48,0.2923691919994823,0.8353407118055556,0.3006946663162155,0.08875881149065812,0.36470588235294116,0.6458333333333334,0.8815104166666666
RF_multi_interactions_no_coords,spatial,False,4,4,balanced,,sqrt,5,500,816,49,0.26973715107025303,0.9039991485512067,0.47137242779655547,0.0802538949622305,0.3803680981595092,0.6326530612244898,0.8917861799217731
RF_multi_interactions_no_coords,spatial,False,4,5,balanced,,sqrt,5,500,824,51,0.3058551815429347,0.880247571214773,0.37130465571469223,0.0925062083170441,0.43010752688172044,0.7843137254901961,0.8771021992238034
RF_multi_interactions_no_coords,spatial,False,5,1,balanced,20.0,sqrt,1,300,824,50,0.19706815882120526,0.9114728682170542,0.45869557651599263,0.0555626783253381,0.46296296296296297,0.5,0.9573643410852714
RF_multi_interactions_no_coords,spatial,False,5,2,balanced,20.0,sqrt,1,300,824,52,0.20338215538436613,0.872234954165006,0.3923795198906823,0.058075635372167755,0.4406779661016949,0.5,0.9481865284974094
RF_multi_interactions_no_coords,spatial,False,5,3,balanced,20.0,sqrt,1,300,816,48,0.20740527902043251,0.8357611762152779,0.31646136826363047,0.057875975589282196,0.3541666666666667,0.3541666666666667,0.9596354166666666
RF_multi_interactions_no_coords,spatial,False,5,4,balanced,20.0,sqrt,1,300,816,49,0.18899005968559007,0.8888726285820717,0.4369991484269156,0.05265693939688038,0.4444444444444444,0.40816326530612246,0.9726205997392438
RF_multi_interactions_no_coords,spatial,False,5,5,balanced,20.0,sqrt,1,300,824,51,0.20666188426772733,0.8903432006696599,0.4239835323165802,0.05761839436765588,0.4462809917355372,0.5294117647058824,0.944372574385511
RF_multi_interactions_no_coords,spatial,False,6,1,balanced,20.0,sqrt,1,500,824,50,0.19641053128849967,0.9141602067183463,0.46620919853044873,0.055427765072494625,0.4727272727272727,0.52,0.9560723514211886
RF_multi_interactions_no_coords,spatial,False,6,2,balanced,20.0,sqrt,1,500,824,52,0.2040041217943788,0.8726210641689917,0.3997918903771906,0.058203442376180047,0.4482758620689655,0.5,0.9507772020725389
