model,split_type,use_coords,candidate,fold,classifier__class_weight,classifier__max_depth,classifier__max_features,classifier__min_samples_leaf,classifier__n_estimators,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
RF_multi_interactions_with_coords,random,True,1,1,balanced,,sqrt,1,300,824,52,0.18721222214775804,0.9011309286568354,0.4555259993076654,0.04723042934218541,0.5321100917431193,0.5576923076923077,0.9637305699481865
RF_multi_interactions_with_coords,random,True,1,2,balanced,,sqrt,1,300,824,52,0.1489392926939584,0.9306122957353528,0.4575336326009375,0.044388983279622846,0.42696629213483145,0.36538461538461536,0.9766839378238342
RF_multi_interactions_with_coords,random,True,1,3,balanced,,sqrt,1,300,824,50,0.1918699823439711,0.8959173126614987,0.4428386502389252,0.05391462810163053,0.4918032786885246,0.6,0.9457364341085271
RF_multi_interactions_with_coords,random,True,1,4,balanced,,sqrt,1,300,816,49,0.18671696751697522,0.9172099087353323,0.44371138334994464,0.04866732897627015,0.5405405405405406,0.6122448979591837,0.9582790091264668
RF_multi_interactions_with_coords,random,True,1,5,balanced,,sqrt,1,300,816,48,0.18553934714879836,0.908298068576389,0.5119330369933424,0.04944013671048965,0.48598130841121495,0.5416666666666666,0.95703125
RF_multi_interactions_with_coords,random,True,2,1,balanced,,sqrt,1,500,824,52,0.1777307673484033,0.9022020725388602,0.45702883460556865,0.046976050971048545,0.5225225225225225,0.5576923076923077,0.961139896373057
RF_multi_interactions_with_coords,random,True,2,2,balanced,,sqrt,1,500,824,52,0.14880836846642856,0.9305873854125148,0.45382438246246354,0.0445067961166869,0.4044943820224719,0.34615384615384615,0.9753886010362695
RF_multi_interactions_with_coords,random,True,2,3,balanced,,sqrt,1,500,824,50,0.18894184644440573,0.9007622739018087,0.4488002840786282,0.05348005097104248,0.48333333333333334,0.58,0.9470284237726099
RF_multi_interactions_with_coords,random,True,2,4,balanced,,sqrt,1,500,816,49,0.18684033689444343,0.9164648910411621,0.44711516475356494,0.04867925980409069,0.5321100917431193,0.5918367346938775,0.9595827900912647
RF_multi_interactions_with_coords,random,True,2,5,balanced,,sqrt,1,500,816,48,0.17724064391793745,0.9100206163194444,0.4993240161355432,0.04975561519628554,0.49056603773584906,0.5416666666666666,0.9583333333333334
RF_multi_interactions_with_coords,random,True,3,1,balanced,,sqrt,5,300,824,52,0.2394936805694985,0.9206357114388203,0.522846680195642,0.07169750190860491,0.5031446540880503,0.7692307692307693,0.9132124352331606
RF_multi_interactions_with_coords,random,True,3,2,balanced,,sqrt,5,300,824,52,0.22330198257467526,0.9336388999601435,0.48556501998912527,0.06482587940538619,0.4594594594594595,0.6538461538461539,0.9196891191709845
RF_multi_interactions_with_coords,random,True,3,3,balanced,,sqrt,5,300,824,50,0.26969424351963633,0.9045736434108528,0.48721199385209285,0.08408819246317156,0.44808743169398907,0.82,0.8811369509043928
RF_multi_interactions_with_coords,random,True,3,4,balanced,,sqrt,5,300,816,49,0.24975768517157101,0.9163451560545992,0.4332581848223791,0.07438701350686124,0.46540880503144655,0.7551020408163265,0.9048239895697523
RF_multi_interactions_with_coords,random,True,3,5,balanced,,sqrt,5,300,816,48,0.2688859910555875,0.9117838541666667,0.444538838501902,0.08249462288014489,0.4277456647398844,0.7708333333333334,0.8854166666666666
RF_multi_interactions_with_coords,random,True,4,1,balanced,,sqrt,5,500,824,52,0.23987365734221053,0.9204115185332802,0.5218507212713078,0.07184359321775578,0.5,0.7692307692307693,0.9119170984455959
RF_multi_interactions_with_coords,random,True,4,2,balanced,,sqrt,5,500,824,52,0.22257400700335742,0.9337634515743325,0.4767617001896419,0.06469843463566675,0.46258503401360546,0.6538461538461539,0.9209844559585493
RF_multi_interactions_with_coords,random,True,4,3,balanced,,sqrt,5,500,824,50,0.2685119019667738,0.9053488372093024,0.48788174377888505,0.08387773539858573,0.44808743169398907,0.82,0.8811369509043928
RF_multi_interactions_with_coords,random,True,4,4,balanced,,sqrt,5,500,816,49,0.24864432359260052,0.917010350424394,0.43450907562584684,0.07421129962153852,0.45962732919254656,0.7551020408163265,0.9022164276401564
RF_multi_interactions_with_coords,random,True,4,5,balanced,,sqrt,5,500,816,48,0.2687559961673451,0.9107259114583334,0.4502291048223683,0.08253900458786535,0.4228571428571429,0.7708333333333334,0.8828125
RF_multi_interactions_with_coords,random,True,5,1,balanced,20.0,sqrt,1,300,824,52,0.17144110500661353,0.912938421681945,0.45514291448545624,0.048672294505100126,0.5309734513274337,0.5769230769230769,0.9598445595854922
RF_multi_interactions_with_coords,random,True,5,2,balanced,20.0,sqrt,1,300,824,52,0.15952276917863817,0.926539457951375,0.43218666773279013,0.047387698807296916,0.375,0.34615384615384615,0.966321243523316
RF_multi_interactions_with_coords,random,True,5,3,balanced,20.0,sqrt,1,300,824,50,0.198041934610638,0.8906330749354007,0.42898471121143905,0.05794039685251563,0.48854961832061067,0.64,0.9366925064599483
RF_multi_interactions_with_coords,random,True,5,4,balanced,20.0,sqrt,1,300,816,49,0.1824417944670921,0.9215868876885825,0.45357828623552493,0.04936749408300686,0.5517241379310345,0.6530612244897959,0.954367666232073
RF_multi_interactions_with_coords,random,True,5,5,balanced,20.0,sqrt,1,300,816,48,0.17849509503279312,0.9135335286458335,0.5041814994676915,0.05331465985485739,0.4482758620689655,0.5416666666666666,0.9453125
RF_multi_interactions_with_coords,random,True,6,1,balanced,20.0,sqrt,1,500,824,52,0.17201979494123487,0.912813870067756,0.4548637391628529,0.048796847464855096,0.5132743362831859,0.5576923076923077,0.9585492227979274
RF_multi_interactions_with_coords,random,True,6,2,balanced,20.0,sqrt,1,500,824,52,0.15980021871354513,0.9246213630928657,0.43224001259184935,0.04735814529118734,0.3711340206185567,0.34615384615384615,0.9650259067357513
RF_multi_interactions_with_coords,random,True,6,3,balanced,20.0,sqrt,1,500,824,50,0.197409487586084,0.8936046511627908,0.4370002544648774,0.057526671555331074,0.48120300751879697,0.64,0.9341085271317829
RF_multi_interactions_with_coords,random,True,6,4,balanced,20.0,sqrt,1,500,816,49,0.17531890331498032,0.9189527179841949,0.4471109252333647,0.049562344424162366,0.5470085470085471,0.6530612244897959,0.9530638852672751
RF_multi_interactions_with_coords,random,True,6,5,balanced,20.0,sqrt,1,500,816,48,0.17972036644750097,0.9112413194444445,0.49537560755204707,0.053618115737710755,0.45217391304347826,0.5416666666666666,0.9466145833333334
RF_multi_interactions_with_coords,random,True,7,1,balanced,20.0,sqrt,5,300,824,52,0.24058939848357894,0.9199880430450378,0.5244017203882018,0.07191779405443424,0.5,0.7692307692307693,0.9119170984455959
RF_multi_interactions_with_coords,random,True,7,2,balanced,20.0,sqrt,5,300,824,52,0.22429042272293145,0.9349840573933839,0.48460741920526146,0.06494779000797483,0.4697986577181208,0.6730769230769231,0.9196891191709845
RF_multi_interactions_with_coords,random,True,7,3,balanced,20.0,sqrt,5,300,824,50,0.2723369822979965,0.904702842377261,0.4885319398624641,0.08484405362884283,0.45054945054945056,0.82,0.8824289405684754
RF_multi_interactions_with_coords,random,True,7,4,balanced,20.0,sqrt,5,300,816,49,0.2513703206359897,0.917010350424394,0.4410790005024785,0.07468472918848357,0.4785276073619632,0.7959183673469388,0.9022164276401564
RF_multi_interactions_with_coords,random,True,7,5,balanced,20.0,sqrt,5,300,816,48,0.2695356577049194,0.9137641059027778,0.4487322448778816,0.08255487689045825,0.43023255813953487,0.7708333333333334,0.88671875
RF_multi_interactions_with_coords,random,True,8,1,balanced,20.0,sqrt,5,500,824,52,0.24105899117981525,0.9203616978876046,0.523966648931223,0.07202290285528942,0.4968944099378882,0.7692307692307693,0.9106217616580311
RF_multi_interactions_with_coords,random,True,8,2,balanced,20.0,sqrt,5,500,824,52,0.22462266213100843,0.9340125548027103,0.4730633586887239,0.06514379468414129,0.4657534246575342,0.6538461538461539,0.9222797927461139
RF_multi_interactions_with_coords,random,True,8,3,balanced,20.0,sqrt,5,500,824,50,0.2710712927585813,0.9056330749354005,0.4902316912926041,0.08458676912461958,0.45555555555555555,0.82,0.8850129198966409
RF_multi_interactions_with_coords,random,True,8,4,balanced,20.0,sqrt,5,500,816,49,0.25080281892292944,0.9178617992177315,0.43953261184553033,0.07456434765247617,0.4785276073619632,0.7959183673469388,0.9022164276401564
RF_multi_interactions_with_coords,random,True,8,5,balanced,20.0,sqrt,5,500,816,48,0.27037624000271926,0.9111870659722222,0.4505847499841737,0.08290705303375094,0.4186046511627907,0.75,0.8854166666666666
