model,split_type,use_coords,candidate,fold,classifier__class_weight,classifier__max_depth,classifier__max_features,classifier__min_samples_leaf,classifier__n_estimators,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
RF_multi_interactions_with_coords,spatial,True,1,1,balanced,,sqrt,1,300,824,50,0.16175836364478646,0.9351937984496124,0.5335649964737765,0.044898797465161545,0.5504587155963303,0.6,0.962532299741602
RF_multi_interactions_with_coords,spatial,True,1,2,balanced,,sqrt,1,300,824,52,0.18000626589397664,0.902799920286967,0.47693065529814016,0.05081963079848759,0.42990654205607476,0.4423076923076923,0.9585492227979274
RF_multi_interactions_with_coords,spatial,True,1,3,balanced,,sqrt,1,300,816,48,0.18073865173238413,0.862277560763889,0.40165721135486776,0.05038375544686941,0.41304347826086957,0.3958333333333333,0.9674479166666666
RF_multi_interactions_with_coords,spatial,True,1,4,balanced,,sqrt,1,300,816,49,0.1448411510048846,0.9319772237447782,0.5519863320396339,0.04174184368210717,0.5227272727272727,0.46938775510204084,0.9791395045632334
RF_multi_interactions_with_coords,spatial,True,1,5,balanced,,sqrt,1,300,824,51,0.21101111361723268,0.8890368566572814,0.4099213593903299,0.053642643743490835,0.46153846153846156,0.5294117647058824,0.9495472186287193
RF_multi_interactions_with_coords,spatial,True,2,1,balanced,,sqrt,1,500,824,50,0.1617194265940387,0.9340568475452197,0.5316811431044861,0.04484697815551821,0.5504587155963303,0.6,0.962532299741602
RF_multi_interactions_with_coords,spatial,True,2,2,balanced,,sqrt,1,500,824,52,0.17935994162190053,0.9031112993224393,0.47984468356415133,0.05058816262151699,0.41509433962264153,0.4230769230769231,0.9585492227979274
RF_multi_interactions_with_coords,spatial,True,2,3,balanced,,sqrt,1,500,816,48,0.17764511401611446,0.8699001736111112,0.4121821450535506,0.049959029411965686,0.3956043956043956,0.375,0.9674479166666666
RF_multi_interactions_with_coords,spatial,True,2,4,balanced,,sqrt,1,500,816,49,0.14474511404192963,0.9309927360774818,0.546615946127988,0.041721872549162986,0.5168539325842697,0.46938775510204084,0.9778357235984355
RF_multi_interactions_with_coords,spatial,True,2,5,balanced,,sqrt,1,500,824,51,0.21021586546119025,0.8881363670953503,0.4323987718141963,0.05348276941765898,0.45614035087719296,0.5098039215686274,0.9521345407503234
RF_multi_interactions_with_coords,spatial,True,3,1,balanced,,sqrt,5,300,824,50,0.25242873209098254,0.9365891472868217,0.5806563361186984,0.0761729180870551,0.4772727272727273,0.84,0.8914728682170543
RF_multi_interactions_with_coords,spatial,True,3,2,balanced,,sqrt,5,300,824,52,0.2547431689579688,0.9193154643284177,0.4723882890668131,0.07706830850418979,0.47904191616766467,0.7692307692307693,0.9028497409326425
RF_multi_interactions_with_coords,spatial,True,3,3,balanced,,sqrt,5,300,816,48,0.25069518704583915,0.8750813802083334,0.39352770319610647,0.07691655034813086,0.40993788819875776,0.6875,0.8958333333333334
