model,split_type,use_coords,candidate,fold,classifier__class_weight,classifier__max_depth,classifier__max_features,classifier__min_samples_leaf,classifier__n_estimators,n,positives,log_loss,auc,average_precision,brier,f1,sensitivity,specificity
RF_multi_no_coords,random,False,1,1,balanced,,sqrt,1,300,824,52,0.17627655032903486,0.8884266640095654,0.43124319997692534,0.04794971682858818,0.5454545454545454,0.5192307692307693,0.9740932642487047
RF_multi_no_coords,random,False,1,2,balanced,,sqrt,1,300,824,52,0.18193219596403024,0.8929977082502989,0.3692184834280248,0.05015404288039604,0.367816091954023,0.3076923076923077,0.9753886010362695
RF_multi_no_coords,random,False,1,3,balanced,,sqrt,1,300,824,50,0.1889119601591256,0.8754134366925065,0.44106824279824686,0.05285240021586987,0.49056603773584906,0.52,0.9612403100775194
RF_multi_no_coords,random,False,1,4,balanced,,sqrt,1,300,816,49,0.18132904037060807,0.9125269403719767,0.42232876594354274,0.04805571650338563,0.49504950495049505,0.5102040816326531,0.9647979139504563
RF_multi_no_coords,random,False,1,5,balanced,,sqrt,1,300,816,48,0.17796240177325207,0.8915201822916666,0.4114668013031594,0.051058061002323255,0.5142857142857142,0.5625,0.9609375
RF_multi_no_coords,random,False,2,1,balanced,,sqrt,1,500,824,52,0.1764936289768494,0.8871313272220007,0.44135470148237366,0.047760533980662614,0.52,0.5,0.9715025906735751
RF_multi_no_coords,random,False,2,2,balanced,,sqrt,1,500,824,52,0.18104567874046681,0.8965598844161021,0.3688543273793242,0.050081716019526705,0.36363636363636365,0.3076923076923077,0.9740932642487047
RF_multi_no_coords,random,False,2,3,balanced,,sqrt,1,500,824,50,0.18829319392331373,0.8771059431524547,0.4449457099218211,0.05297428640785195,0.49056603773584906,0.52,0.9612403100775194
RF_multi_no_coords,random,False,2,4,balanced,,sqrt,1,500,816,49,0.18221021978656657,0.9117287071282228,0.42035792406246664,0.048193203431454654,0.46,0.46938775510204084,0.9634941329856584
RF_multi_no_coords,random,False,2,5,balanced,,sqrt,1,500,816,48,0.1775272384118192,0.8934190538194444,0.41784889466640296,0.05093943137266544,0.49523809523809526,0.5416666666666666,0.9596354166666666
RF_multi_no_coords,random,False,3,1,balanced,,sqrt,5,300,824,52,0.2735789040568557,0.8928357911518534,0.5225966359363537,0.07963082889690491,0.4161849710982659,0.6923076923076923,0.8898963730569949
RF_multi_no_coords,random,False,3,2,balanced,,sqrt,5,300,824,52,0.2617280886833747,0.8992626544440016,0.3881281298027206,0.07497000761559425,0.37681159420289856,0.5,0.9222797927461139
RF_multi_no_coords,random,False,3,3,balanced,,sqrt,5,300,824,50,0.3006166767603429,0.8820671834625323,0.4931354228328832,0.09023659270818839,0.41304347826086957,0.76,0.875968992248062
RF_multi_no_coords,random,False,3,4,balanced,,sqrt,5,300,816,49,0.278087106875394,0.9078838836708086,0.43901470346262544,0.08098525721506679,0.4470588235294118,0.7755102040816326,0.8917861799217731
RF_multi_no_coords,random,False,3,5,balanced,,sqrt,5,300,816,48,0.29225843019551523,0.8907063802083334,0.3972611642181588,0.08782668389987329,0.35294117647058826,0.625,0.8802083333333334
RF_multi_no_coords,random,False,4,1,balanced,,sqrt,5,500,824,52,0.2735934408820157,0.8934834595456357,0.5253589736887452,0.07937734607718044,0.43529411764705883,0.7115384615384616,0.8950777202072538
RF_multi_no_coords,random,False,4,2,balanced,,sqrt,5,500,824,52,0.2633199135174788,0.8979922279792746,0.390013370604757,0.0754409790580672,0.391304347826087,0.5192307692307693,0.9235751295336787
RF_multi_no_coords,random,False,4,3,balanced,,sqrt,5,500,824,50,0.3006357098411063,0.8831782945736434,0.4921692213369514,0.09020820862790399,0.41304347826086957,0.76,0.875968992248062
RF_multi_no_coords,random,False,4,4,balanced,,sqrt,5,500,816,49,0.2796916150255099,0.9061011627597585,0.43146445293309316,0.08143199836399159,0.4523809523809524,0.7755102040816326,0.894393741851369
RF_multi_no_coords,random,False,4,5,balanced,,sqrt,5,500,816,48,0.2915657839112306,0.891384548611111,0.4029742955252834,0.08729000042028306,0.3493975903614458,0.6041666666666666,0.8841145833333334
RF_multi_no_coords,random,False,5,1,balanced,20.0,sqrt,1,300,824,52,0.18022876774093813,0.8782009764846552,0.43512834301902326,0.04802776387957767,0.56,0.5384615384615384,0.9740932642487047
RF_multi_no_coords,random,False,5,2,balanced,20.0,sqrt,1,300,824,52,0.1824963468281074,0.8948037066560383,0.37960460022878595,0.05025138355457096,0.367816091954023,0.3076923076923077,0.9753886010362695
RF_multi_no_coords,random,False,5,3,balanced,20.0,sqrt,1,300,824,50,0.1909095138564345,0.8754134366925065,0.44667062848431516,0.05379004932744336,0.49056603773584906,0.52,0.9612403100775194
RF_multi_no_coords,random,False,5,4,balanced,20.0,sqrt,1,300,816,49,0.18524716809151895,0.9106377883617593,0.41315719763628356,0.04932584714944506,0.49056603773584906,0.5306122448979592,0.9595827900912647
RF_multi_no_coords,random,False,5,5,balanced,20.0,sqrt,1,300,816,48,0.17875803289645048,0.8913031684027779,0.4278912542625342,0.051245226284723236,0.49523809523809526,0.5416666666666666,0.9596354166666666
RF_multi_no_coords,random,False,6,1,balanced,20.0,sqrt,1,500,824,52,0.17965834689911064,0.8801564368274212,0.44130437248250975,0.047909817018394606,0.5306122448979592,0.5,0.9740932642487047
